latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
28.0,68.0,2021-01-01 00:00:00,283.93274,18.1,10.78,51.41,47.1,8.39
28.0,68.0,2021-01-01 06:00:00,293.20496,10.1,20.05,68.1,65.1,18.39
28.0,68.0,2021-01-01 12:00:00,293.43185,10.4,20.28,68.51,65.5,18.61
28.0,68.0,2021-01-01 18:00:00,287.6057,13.9,14.46,58.02,54.2,12.33
28.0,68.0,2021-01-02 00:00:00,284.48688,15.4,11.34,52.41,48.1,8.94
28.0,68.0,2021-01-02 06:00:00,293.9314,9.2,20.78,69.41,66.5,19.17
28.0,68.0,2021-01-02 12:00:00,293.98782,10.1,20.84,69.51,66.6,19.22
28.0,68.0,2021-01-02 18:00:00,286.53763,16.5,13.39,56.1,52.2,11.22
28.0,68.0,2021-01-03 00:00:00,284.616,19.0,11.47,52.64,48.5,9.17
28.0,68.0,2021-01-03 06:00:00,293.25723,11.7,20.11,68.19,65.3,18.5
28.0,68.0,2021-01-03 12:00:00,293.35413,11.8,20.2,68.37,65.5,18.61
28.0,68.0,2021-01-03 18:00:00,286.99557,17.2,13.85,56.92,53.1,11.72
28.0,68.0,2021-01-04 00:00:00,285.22083,18.9,12.07,53.73,49.7,9.83
28.0,68.0,2021-01-04 06:00:00,294.19092,9.8,21.04,69.87,67.0,19.44
28.0,68.0,2021-01-04 12:00:00,294.83713,13.3,21.69,71.04,68.5,20.28
28.0,68.0,2021-01-04 18:00:00,288.16327,19.7,15.01,59.02,55.5,13.06
28.0,68.0,2021-01-05 00:00:00,286.26114,46.3,13.11,55.6,53.0,11.67
28.0,68.0,2021-01-05 06:00:00,294.7648,26.4,21.61,70.91,68.9,20.5
28.0,68.0,2021-01-05 12:00:00,295.21817,19.1,22.07,71.72,69.5,20.83
28.0,68.0,2021-01-05 18:00:00,287.7449,29.8,14.59,58.27,55.2,12.89
28.0,68.0,2021-01-06 00:00:00,285.37238,34.5,12.22,54.0,50.7,10.39
28.0,68.0,2021-01-06 06:00:00,294.11572,19.1,20.97,69.74,67.3,19.61
28.0,68.0,2021-01-06 12:00:00,294.9167,17.0,21.77,71.18,68.8,20.44
28.0,68.0,2021-01-06 18:00:00,287.48105,29.6,14.33,57.8,54.7,12.61
28.0,68.0,2021-01-07 00:00:00,285.31775,39.4,12.17,53.9,50.8,10.44
28.0,68.0,2021-01-07 06:00:00,292.2617,33.3,19.11,66.4,64.3,17.94
28.0,68.0,2021-01-07 12:00:00,293.8276,25.5,20.68,69.22,67.0,19.44
28.0,68.0,2021-01-07 18:00:00,286.79898,36.0,13.65,56.57,53.6,12.0
28.0,68.0,2021-01-08 00:00:00,282.44446,23.8,9.29,48.73,44.4,6.89
28.0,68.0,2021-01-08 06:00:00,290.1589,9.6,17.01,62.62,59.0,15.0
28.0,68.0,2021-01-08 12:00:00,291.44153,10.6,18.29,64.92,61.6,16.44
28.0,68.0,2021-01-08 18:00:00,286.18924,15.3,13.04,55.47,51.4,10.78
28.0,68.0,2021-01-09 00:00:00,285.24393,22.1,12.09,53.77,49.9,9.94
28.0,68.0,2021-01-09 06:00:00,293.72025,17.2,20.57,69.03,66.4,19.11
28.0,68.0,2021-01-09 12:00:00,294.52393,13.3,21.37,70.47,67.8,19.89
28.0,68.0,2021-01-09 18:00:00,288.34683,16.4,15.2,59.35,55.8,13.22
28.0,68.0,2021-01-10 00:00:00,284.71536,19.4,11.57,52.82,48.7,9.28
28.0,68.0,2021-01-10 06:00:00,294.593,10.2,21.44,70.6,67.8,19.89
28.0,68.0,2021-01-10 12:00:00,294.9213,8.8,21.77,71.19,68.4,20.22
28.0,68.0,2021-01-10 18:00:00,286.9229,15.2,13.77,56.79,52.9,11.61
28.0,68.0,2021-01-11 00:00:00,283.57605,18.4,10.43,50.77,46.4,8.0
28.0,68.0,2021-01-11 06:00:00,294.6615,8.7,21.51,70.72,67.9,19.94
28.0,68.0,2021-01-11 12:00:00,294.71042,7.4,21.56,70.81,67.9,19.94
28.0,68.0,2021-01-11 18:00:00,286.33646,14.2,13.19,55.74,51.7,10.94
28.0,68.0,2021-01-12 00:00:00,284.25546,16.1,11.11,51.99,47.6,8.67
28.0,68.0,2021-01-12 06:00:00,296.0578,8.1,22.91,73.23,70.6,21.44
28.0,68.0,2021-01-12 12:00:00,295.63248,9.6,22.48,72.47,69.9,21.06
28.0,68.0,2021-01-12 18:00:00,287.45712,13.6,14.31,57.75,53.9,12.17
28.0,68.0,2021-01-13 00:00:00,285.12677,15.1,11.98,53.56,49.3,9.61
28.0,68.0,2021-01-13 06:00:00,296.2984,8.0,23.15,73.67,71.1,21.72
28.0,68.0,2021-01-13 12:00:00,296.3078,9.0,23.16,73.68,71.2,21.78
28.0,68.0,2021-01-13 18:00:00,288.8035,12.6,15.65,60.18,56.5,13.61
28.0,68.0,2021-01-14 00:00:00,285.88843,12.8,12.74,54.93,50.7,10.39
28.0,68.0,2021-01-14 06:00:00,296.689,7.1,23.54,74.37,71.8,22.11
28.0,68.0,2021-01-14 12:00:00,297.91418,7.2,24.76,76.58,74.3,23.5
28.0,68.0,2021-01-14 18:00:00,289.7953,11.2,16.65,61.96,58.4,14.67
28.0,68.0,2021-01-15 00:00:00,285.9674,11.7,12.82,55.07,50.8,10.44
28.0,68.0,2021-01-15 06:00:00,295.60327,6.6,22.45,72.42,69.7,20.94
28.0,68.0,2021-01-15 12:00:00,296.08646,8.1,22.94,73.29,70.7,21.5
28.0,68.0,2021-01-15 18:00:00,288.1422,13.3,14.99,58.99,55.2,12.89
28.0,68.0,2021-01-16 00:00:00,285.58505,14.2,12.44,54.38,50.2,10.11
28.0,68.0,2021-01-16 06:00:00,295.26514,7.6,22.12,71.81,69.0,20.56
28.0,68.0,2021-01-16 12:00:00,296.02222,8.7,22.87,73.17,70.6,21.44
28.0,68.0,2021-01-16 18:00:00,287.82858,15.7,14.68,58.42,54.7,12.61
28.0,68.0,2021-01-17 00:00:00,284.8206,17.2,11.67,53.01,48.8,9.33
