longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
68.0,28.0,294.7,17.2,2010-01-18 12:00:00,21.55,70.79,68.4,20.22
68.0,28.0,285.46,59.7,2010-01-18 18:00:00,12.31,54.16,52.1,11.17
68.0,28.0,283.42,38.3,2010-01-19 00:00:00,10.27,50.49,47.0,8.33
68.0,28.0,294.9,20.1,2010-01-19 06:00:00,21.75,71.15,68.9,20.5
68.0,28.0,293.5,23.7,2010-01-19 12:00:00,20.35,68.63,66.3,19.06
68.0,28.0,285.3,63.5,2010-01-19 18:00:00,12.15,53.87,51.9,11.06
68.0,28.0,283.04,64.6,2010-01-20 00:00:00,9.89,49.8,47.5,8.61
68.0,28.0,295.2,18.4,2010-01-20 06:00:00,22.05,71.69,69.4,20.78
68.0,28.0,294.64,20.0,2010-01-20 12:00:00,21.49,70.68,68.4,20.22
68.0,28.0,285.8,37.3,2010-01-20 18:00:00,12.65,54.77,51.7,10.94
68.0,28.0,283.28,51.2,2010-01-21 00:00:00,10.13,50.23,47.4,8.56
68.0,28.0,295.2,18.5,2010-01-21 06:00:00,22.05,71.69,69.4,20.78
68.0,28.0,294.2,21.9,2010-01-21 12:00:00,21.05,69.89,67.6,19.78
68.0,28.0,287.3,28.1,2010-01-21 18:00:00,14.15,57.47,54.2,12.33
68.0,28.0,284.04,44.7,2010-01-22 00:00:00,10.89,51.6,48.6,9.22
68.0,28.0,296.99,14.0,2010-01-22 06:00:00,23.84,74.91,72.8,22.67
68.0,28.0,295.49,20.9,2010-01-22 12:00:00,22.34,72.21,70.1,21.17
68.0,28.0,286.39,30.2,2010-01-22 18:00:00,13.24,55.83,52.5,11.39
68.0,28.0,284.23,44.2,2010-01-23 00:00:00,11.08,51.94,48.9,9.39
68.0,28.0,295.03,15.7,2010-01-23 06:00:00,21.88,71.38,69.0,20.56
68.0,28.0,296.12,13.9,2010-01-23 12:00:00,22.97,73.35,71.0,21.67
68.0,28.0,290.82,16.7,2010-01-23 18:00:00,17.67,63.81,60.7,15.94
68.0,28.0,288.12,29.3,2010-01-24 00:00:00,14.97,58.95,55.9,13.28
68.0,28.0,295.72,20.4,2010-01-24 06:00:00,22.57,72.63,70.6,21.44
68.0,28.0,296.07,21.8,2010-01-24 12:00:00,22.92,73.26,71.3,21.83
68.0,28.0,286.21,41.6,2010-01-24 18:00:00,13.06,55.51,52.7,11.5
68.0,28.0,284.59,49.4,2010-01-25 00:00:00,11.44,52.59,49.9,9.94
68.0,28.0,294.9,28.3,2010-01-25 06:00:00,21.75,71.15,69.3,20.72
68.0,28.0,296.3,24.4,2010-01-25 12:00:00,23.15,73.67,71.9,22.17
68.0,28.0,286.2,67.6,2010-01-25 18:00:00,13.05,55.49,53.9,12.17
68.0,28.0,283.63,66.1,2010-01-26 00:00:00,10.48,50.86,48.8,9.33
68.0,28.0,295.2,28.7,2010-01-26 06:00:00,22.05,71.69,69.9,21.06
68.0,28.0,296.9,25.3,2010-01-26 12:00:00,23.75,74.75,73.1,22.83
68.0,28.0,287.99,43.6,2010-01-26 18:00:00,14.84,58.71,56.3,13.5
68.0,28.0,285.1,60.2,2010-01-27 00:00:00,11.95,53.51,51.4,10.78
68.0,28.0,296.15,25.1,2010-01-27 06:00:00,23.0,73.4,71.6,22.0
68.0,28.0,297.2,24.3,2010-01-27 12:00:00,24.05,75.29,73.7,23.17
68.0,28.0,290.19,35.2,2010-01-27 18:00:00,17.04,62.67,60.3,15.72
68.0,28.0,288.91,36.7,2010-01-28 00:00:00,15.76,60.37,57.8,14.33
68.0,28.0,294.17,26.7,2010-01-28 06:00:00,21.02,69.84,67.8,19.89
68.0,28.0,295.97,25.6,2010-01-28 12:00:00,22.82,73.08,71.3,21.83
68.0,28.0,290.35,40.9,2010-01-28 18:00:00,17.2,62.96,60.9,16.06
68.0,28.0,288.12,45.0,2010-01-29 00:00:00,14.97,58.95,56.7,13.72
68.0,28.0,296.67,31.3,2010-01-29 06:00:00,23.52,74.34,72.9,22.72
68.0,28.0,298.62,23.1,2010-01-29 12:00:00,25.47,77.85,76.4,24.67
68.0,28.0,288.6,33.4,2010-01-29 18:00:00,15.45,59.81,57.1,13.94
68.0,28.0,286.45,34.6,2010-01-30 00:00:00,13.3,55.94,52.9,11.61
68.0,28.0,294.74,25.9,2010-01-30 06:00:00,21.59,70.86,68.9,20.5
68.0,28.0,297.2,20.9,2010-01-30 12:00:00,24.05,75.29,73.5,23.06
68.0,28.0,286.6,39.3,2010-01-30 18:00:00,13.45,56.21,53.4,11.89
68.0,28.0,283.91,57.6,2010-01-31 00:00:00,10.76,51.37,48.9,9.39
68.0,28.0,296.71,20.6,2010-01-31 06:00:00,23.56,74.41,72.5,22.5
68.0,28.0,298.0,23.3,2010-01-31 12:00:00,24.85,76.73,75.2,24.0
68.0,28.0,287.56,44.2,2010-01-31 18:00:00,14.41,57.94,55.5,13.06
68.0,28.0,285.7,36.4,2010-02-01 00:00:00,12.55,54.59,51.5,10.83
68.0,28.0,296.63,14.7,2010-02-01 06:00:00,23.48,74.26,72.1,22.28
68.0,28.0,297.3,17.8,2010-02-01 12:00:00,24.15,75.47,73.6,23.11
68.0,28.0,288.04,24.3,2010-02-01 18:00:00,14.89,58.8,55.5,13.06
68.0,28.0,285.95,31.5,2010-02-02 00:00:00,12.8,55.04,51.7,10.94
68.0,28.0,294.98,25.3,2010-02-02 06:00:00,21.83,71.29,69.3,20.72
68.0,28.0,298.08,20.5,2010-02-02 12:00:00,24.93,76.87,75.2,24.0
68.0,28.0,288.63,34.7,2010-02-02 18:00:00,15.48,59.86,57.2,14.0
68.0,28.0,284.63,43.0,2010-02-03 00:00:00,11.48,52.66,49.6,9.78
68.0,28.0,295.21,24.1,2010-02-03 06:00:00,22.06,71.71,69.7,20.94
68.0,28.0,297.72,20.3,2010-02-03 12:00:00,24.57,76.23,74.5,23.61
68.0,28.0,288.67,32.8,2010-02-03 18:00:00,15.52,59.94,57.2,14.0
68.0,28.0,285.64,40.3,2010-02-04 00:00:00,12.49,54.48,51.5,10.83
68.0,28.0,296.65,20.6,2010-02-04 06:00:00,23.5,74.3,72.4,22.44
68.0,28.0,298.81,18.7,2010-02-04 12:00:00,25.66,78.19,76.6,24.78
68.0,28.0,291.79,28.1,2010-02-04 18:00:00,18.64,65.55,63.1,17.28
68.0,28.0,287.41,36.8,2010-02-05 00:00:00,14.26,57.67,54.9,12.72
68.0,28.0,297.96,18.7,2010-02-05 06:00:00,24.81,76.66,74.9,23.83
68.0,28.0,297.33,25.4,2010-02-05 12:00:00,24.18,75.52,74.0,23.33
68.0,28.0,291.35,28.8,2010-02-05 18:00:00,18.2,64.76,62.3,16.83
68.0,28.0,289.69,32.3,2010-02-06 00:00:00,16.54,61.77,59.2,15.11
68.0,28.0,295.18,27.5,2010-02-06 06:00:00,22.03,71.65,69.8,21.0
68.0,28.0,295.79,29.3,2010-02-06 12:00:00,22.64,72.75,71.1,21.72
68.0,28.0,290.13,37.7,2010-02-06 18:00:00,16.98,62.56,60.3,15.72
68.0,28.0,289.15,40.5,2010-02-07 00:00:00,16.0,60.8,58.5,14.72
68.0,28.0,295.66,30.8,2010-02-07 06:00:00,22.51,72.52,70.9,21.61
68.0,28.0,297.92,29.5,2010-02-07 12:00:00,24.77,76.59,75.3,24.06
68.0,28.0,291.36,55.4,2010-02-07 18:00:00,18.21,64.78,63.6,17.56
68.0,28.0,289.95,78.6,2010-02-08 00:00:00,16.8,62.24,61.9,16.61
68.0,28.0,297.17,47.1,2010-02-08 06:00:00,24.02,75.24,74.7,23.72
68.0,28.0,298.52,19.5,2010-02-08 12:00:00,25.37,77.67,76.1,24.5
68.0,28.0,287.76,29.0,2010-02-08 18:00:00,14.61,58.3,55.2,12.89
68.0,28.0,282.67,30.100002,2010-02-09 00:00:00,9.52,49.14,45.2,7.33
68.0,28.0,290.59,11.5,2010-02-09 06:00:00,17.44,63.39,60.0,15.56
68.0,28.0,294.21,7.4,2010-02-09 12:00:00,21.06,69.91,66.9,19.39
68.0,28.0,283.69,15.0,2010-02-09 18:00:00,10.54,50.97,46.5,8.06
68.0,28.0,280.46,26.7,2010-02-10 00:00:00,7.31,45.16,40.6,4.78
68.0,28.0,291.62,12.4,2010-02-10 06:00:00,18.47,65.25,62.1,16.72
68.0,28.0,294.45,11.4,2010-02-10 12:00:00,21.3,70.34,67.6,19.78
68.0,28.0,284.84,21.7,2010-02-10 18:00:00,11.69,53.04,49.1,9.5
68.0,28.0,280.12,44.3,2010-02-11 00:00:00,6.97,44.55,40.8,4.89
68.0,28.0,291.7,25.3,2010-02-11 06:00:00,18.55,65.39,62.8,17.11
68.0,28.0,294.5,19.8,2010-02-11 12:00:00,21.35,70.43,68.1,20.06
68.0,28.0,283.71,39.5,2010-02-11 18:00:00,10.56,51.01,47.7,8.72
68.0,28.0,281.42,66.5,2010-02-12 00:00:00,8.27,46.89,44.4,6.89
68.0,28.0,294.18,19.3,2010-02-12 06:00:00,21.03,69.85,67.4,19.67
68.0,28.0,297.4,14.1,2010-02-12 12:00:00,24.25,75.65,73.6,23.11
68.0,28.0,284.96,32.1,2010-02-12 18:00:00,11.81,53.26,49.8,9.89
68.0,28.0,284.33,31.5,2010-02-13 00:00:00,11.18,52.12,48.5,9.17
68.0,28.0,295.24,15.7,2010-02-13 06:00:00,22.09,71.76,69.4,20.78
68.0,28.0,297.6,10.6,2010-02-13 12:00:00,24.45,76.01,73.8,23.22
68.0,28.0,286.31,18.0,2010-02-13 18:00:00,13.16,55.69,51.8,11.0
68.0,28.0,283.24,34.5,2010-02-14 00:00:00,10.09,50.16,46.5,8.06
68.0,28.0,295.19,17.4,2010-02-14 06:00:00,22.04,71.67,69.4,20.78
68.0,28.0,298.5,14.0,2010-02-14 12:00:00,25.35,77.63,75.8,24.33
68.0,28.0,286.7,28.7,2010-02-14 18:00:00,13.55,56.39,53.1,11.72
68.0,28.0,284.35,38.600002,2010-02-15 00:00:00,11.2,52.16,48.9,9.39
68.0,28.0,294.21,15.6,2010-02-15 06:00:00,21.06,69.91,67.3,19.61
68.0,28.0,296.7,10.2,2010-02-15 12:00:00,23.55,74.39,72.0,22.22
68.0,28.0,284.5,11.8,2010-02-15 18:00:00,11.35,52.43,47.9,8.83
68.0,28.0,283.45,16.2,2010-02-16 00:00:00,10.3,50.54,46.1,7.83
68.0,28.0,292.71,11.2,2010-02-16 06:00:00,19.56,67.21,64.2,17.89
68.0,28.0,295.46,7.9,2010-02-16 12:00:00,22.31,72.16,69.4,20.78
68.0,28.0,282.93,8.8,2010-02-16 18:00:00,9.78,49.6,44.7,7.06
68.0,28.0,280.48,27.9,2010-02-17 00:00:00,7.33,45.19,40.7,4.83
68.0,28.0,293.11,14.3,2010-02-17 06:00:00,19.96,67.93,65.1,18.39
68.0,28.0,296.4,9.6,2010-02-17 12:00:00,23.25,73.85,71.4,21.89
68.0,28.0,285.1,16.6,2010-02-17 18:00:00,11.95,53.51,49.3,9.61
68.0,28.0,281.96,20.300001,2010-02-18 00:00:00,8.81,47.86,43.3,6.28
68.0,28.0,296.34,9.7,2010-02-18 06:00:00,23.19,73.74,71.3,21.83
68.0,28.0,300.6,7.8,2010-02-18 12:00:00,27.45,81.41,79.6,26.44
68.0,28.0,288.4,15.3,2010-02-18 18:00:00,15.25,59.45,55.8,13.22
68.0,28.0,284.43,19.6,2010-02-19 00:00:00,11.28,52.3,48.2,9.0
68.0,28.0,297.7,8.6,2010-02-19 06:00:00,24.55,76.19,73.9,23.28
68.0,28.0,301.4,9.1,2010-02-19 12:00:00,28.25,82.85,79.7,26.5
68.0,28.0,288.3,19.6,2010-02-19 18:00:00,15.15,59.27,55.8,13.22
68.0,28.0,286.17,37.9,2010-02-20 00:00:00,13.02,55.44,52.5,11.39
68.0,28.0,299.57,10.9,2010-02-20 06:00:00,26.42,79.56,77.7,25.39
68.0,28.0,301.8,12.3,2010-02-20 12:00:00,28.65,83.57,80.7,27.06
