latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
28.0,68.0,2022-01-18 00:00:00,288.18613,32.7,15.04,59.07,56.2,13.44
28.0,68.0,2022-01-18 06:00:00,294.34998,24.8,21.2,70.16,68.0,20.0
28.0,68.0,2022-01-18 12:00:00,296.99988,26.5,23.85,74.93,73.4,23.0
28.0,68.0,2022-01-18 18:00:00,291.89032,36.1,18.74,65.73,63.7,17.61
28.0,68.0,2022-01-19 00:00:00,290.11737,40.9,16.97,62.54,60.4,15.78
28.0,68.0,2022-01-19 06:00:00,294.3939,41.2,21.24,70.24,68.9,20.5
28.0,68.0,2022-01-19 12:00:00,297.8373,33.3,24.69,76.44,75.3,24.06
28.0,68.0,2022-01-19 18:00:00,291.88678,44.1,18.74,65.73,64.1,17.83
28.0,68.0,2022-01-20 00:00:00,288.47723,42.5,15.33,59.59,57.2,14.0
28.0,68.0,2022-01-20 06:00:00,294.17798,36.3,21.03,69.85,68.2,20.11
28.0,68.0,2022-01-20 12:00:00,297.62448,33.5,24.47,76.05,74.9,23.83
28.0,68.0,2022-01-20 18:00:00,291.12177,43.7,17.97,64.35,62.5,16.94
28.0,68.0,2022-01-21 00:00:00,288.4216,46.7,15.27,59.49,57.3,14.06
28.0,68.0,2022-01-21 06:00:00,294.65027,30.3,21.5,70.7,68.9,20.5
28.0,68.0,2022-01-21 12:00:00,295.74118,34.3,22.59,72.66,71.2,21.78
28.0,68.0,2022-01-21 18:00:00,288.8031,56.3,15.65,60.18,58.5,14.72
28.0,68.0,2022-01-22 00:00:00,286.76266,66.3,13.61,56.5,55.0,12.78
28.0,68.0,2022-01-22 06:00:00,290.7535,16.0,17.6,63.69,60.5,15.83
28.0,68.0,2022-01-22 12:00:00,291.75348,16.4,18.6,65.49,62.5,16.94
28.0,68.0,2022-01-22 18:00:00,285.8556,26.2,12.71,54.87,51.3,10.72
28.0,68.0,2022-01-23 00:00:00,282.37857,39.9,9.23,48.61,45.0,7.22
28.0,68.0,2022-01-23 06:00:00,289.0507,25.9,15.9,60.62,57.6,14.22
28.0,68.0,2022-01-23 12:00:00,292.42087,21.3,19.27,66.69,64.1,17.83
28.0,68.0,2022-01-23 18:00:00,285.28238,31.6,12.13,53.84,50.4,10.22
28.0,68.0,2022-01-24 00:00:00,283.68076,36.5,10.53,50.96,47.5,8.61
28.0,68.0,2022-01-24 06:00:00,290.5375,21.8,17.39,63.3,60.4,15.78
28.0,68.0,2022-01-24 12:00:00,293.2543,18.5,20.1,68.19,65.6,18.67
28.0,68.0,2022-01-24 18:00:00,285.79208,24.1,12.64,54.76,51.1,10.61
28.0,68.0,2022-01-25 00:00:00,283.70245,30.1,10.55,50.99,47.2,8.44
28.0,68.0,2022-01-25 06:00:00,291.7254,20.6,18.58,65.44,62.7,17.06
28.0,68.0,2022-01-25 12:00:00,295.036,13.6,21.89,71.39,68.9,20.5
28.0,68.0,2022-01-25 18:00:00,286.455,24.1,13.3,55.95,52.4,11.33
28.0,68.0,2022-01-26 00:00:00,284.03192,27.6,10.88,51.59,47.7,8.72
28.0,68.0,2022-01-26 06:00:00,292.4031,17.3,19.25,66.66,63.8,17.67
28.0,68.0,2022-01-26 12:00:00,294.9787,17.9,21.83,71.29,69.0,20.56
28.0,68.0,2022-01-26 18:00:00,286.6908,27.7,13.54,56.37,53.0,11.67
28.0,68.0,2022-01-27 00:00:00,284.44998,35.0,11.3,52.34,48.9,9.39
28.0,68.0,2022-01-27 06:00:00,292.16458,22.5,19.01,66.23,63.6,17.56
28.0,68.0,2022-01-27 12:00:00,295.33798,20.2,22.19,71.94,69.8,21.0
28.0,68.0,2022-01-27 18:00:00,287.6099,29.5,14.46,58.03,54.9,12.72
28.0,68.0,2022-01-28 00:00:00,285.28693,28.3,12.14,53.85,50.3,10.17
