longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
71.0,30.0,283.54,30.0,2012-01-01 00:00:00,10.39,50.7,46.9,8.28
71.0,30.0,291.81,17.9,2012-01-01 06:00:00,18.66,65.59,62.7,17.06
71.0,30.0,288.36,24.7,2012-01-01 12:00:00,15.21,59.38,56.2,13.44
71.0,30.0,284.22,26.8,2012-01-01 18:00:00,11.07,51.93,48.1,8.94
71.0,30.0,281.43,31.5,2012-01-02 00:00:00,8.28,46.9,42.8,6.0
71.0,30.0,291.91,17.4,2012-01-02 06:00:00,18.76,65.77,62.9,17.17
71.0,30.0,289.19,23.0,2012-01-02 12:00:00,16.04,60.87,57.7,14.28
71.0,30.0,285.9,23.6,2012-01-02 18:00:00,12.75,54.95,51.3,10.72
71.0,30.0,283.6,26.5,2012-01-03 00:00:00,10.45,50.81,46.8,8.22
71.0,30.0,291.79,18.7,2012-01-03 06:00:00,18.64,65.55,62.7,17.06
71.0,30.0,288.54,29.0,2012-01-03 12:00:00,15.39,59.7,56.7,13.72
71.0,30.0,283.43,36.5,2012-01-03 18:00:00,10.28,50.5,47.0,8.33
71.0,30.0,281.43,39.0,2012-01-04 00:00:00,8.28,46.9,43.1,6.17
71.0,30.0,291.44,21.5,2012-01-04 06:00:00,18.29,64.92,62.1,16.72
71.0,30.0,290.15,29.3,2012-01-04 12:00:00,17.0,62.6,59.9,15.5
71.0,30.0,286.46,48.9,2012-01-04 18:00:00,13.31,55.96,53.6,12.0
71.0,30.0,283.65,66.9,2012-01-05 00:00:00,10.5,50.9,48.8,9.33
71.0,30.0,289.3,50.2,2012-01-05 06:00:00,16.15,61.07,59.2,15.11
71.0,30.0,289.45,43.4,2012-01-05 12:00:00,16.3,61.34,59.2,15.11
71.0,30.0,281.49,80.4,2012-01-06 00:00:00,8.34,47.01,45.2,7.33
71.0,30.0,289.02,48.4,2012-01-06 06:00:00,15.87,60.57,58.6,14.78
71.0,30.0,288.64,49.5,2012-01-06 12:00:00,15.49,59.88,57.9,14.39
71.0,30.0,284.23,18.9,2012-01-06 18:00:00,11.08,51.94,47.7,8.72
71.0,30.0,280.81,70.8,2012-01-08 00:00:00,7.66,45.79,43.4,6.33
71.0,30.0,287.58,45.7,2012-01-08 06:00:00,14.43,57.97,55.6,13.11
71.0,30.0,286.12,47.4,2012-01-08 12:00:00,12.97,55.35,52.8,11.56
71.0,30.0,281.32,65.6,2012-01-08 18:00:00,8.17,46.71,44.2,6.78
71.0,30.0,280.45,50.3,2012-01-10 00:00:00,7.3,45.14,41.7,5.39
71.0,30.0,288.22,34.5,2012-01-10 06:00:00,15.07,59.13,56.4,13.56
71.0,30.0,286.89,36.2,2012-01-10 12:00:00,13.74,56.73,53.8,12.11
71.0,30.0,281.58,48.0,2012-01-10 18:00:00,8.43,47.17,43.8,6.56
71.0,30.0,280.62,54.1,2012-01-11 00:00:00,7.47,45.45,42.2,5.67
71.0,30.0,289.94,29.600002,2012-01-11 06:00:00,16.79,62.22,59.5,15.28
71.0,30.0,289.55,30.7,2012-01-11 12:00:00,16.4,61.52,58.8,14.89
71.0,30.0,282.34,42.4,2012-01-11 18:00:00,9.19,48.54,45.1,7.28
71.0,30.0,279.62,55.9,2012-01-12 00:00:00,6.47,43.65,40.3,4.61
71.0,30.0,289.75,30.9,2012-01-12 06:00:00,16.6,61.88,59.2,15.11
71.0,30.0,287.11,38.5,2012-01-12 12:00:00,13.96,57.13,54.4,12.44
71.0,30.0,281.82,54.4,2012-01-12 18:00:00,8.67,47.61,44.6,7.0
71.0,30.0,280.78,59.6,2012-01-13 00:00:00,7.63,45.73,42.8,6.0
71.0,30.0,290.29,33.5,2012-01-13 06:00:00,17.14,62.85,60.4,15.78
71.0,30.0,290.31,35.4,2012-01-13 12:00:00,17.16,62.89,60.5,15.83
71.0,30.0,285.63,45.0,2012-01-13 18:00:00,12.48,54.46,51.7,10.94
71.0,30.0,284.07,47.9,2012-01-14 00:00:00,10.92,51.66,48.8,9.33
71.0,30.0,290.78,36.0,2012-01-14 06:00:00,17.63,63.73,61.5,16.39
