latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
30.0,71.0,2021-01-18 00:00:00,283.28616,31.6,10.14,50.25,46.5,8.06
30.0,71.0,2021-01-18 06:00:00,291.71573,20.3,18.57,65.42,62.6,17.0
30.0,71.0,2021-01-18 12:00:00,292.39575,20.6,19.25,66.64,64.0,17.78
30.0,71.0,2021-01-18 18:00:00,285.35037,34.1,12.2,53.96,50.7,10.39
30.0,71.0,2021-01-19 00:00:00,283.38138,36.8,10.23,50.42,46.9,8.28
30.0,71.0,2021-01-19 06:00:00,293.47583,17.2,20.33,68.59,66.0,18.89
30.0,71.0,2021-01-19 12:00:00,294.5172,14.3,21.37,70.46,67.9,19.94
30.0,71.0,2021-01-19 18:00:00,286.84848,24.8,13.7,56.66,53.2,11.78
30.0,71.0,2021-01-20 00:00:00,285.07034,25.4,11.92,53.46,49.7,9.83
30.0,71.0,2021-01-20 06:00:00,295.81586,12.8,22.67,72.8,70.4,21.33
30.0,71.0,2021-01-20 12:00:00,296.576,13.7,23.43,74.17,71.9,22.17
30.0,71.0,2021-01-20 18:00:00,288.21835,22.8,15.07,59.12,55.8,13.22
30.0,71.0,2021-01-21 00:00:00,285.51694,26.7,12.37,54.26,50.6,10.33
30.0,71.0,2021-01-21 06:00:00,296.5199,13.5,23.37,74.07,71.8,22.11
30.0,71.0,2021-01-21 12:00:00,298.1786,13.4,25.03,77.05,75.1,23.94
30.0,71.0,2021-01-21 18:00:00,289.6555,28.2,16.51,61.71,58.9,14.94
30.0,71.0,2021-01-22 00:00:00,286.47806,35.9,13.33,55.99,53.0,11.67
30.0,71.0,2021-01-22 06:00:00,295.8302,14.1,22.68,72.82,70.5,21.39
30.0,71.0,2021-01-22 12:00:00,296.45023,17.0,23.3,73.94,71.8,22.11
30.0,71.0,2021-01-22 18:00:00,289.86945,23.8,16.72,62.1,59.1,15.06
30.0,71.0,2021-01-23 00:00:00,286.79266,32.9,13.64,56.56,53.5,11.94
30.0,71.0,2021-01-23 06:00:00,293.6793,9.1,20.53,68.95,66.0,18.89
30.0,71.0,2021-01-23 12:00:00,292.3948,8.0,19.24,66.64,63.4,17.44
30.0,71.0,2021-01-23 18:00:00,284.31052,44.6,11.16,52.09,49.1,9.5
30.0,71.0,2021-01-24 00:00:00,282.4742,32.0,9.32,48.78,44.9,7.17
30.0,71.0,2021-01-24 06:00:00,292.68027,16.1,19.53,67.15,64.3,17.94
30.0,71.0,2021-01-24 12:00:00,292.93857,12.8,19.79,67.62,64.7,18.17
30.0,71.0,2021-01-24 18:00:00,284.40393,23.3,11.25,52.26,48.3,9.06
30.0,71.0,2021-01-25 00:00:00,282.46472,28.1,9.31,48.77,44.7,7.06
30.0,71.0,2021-01-25 06:00:00,293.94955,13.8,20.8,69.44,66.7,19.28
30.0,71.0,2021-01-25 12:00:00,293.2059,11.9,20.06,68.1,65.2,18.44
30.0,71.0,2021-01-25 18:00:00,285.08286,18.7,11.93,53.48,49.4,9.67
30.0,71.0,2021-01-26 00:00:00,281.9917,23.1,8.84,47.92,43.5,6.39
30.0,71.0,2021-01-26 06:00:00,294.14987,11.1,21.0,69.8,67.0,19.44
30.0,71.0,2021-01-26 12:00:00,293.71295,9.5,20.56,69.01,66.1,18.94
30.0,71.0,2021-01-26 18:00:00,285.04843,18.3,11.9,53.42,49.3,9.61
30.0,71.0,2021-01-27 00:00:00,281.72516,23.0,8.58,47.44,43.0,6.11
30.0,71.0,2021-01-27 06:00:00,293.43484,12.3,20.28,68.51,65.6,18.67
30.0,71.0,2021-01-27 12:00:00,293.57013,11.2,20.42,68.76,65.9,18.83
30.0,71.0,2021-01-27 18:00:00,284.84836,18.9,11.7,53.06,49.0,9.44
30.0,71.0,2021-01-28 00:00:00,282.7513,21.3,9.6,49.28,44.9,7.17
30.0,71.0,2021-01-28 06:00:00,293.6419,11.2,20.49,68.89,66.0,18.89
30.0,71.0,2021-01-28 12:00:00,294.25516,10.3,21.11,69.99,67.2,19.56
30.0,71.0,2021-01-28 18:00:00,285.01202,18.3,11.86,53.35,49.2,9.56
30.0,71.0,2021-01-29 00:00:00,282.39368,21.5,9.24,48.64,44.2,6.78
30.0,71.0,2021-01-29 06:00:00,293.99432,10.6,20.84,69.52,66.7,19.28
30.0,71.0,2021-01-29 12:00:00,294.5111,9.1,21.36,70.45,67.6,19.78
30.0,71.0,2021-01-29 18:00:00,285.90515,19.3,12.76,54.96,51.1,10.61
30.0,71.0,2021-01-30 00:00:00,282.90625,22.0,9.76,49.56,45.2,7.33
30.0,71.0,2021-01-30 06:00:00,294.97485,10.8,21.82,71.28,68.6,20.33
30.0,71.0,2021-01-30 12:00:00,296.0952,7.8,22.95,73.3,70.7,21.5
30.0,71.0,2021-01-30 18:00:00,286.89102,14.2,13.74,56.73,52.8,11.56
30.0,71.0,2021-01-31 00:00:00,283.61566,17.6,10.47,50.84,46.5,8.06
