longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
71.0,30.0,287.5,65.0,2005-01-01 06:00:00,14.35,57.83,56.4,13.56
71.0,30.0,287.2,69.0,2005-01-01 12:00:00,14.05,57.29,56.0,13.33
71.0,30.0,283.4,86.0,2005-01-01 18:00:00,10.25,50.45,49.2,9.56
71.0,30.0,281.2,91.0,2005-01-02 00:00:00,8.05,46.49,45.1,7.28
71.0,30.0,288.8,59.0,2005-01-02 06:00:00,15.65,60.17,58.7,14.83
71.0,30.0,288.5,66.0,2005-01-02 12:00:00,15.35,59.63,58.4,14.67
71.0,30.0,283.8,90.0,2005-01-02 18:00:00,10.65,51.17,50.2,10.11
71.0,30.0,281.4,90.0,2005-01-03 00:00:00,8.25,46.85,45.5,7.5
71.0,30.0,289.7,56.0,2005-01-03 06:00:00,16.55,61.79,60.3,15.72
71.0,30.0,289.0,61.0,2005-01-03 12:00:00,15.85,60.53,59.2,15.11
71.0,30.0,283.5,87.0,2005-01-03 18:00:00,10.35,50.63,49.5,9.72
71.0,30.0,281.7,89.0,2005-01-04 00:00:00,8.55,47.39,46.0,7.78
71.0,30.0,288.8,56.0,2005-01-04 06:00:00,15.65,60.17,58.5,14.72
71.0,30.0,288.8,61.0,2005-01-04 12:00:00,15.65,60.17,58.8,14.89
71.0,30.0,283.5,87.0,2005-01-04 18:00:00,10.35,50.63,49.5,9.72
71.0,30.0,281.5,92.0,2005-01-05 00:00:00,8.35,47.03,45.8,7.67
71.0,30.0,290.5,50.0,2005-01-05 06:00:00,17.35,63.23,61.6,16.44
71.0,30.0,291.4,51.0,2005-01-05 12:00:00,18.25,64.85,63.4,17.44
71.0,30.0,285.7,71.0,2005-01-05 18:00:00,12.55,54.59,53.1,11.72
71.0,30.0,283.6,78.0,2005-01-06 00:00:00,10.45,50.81,49.3,9.61
71.0,30.0,291.1,49.0,2005-01-06 06:00:00,17.95,64.31,62.7,17.06
71.0,30.0,290.5,54.0,2005-01-06 12:00:00,17.35,63.23,61.8,16.56
71.0,30.0,283.8,84.0,2005-01-06 18:00:00,10.65,51.17,49.9,9.94
71.0,30.0,282.2,84.0,2005-01-07 00:00:00,9.05,48.29,46.8,8.22
71.0,30.0,291.7,45.0,2005-01-07 06:00:00,18.55,65.39,63.7,17.61
71.0,30.0,292.4,49.0,2005-01-07 12:00:00,19.25,66.65,65.3,18.5
71.0,30.0,286.3,73.0,2005-01-07 18:00:00,13.15,55.67,54.4,12.44
71.0,30.0,284.8,72.0,2005-01-08 00:00:00,11.65,52.97,51.4,10.78
71.0,30.0,293.6,41.0,2005-01-08 06:00:00,20.45,68.81,67.3,19.61
71.0,30.0,294.3,48.0,2005-01-08 12:00:00,21.15,70.07,69.0,20.56
71.0,30.0,289.2,58.0,2005-01-08 18:00:00,16.05,60.89,59.4,15.22
71.0,30.0,286.4,47.0,2005-01-09 00:00:00,13.25,55.85,53.3,11.83
71.0,30.0,291.8,28.0,2005-01-09 06:00:00,18.65,65.57,63.1,17.28
71.0,30.0,291.2,38.0,2005-01-09 12:00:00,18.05,64.49,62.4,16.89
71.0,30.0,284.2,57.0,2005-01-09 18:00:00,11.05,51.89,49.5,9.72
71.0,30.0,283.3,32.0,2005-01-10 00:00:00,10.15,50.27,46.5,8.06
71.0,30.0,290.0,22.0,2005-01-10 06:00:00,16.85,62.33,59.3,15.17
71.0,30.0,289.0,33.0,2005-01-10 12:00:00,15.85,60.53,57.8,14.33
71.0,30.0,282.7,45.0,2005-01-10 18:00:00,9.55,49.19,45.9,7.72
71.0,30.0,281.8,41.0,2005-01-11 00:00:00,8.65,47.57,44.0,6.67
71.0,30.0,289.4,29.0,2005-01-11 06:00:00,16.25,61.25,58.4,14.67
71.0,30.0,288.9,42.0,2005-01-11 12:00:00,15.75,60.35,58.1,14.5
71.0,30.0,282.7,56.0,2005-01-11 18:00:00,9.55,49.19,46.4,8.0
71.0,30.0,281.3,56.0,2005-01-12 00:00:00,8.15,46.67,43.7,6.5
71.0,30.0,290.1,34.0,2005-01-12 06:00:00,16.95,62.51,60.1,15.61
71.0,30.0,290.1,40.0,2005-01-12 12:00:00,16.95,62.51,60.3,15.72
71.0,30.0,284.9,47.0,2005-01-12 18:00:00,11.75,53.15,50.4,10.22
71.0,30.0,282.0,58.0,2005-01-13 00:00:00,8.85,47.93,45.1,7.28
71.0,30.0,292.1,30.0,2005-01-13 06:00:00,18.95,66.11,63.8,17.67
71.0,30.0,293.3,30.0,2005-01-13 12:00:00,20.15,68.27,66.2,19.0
71.0,30.0,287.2,39.0,2005-01-13 18:00:00,14.05,57.29,54.6,12.56
71.0,30.0,285.5,44.0,2005-01-14 00:00:00,12.35,54.23,51.4,10.78
71.0,30.0,290.4,37.0,2005-01-14 06:00:00,17.25,63.05,60.8,16.0
71.0,30.0,290.3,43.0,2005-01-14 12:00:00,17.15,62.87,60.9,16.06
71.0,30.0,284.8,54.0,2005-01-14 18:00:00,11.65,52.97,50.5,10.28
71.0,30.0,282.2,40.0,2005-01-15 00:00:00,9.05,48.29,44.7,7.06
71.0,30.0,289.0,24.0,2005-01-15 06:00:00,15.85,60.53,57.4,14.11
71.0,30.0,289.0,31.0,2005-01-15 12:00:00,15.85,60.53,57.7,14.28
71.0,30.0,282.1,41.0,2005-01-15 18:00:00,8.95,48.11,44.5,6.94
71.0,30.0,280.8,39.0,2005-01-16 00:00:00,7.65,45.77,41.9,5.5
71.0,30.0,289.1,25.0,2005-01-16 06:00:00,15.95,60.71,57.7,14.28
71.0,30.0,288.6,29.0,2005-01-16 12:00:00,15.45,59.81,56.9,13.83
71.0,30.0,283.4,33.0,2005-01-16 18:00:00,10.25,50.45,46.7,8.17
71.0,30.0,280.3,41.0,2005-01-17 00:00:00,7.15,44.87,41.0,5.0
71.0,30.0,289.0,28.0,2005-01-17 06:00:00,15.85,60.53,57.6,14.22
71.0,30.0,289.1,37.0,2005-01-17 12:00:00,15.95,60.71,58.2,14.56
71.0,30.0,282.5,58.0,2005-01-17 18:00:00,9.35,48.83,46.1,7.83
71.0,30.0,280.8,45.0,2005-01-18 00:00:00,7.65,45.77,42.2,5.67
71.0,30.0,290.3,27.0,2005-01-18 06:00:00,17.15,62.87,60.1,15.61
71.0,30.0,290.5,30.0,2005-01-18 12:00:00,17.35,63.23,60.7,15.94
71.0,30.0,283.2,47.0,2005-01-18 18:00:00,10.05,50.09,47.0,8.33
71.0,30.0,281.1,51.0,2005-01-19 00:00:00,7.95,46.31,43.0,6.11
71.0,30.0,288.6,34.0,2005-01-19 06:00:00,15.45,59.81,57.1,13.94
71.0,30.0,288.8,42.0,2005-01-19 12:00:00,15.65,60.17,57.9,14.39
71.0,30.0,281.8,61.0,2005-01-19 18:00:00,8.65,47.57,44.9,7.17
71.0,30.0,281.6,52.0,2005-01-20 00:00:00,8.45,47.21,44.1,6.72
71.0,30.0,287.8,35.0,2005-01-20 06:00:00,14.65,58.37,55.6,13.11
71.0,30.0,287.3,41.0,2005-01-20 12:00:00,14.15,57.47,54.8,12.67
71.0,30.0,284.1,64.0,2005-01-20 18:00:00,10.95,51.71,49.6,9.78
71.0,30.0,282.7,63.0,2005-01-21 00:00:00,9.55,49.19,46.8,8.22
71.0,30.0,285.8,63.0,2005-01-21 06:00:00,12.65,54.77,52.9,11.61
71.0,30.0,286.1,56.0,2005-01-21 12:00:00,12.95,55.31,53.2,11.78
71.0,30.0,279.0,89.0,2005-01-21 18:00:00,5.85,42.53,40.7,4.83
71.0,30.0,276.8,96.0,2005-01-22 00:00:00,3.65,38.57,36.6,2.56
71.0,30.0,286.3,56.0,2005-01-22 06:00:00,13.15,55.67,53.6,12.0
71.0,30.0,288.6,47.0,2005-01-22 12:00:00,15.45,59.81,57.7,14.28
71.0,30.0,281.8,81.0,2005-01-22 18:00:00,8.65,47.57,45.8,7.67
71.0,30.0,279.4,79.0,2005-01-23 00:00:00,6.25,43.25,41.0,5.0
71.0,30.0,287.8,44.0,2005-01-23 06:00:00,14.65,58.37,56.0,13.33
71.0,30.0,287.1,52.0,2005-01-23 12:00:00,13.95,57.11,55.0,12.78
71.0,30.0,283.5,66.0,2005-01-23 18:00:00,10.35,50.63,48.5,9.17
71.0,30.0,282.2,83.0,2005-01-24 00:00:00,9.05,48.29,46.7,8.17
71.0,30.0,288.0,53.0,2005-01-24 06:00:00,14.85,58.73,56.8,13.78
71.0,30.0,288.7,50.0,2005-01-24 12:00:00,15.55,59.99,58.0,14.44
71.0,30.0,281.6,69.0,2005-01-24 18:00:00,8.45,47.21,44.9,7.17
71.0,30.0,278.6,72.0,2005-01-25 00:00:00,5.45,41.81,39.1,3.94
71.0,30.0,286.1,44.0,2005-01-25 06:00:00,12.95,55.31,52.6,11.44
71.0,30.0,288.2,44.0,2005-01-25 12:00:00,15.05,59.09,56.8,13.78
71.0,30.0,281.5,64.0,2005-01-25 18:00:00,8.35,47.03,44.4,6.89
71.0,30.0,279.2,77.0,2005-01-26 00:00:00,6.05,42.89,40.5,4.72
71.0,30.0,290.4,39.0,2005-01-26 06:00:00,17.25,63.05,60.9,16.06
71.0,30.0,292.4,39.0,2005-01-26 12:00:00,19.25,66.65,64.8,18.22
71.0,30.0,286.3,51.0,2005-01-26 18:00:00,13.15,55.67,53.3,11.83
71.0,30.0,284.4,66.0,2005-01-27 00:00:00,11.25,52.25,50.3,10.17
71.0,30.0,290.2,45.0,2005-01-27 06:00:00,17.05,62.69,60.8,16.0
71.0,30.0,291.7,33.0,2005-01-27 12:00:00,18.55,65.39,63.2,17.33
71.0,30.0,283.7,49.0,2005-01-27 18:00:00,10.55,50.99,48.1,8.94
71.0,30.0,282.0,83.0,2005-01-28 00:00:00,8.85,47.93,46.3,7.94
71.0,30.0,288.0,55.0,2005-01-28 06:00:00,14.85,58.73,56.9,13.83
71.0,30.0,289.4,48.0,2005-01-28 12:00:00,16.25,61.25,59.3,15.17
71.0,30.0,283.4,69.0,2005-01-28 18:00:00,10.25,50.45,48.4,9.11
71.0,30.0,280.7,78.0,2005-01-29 00:00:00,7.55,45.59,43.5,6.39
71.0,30.0,288.0,39.0,2005-01-29 06:00:00,14.85,58.73,56.1,13.39
71.0,30.0,288.1,37.0,2005-01-29 12:00:00,14.95,58.91,56.2,13.44
71.0,30.0,281.8,48.0,2005-01-29 18:00:00,8.65,47.57,44.3,6.83
71.0,30.0,279.5,53.0,2005-01-30 00:00:00,6.35,43.43,40.0,4.44
71.0,30.0,287.9,31.0,2005-01-30 06:00:00,14.75,58.55,55.6,13.11
71.0,30.0,288.9,30.0,2005-01-30 12:00:00,15.75,60.35,57.5,14.17
71.0,30.0,281.6,40.0,2005-01-30 18:00:00,8.45,47.21,43.5,6.39
71.0,30.0,279.6,45.0,2005-01-31 00:00:00,6.45,43.61,39.8,4.33
71.0,30.0,288.5,30.0,2005-01-31 06:00:00,15.35,59.63,56.7,13.72
71.0,30.0,289.4,32.0,2005-01-31 12:00:00,16.25,61.25,58.6,14.78
71.0,30.0,282.2,40.0,2005-01-31 18:00:00,9.05,48.29,44.7,7.06
71.0,30.0,280.3,47.0,2005-02-01 00:00:00,7.15,44.87,41.3,5.17
71.0,30.0,289.7,28.0,2005-02-01 06:00:00,16.55,61.79,59.0,15.0
71.0,30.0,291.0,31.0,2005-02-01 12:00:00,17.85,64.13,61.7,16.5
71.0,30.0,284.1,37.0,2005-02-01 18:00:00,10.95,51.71,48.3,9.06
71.0,30.0,280.2,57.0,2005-02-02 00:00:00,7.05,44.69,41.5,5.28
71.0,30.0,291.1,30.0,2005-02-02 06:00:00,17.95,64.31,61.9,16.61
71.0,30.0,291.9,44.0,2005-02-02 12:00:00,18.75,65.75,64.1,17.83
71.0,30.0,285.1,43.0,2005-02-02 18:00:00,11.95,53.51,50.6,10.33
71.0,30.0,282.9,50.0,2005-02-03 00:00:00,9.75,49.55,46.6,8.11
71.0,30.0,289.9,38.0,2005-02-03 06:00:00,16.75,62.15,59.9,15.5
71.0,30.0,292.4,36.0,2005-02-03 12:00:00,19.25,66.65,64.7,18.17
71.0,30.0,287.8,46.0,2005-02-03 18:00:00,14.65,58.37,56.1,13.39
71.0,30.0,283.3,78.0,2005-02-04 00:00:00,10.15,50.27,48.7,9.28
71.0,30.0,290.4,52.0,2005-02-04 06:00:00,17.25,63.05,61.5,16.39
71.0,30.0,293.4,41.0,2005-02-04 12:00:00,20.25,68.45,66.9,19.39
71.0,30.0,288.5,47.0,2005-02-04 18:00:00,15.35,59.63,57.5,14.17
71.0,30.0,285.2,78.0,2005-02-05 00:00:00,12.05,53.69,52.4,11.33
71.0,30.0,288.7,72.0,2005-02-05 06:00:00,15.55,59.99,59.1,15.06
71.0,30.0,288.8,70.0,2005-02-05 12:00:00,15.65,60.17,59.2,15.11
71.0,30.0,283.5,90.0,2005-02-05 18:00:00,10.35,50.63,49.6,9.78
71.0,30.0,283.3,83.0,2005-02-06 00:00:00,10.15,50.27,48.9,9.39
71.0,30.0,287.2,66.0,2005-02-06 06:00:00,14.05,57.29,55.8,13.22
71.0,30.0,288.6,66.0,2005-02-06 12:00:00,15.45,59.81,58.6,14.78
71.0,30.0,283.4,94.0,2005-02-06 18:00:00,10.25,50.45,49.6,9.78
71.0,30.0,282.4,94.0,2005-02-07 00:00:00,9.25,48.65,47.6,8.67
71.0,30.0,288.3,66.0,2005-02-07 06:00:00,15.15,59.27,58.0,14.44
71.0,30.0,290.8,62.0,2005-02-07 12:00:00,17.65,63.77,62.8,17.11
71.0,30.0,285.1,90.0,2005-02-07 18:00:00,11.95,53.51,52.8,11.56
71.0,30.0,282.8,93.0,2005-02-08 00:00:00,9.65,49.37,48.4,9.11
71.0,30.0,289.0,66.0,2005-02-08 06:00:00,15.85,60.53,59.4,15.22
71.0,30.0,287.1,78.0,2005-02-08 12:00:00,13.95,57.11,56.2,13.44
71.0,30.0,284.1,94.0,2005-02-08 18:00:00,10.95,51.71,51.0,10.56
71.0,30.0,283.4,96.0,2005-02-09 00:00:00,10.25,50.45,49.7,9.83
71.0,30.0,288.7,79.0,2005-02-09 06:00:00,15.55,59.99,59.4,15.22
71.0,30.0,294.0,77.0,2005-02-09 12:00:00,20.85,69.53,69.8,21.0
71.0,30.0,288.6,88.0,2005-02-09 18:00:00,15.45,59.81,59.6,15.33
71.0,30.0,286.1,99.0,2005-02-10 00:00:00,12.95,55.31,55.2,12.89
71.0,30.0,287.1,96.0,2005-02-10 06:00:00,13.95,57.11,57.0,13.89
71.0,30.0,286.4,96.0,2005-02-10 12:00:00,13.25,55.85,55.6,13.11
71.0,30.0,284.9,96.0,2005-02-10 18:00:00,11.75,53.15,52.7,11.5
71.0,30.0,284.9,96.0,2005-02-11 00:00:00,11.75,53.15,52.7,11.5
71.0,30.0,288.5,89.0,2005-02-11 06:00:00,15.35,59.63,59.5,15.28
71.0,30.0,292.1,85.0,2005-02-11 12:00:00,18.95,66.11,66.4,19.11
71.0,30.0,288.3,93.0,2005-02-11 18:00:00,15.15,59.27,59.3,15.17
71.0,30.0,286.2,93.0,2005-02-12 00:00:00,13.05,55.49,55.1,12.83
71.0,30.0,292.1,74.0,2005-02-12 06:00:00,18.95,66.11,65.9,18.83
71.0,30.0,294.4,75.0,2005-02-12 12:00:00,21.25,70.25,70.5,21.39
71.0,30.0,289.8,73.0,2005-02-12 18:00:00,16.65,61.97,61.3,16.28
71.0,30.0,286.7,63.0,2005-02-13 00:00:00,13.55,56.39,54.7,12.61
71.0,30.0,291.5,63.0,2005-02-13 06:00:00,18.35,65.03,64.2,17.89
71.0,30.0,289.3,86.0,2005-02-13 12:00:00,16.15,61.07,60.9,16.06
71.0,30.0,286.7,91.0,2005-02-13 18:00:00,13.55,56.39,56.0,13.33
71.0,30.0,285.4,95.0,2005-02-14 00:00:00,12.25,54.05,53.6,12.0
71.0,30.0,287.4,88.0,2005-02-14 06:00:00,14.25,57.65,57.3,14.06
71.0,30.0,288.0,100.0,2005-02-14 12:00:00,14.85,58.73,59.0,15.0
71.0,30.0,287.5,94.0,2005-02-14 18:00:00,14.35,57.83,57.7,14.28
71.0,30.0,287.1,93.0,2005-02-15 00:00:00,13.95,57.11,56.9,13.83
71.0,30.0,292.5,75.0,2005-02-15 06:00:00,19.35,66.83,66.7,19.28
71.0,30.0,294.1,69.0,2005-02-15 12:00:00,20.95,69.71,69.6,20.89
71.0,30.0,287.5,60.0,2005-02-15 18:00:00,14.35,57.83,56.1,13.39
71.0,30.0,282.4,55.0,2005-02-16 00:00:00,9.25,48.65,45.8,7.67
71.0,30.0,288.4,48.0,2005-02-16 06:00:00,15.25,59.45,57.4,14.11
71.0,30.0,289.1,60.0,2005-02-16 12:00:00,15.95,60.71,59.3,15.17
71.0,30.0,282.7,67.0,2005-02-16 18:00:00,9.55,49.19,47.0,8.33
71.0,30.0,280.5,67.0,2005-02-17 00:00:00,7.35,45.23,42.6,5.89
71.0,30.0,286.6,49.0,2005-02-17 06:00:00,13.45,56.21,53.8,12.11
71.0,30.0,288.8,63.0,2005-02-17 12:00:00,15.65,60.17,58.8,14.89
71.0,30.0,283.5,59.0,2005-02-17 18:00:00,10.35,50.63,48.2,9.0
71.0,30.0,279.5,63.0,2005-02-18 00:00:00,6.35,43.43,40.4,4.67
71.0,30.0,284.8,44.0,2005-02-18 06:00:00,11.65,52.97,50.0,10.0
71.0,30.0,286.7,49.0,2005-02-18 12:00:00,13.55,56.39,54.0,12.22
71.0,30.0,280.8,63.0,2005-02-18 18:00:00,7.65,45.77,43.0,6.11
71.0,30.0,279.8,58.0,2005-02-19 00:00:00,6.65,43.97,40.8,4.89
71.0,30.0,287.6,36.0,2005-02-19 06:00:00,14.45,58.01,55.2,12.89
71.0,30.0,289.6,54.0,2005-02-19 12:00:00,16.45,61.61,60.0,15.56
71.0,30.0,282.6,57.0,2005-02-19 18:00:00,9.45,49.01,46.3,7.94
71.0,30.0,288.3,38.0,2005-02-20 06:00:00,15.15,59.27,56.7,13.72
71.0,30.0,289.9,53.0,2005-02-20 12:00:00,16.75,62.15,60.6,15.89
71.0,30.0,282.8,57.0,2005-02-20 18:00:00,9.65,49.37,46.7,8.17
71.0,30.0,281.3,61.0,2005-02-21 00:00:00,8.15,46.67,43.9,6.61
71.0,30.0,290.5,37.0,2005-02-21 06:00:00,17.35,63.23,61.0,16.11
71.0,30.0,292.2,47.0,2005-02-21 12:00:00,19.05,66.29,64.8,18.22
71.0,30.0,284.2,64.0,2005-02-21 18:00:00,11.05,51.89,49.8,9.89
71.0,30.0,282.3,62.0,2005-02-22 00:00:00,9.15,48.47,45.9,7.72
71.0,30.0,292.2,32.0,2005-02-22 06:00:00,19.05,66.29,64.1,17.83
71.0,30.0,293.8,69.0,2005-02-22 12:00:00,20.65,69.17,69.0,20.56
71.0,30.0,287.6,69.0,2005-02-22 18:00:00,14.45,58.01,56.8,13.78
71.0,30.0,286.0,68.0,2005-02-23 00:00:00,12.85,55.13,53.5,11.94
71.0,30.0,294.2,35.0,2005-02-23 06:00:00,21.05,69.89,68.2,20.11
71.0,30.0,294.6,38.0,2005-02-23 12:00:00,21.45,70.61,69.2,20.67
71.0,30.0,287.9,60.0,2005-02-23 18:00:00,14.75,58.55,56.9,13.83
71.0,30.0,284.4,75.0,2005-02-24 00:00:00,11.25,52.25,50.7,10.39
71.0,30.0,293.6,43.0,2005-02-24 06:00:00,20.45,68.81,67.4,19.67
71.0,30.0,296.4,48.0,2005-02-24 12:00:00,23.25,73.85,73.2,22.89
71.0,30.0,289.3,58.0,2005-02-24 18:00:00,16.15,61.07,59.6,15.33
71.0,30.0,286.7,81.0,2005-02-25 00:00:00,13.55,56.39,55.5,13.06
71.0,30.0,294.1,48.0,2005-02-25 06:00:00,20.95,69.71,68.6,20.33
71.0,30.0,295.8,43.0,2005-02-25 12:00:00,22.65,72.77,71.8,22.11
71.0,30.0,289.2,61.0,2005-02-25 18:00:00,16.05,60.89,59.5,15.28
71.0,30.0,286.6,76.0,2005-02-26 00:00:00,13.45,56.21,55.1,12.83
71.0,30.0,294.8,44.0,2005-02-26 06:00:00,21.65,70.97,69.8,21.0
71.0,30.0,294.5,66.0,2005-02-26 12:00:00,21.35,70.43,70.3,21.28
71.0,30.0,291.4,62.0,2005-02-26 18:00:00,18.25,64.85,63.9,17.72
71.0,30.0,287.7,81.0,2005-02-27 00:00:00,14.55,58.19,57.5,14.17
71.0,30.0,294.3,62.0,2005-02-27 06:00:00,21.15,70.07,69.7,20.94
71.0,30.0,297.1,48.0,2005-02-27 12:00:00,23.95,75.11,74.6,23.67
71.0,30.0,288.4,90.0,2005-02-27 18:00:00,15.25,59.45,59.3,15.17
71.0,30.0,286.9,95.0,2005-02-28 00:00:00,13.75,56.75,56.6,13.67
71.0,30.0,287.3,97.0,2005-02-28 06:00:00,14.15,57.47,57.5,14.17
71.0,30.0,289.0,84.0,2005-02-28 12:00:00,15.85,60.53,60.2,15.67
71.0,30.0,287.3,90.0,2005-02-28 18:00:00,14.15,57.47,57.1,13.94
71.0,30.0,287.0,91.0,2005-03-01 00:00:00,13.85,56.93,56.6,13.67
71.0,30.0,291.0,76.0,2005-03-01 06:00:00,17.85,64.13,63.8,17.67
71.0,30.0,291.3,69.0,2005-03-01 12:00:00,18.15,64.67,64.1,17.83
