latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
30.0,71.0,2022-01-01 00:00:00,285.3633,26.3,12.21,53.98,50.3,10.17
30.0,71.0,2022-01-01 06:00:00,293.3129,14.6,20.16,68.29,65.5,18.61
30.0,71.0,2022-01-01 12:00:00,293.1308,16.7,19.98,67.97,65.3,18.5
30.0,71.0,2022-01-01 18:00:00,286.7187,26.3,13.57,56.42,53.0,11.67
30.0,71.0,2022-01-02 00:00:00,284.04788,28.3,10.9,51.62,47.8,8.78
30.0,71.0,2022-01-02 06:00:00,293.00638,14.5,19.86,67.74,64.9,18.28
30.0,71.0,2022-01-02 12:00:00,293.2834,18.5,20.13,68.24,65.6,18.67
30.0,71.0,2022-01-02 18:00:00,289.1332,26.7,15.98,60.77,57.8,14.33
30.0,71.0,2022-01-03 00:00:00,287.0176,32.8,13.87,56.96,53.9,12.17
30.0,71.0,2022-01-03 06:00:00,293.35907,21.6,20.21,68.38,65.9,18.83
30.0,71.0,2022-01-03 12:00:00,293.96365,20.0,20.81,69.46,67.0,19.44
30.0,71.0,2022-01-03 18:00:00,288.94968,44.8,15.8,60.44,58.3,14.61
30.0,71.0,2022-01-04 00:00:00,286.74332,57.8,13.59,56.47,54.5,12.5
30.0,71.0,2022-01-04 06:00:00,291.54544,41.5,18.4,65.11,63.3,17.39
30.0,71.0,2022-01-04 12:00:00,292.16602,38.1,19.02,66.23,64.3,17.94
30.0,71.0,2022-01-04 18:00:00,289.58566,46.9,16.44,61.58,59.6,15.33
30.0,71.0,2022-01-05 00:00:00,287.92142,54.5,14.77,58.59,56.7,13.72
30.0,71.0,2022-01-05 06:00:00,286.98044,75.5,13.83,56.89,55.8,13.22
30.0,71.0,2022-01-05 12:00:00,289.6108,55.5,16.46,61.63,60.1,15.61
30.0,71.0,2022-01-05 18:00:00,283.545,86.9,10.4,50.71,49.6,9.78
30.0,71.0,2022-01-06 00:00:00,282.13702,91.3,8.99,48.18,47.0,8.33
30.0,71.0,2022-01-06 06:00:00,289.38394,52.9,16.23,61.22,59.5,15.28
30.0,71.0,2022-01-06 12:00:00,290.7899,47.4,17.64,63.75,62.1,16.72
30.0,71.0,2022-01-06 18:00:00,285.38556,72.8,12.24,54.02,52.5,11.39
30.0,71.0,2022-01-07 00:00:00,285.51523,74.5,12.37,54.26,52.9,11.61
30.0,71.0,2022-01-07 06:00:00,285.03372,87.9,11.88,53.39,52.6,11.44
30.0,71.0,2022-01-07 12:00:00,285.078,85.5,11.93,53.47,52.5,11.39
30.0,71.0,2022-01-07 18:00:00,285.19452,88.4,12.04,53.68,52.9,11.61
30.0,71.0,2022-01-08 00:00:00,283.5431,85.3,10.39,50.71,49.5,9.72
30.0,71.0,2022-01-08 06:00:00,288.0137,62.0,14.86,58.75,57.2,14.0
30.0,71.0,2022-01-08 12:00:00,288.80554,58.6,15.66,60.18,58.7,14.83
30.0,71.0,2022-01-08 18:00:00,285.38074,73.0,12.23,54.02,52.6,11.44
30.0,71.0,2022-01-09 00:00:00,283.95233,77.2,10.8,51.44,49.9,9.94
30.0,71.0,2022-01-09 06:00:00,289.76038,51.2,16.61,61.9,60.2,15.67
30.0,71.0,2022-01-09 12:00:00,290.40817,44.2,17.26,63.06,61.1,16.17
30.0,71.0,2022-01-09 18:00:00,284.19653,69.3,11.05,51.88,50.0,10.0
30.0,71.0,2022-01-10 00:00:00,283.06937,74.4,9.92,49.85,48.0,8.89
30.0,71.0,2022-01-10 06:00:00,290.55643,43.7,17.41,63.33,61.4,16.33
30.0,71.0,2022-01-10 12:00:00,291.59204,36.5,18.44,65.2,63.1,17.28
30.0,71.0,2022-01-10 18:00:00,286.32114,54.5,13.17,55.71,53.5,11.94
30.0,71.0,2022-01-11 00:00:00,283.7701,72.2,10.62,51.12,49.3,9.61
30.0,71.0,2022-01-11 06:00:00,290.48035,50.5,17.33,63.19,61.6,16.44
30.0,71.0,2022-01-11 12:00:00,291.64902,37.7,18.5,65.3,63.3,17.39
30.0,71.0,2022-01-11 18:00:00,286.46542,47.1,13.32,55.97,53.5,11.94
30.0,71.0,2022-01-12 00:00:00,284.7658,49.6,11.62,52.91,50.2,10.11
30.0,71.0,2022-01-12 06:00:00,291.2044,37.2,18.05,64.5,62.4,16.89
30.0,71.0,2022-01-12 12:00:00,292.37512,30.1,19.23,66.61,64.4,18.0
30.0,71.0,2022-01-12 18:00:00,287.14127,37.7,13.99,57.18,54.4,12.44
30.0,71.0,2022-01-13 00:00:00,284.84018,44.7,11.69,53.04,50.1,10.06
30.0,71.0,2022-01-13 06:00:00,291.97412,26.7,18.82,65.88,63.4,17.44
30.0,71.0,2022-01-13 12:00:00,292.81335,22.1,19.66,67.39,64.9,18.28
30.0,71.0,2022-01-13 18:00:00,285.73367,30.5,12.58,54.65,51.2,10.67
30.0,71.0,2022-01-14 00:00:00,283.76508,30.7,10.62,51.11,47.4,8.56
30.0,71.0,2022-01-14 06:00:00,292.12344,25.4,18.97,66.15,63.7,17.61
30.0,71.0,2022-01-14 12:00:00,292.6335,22.2,19.48,67.07,64.5,18.06
30.0,71.0,2022-01-14 18:00:00,286.45184,26.6,13.3,55.94,52.5,11.39
30.0,71.0,2022-01-15 00:00:00,284.5366,33.0,11.39,52.5,49.0,9.44
30.0,71.0,2022-01-15 06:00:00,291.339,24.7,18.19,64.74,62.1,16.72
30.0,71.0,2022-01-15 12:00:00,292.67197,23.2,19.52,67.14,64.6,18.11
30.0,71.0,2022-01-15 18:00:00,287.16904,34.7,14.02,57.23,54.3,12.39
30.0,71.0,2022-01-16 00:00:00,285.33905,38.4,12.19,53.94,50.8,10.44
30.0,71.0,2022-01-16 06:00:00,291.80255,25.5,18.65,65.57,63.0,17.22
30.0,71.0,2022-01-16 12:00:00,292.54587,24.9,19.4,66.91,64.5,18.06
30.0,71.0,2022-01-16 18:00:00,288.84357,28.6,15.69,60.25,57.3,14.06
30.0,71.0,2022-01-17 00:00:00,288.75665,28.9,15.61,60.09,57.2,14.0
30.0,71.0,2022-01-17 06:00:00,292.98694,20.6,19.84,67.71,65.1,18.39
30.0,71.0,2022-01-17 12:00:00,294.56046,17.0,21.41,70.54,68.1,20.06
30.0,71.0,2022-01-17 18:00:00,287.97205,24.3,14.82,58.68,55.4,13.0
30.0,71.0,2022-01-18 00:00:00,285.53613,30.4,12.39,54.3,50.9,10.5
30.0,71.0,2022-01-18 06:00:00,293.28998,22.2,20.14,68.25,65.8,18.78
30.0,71.0,2022-01-18 12:00:00,294.63986,21.5,21.49,70.68,68.5,20.28
30.0,71.0,2022-01-18 18:00:00,288.5103,32.1,15.36,59.65,56.8,13.78
30.0,71.0,2022-01-19 00:00:00,289.24738,29.7,16.1,60.98,58.2,14.56
30.0,71.0,2022-01-19 06:00:00,295.3939,21.5,22.24,72.04,70.0,21.11
30.0,71.0,2022-01-19 12:00:00,295.8573,32.3,22.71,72.87,71.4,21.89
30.0,71.0,2022-01-19 18:00:00,287.29678,59.2,14.15,57.46,55.7,13.17
30.0,71.0,2022-01-20 00:00:00,285.83722,68.0,12.69,54.84,53.2,11.78
30.0,71.0,2022-01-20 06:00:00,290.938,49.6,17.79,64.02,62.5,16.94
30.0,71.0,2022-01-20 12:00:00,293.1745,39.7,20.02,68.04,66.4,19.11
30.0,71.0,2022-01-20 18:00:00,287.73175,51.1,14.58,58.25,56.2,13.44
30.0,71.0,2022-01-21 00:00:00,285.1616,59.1,12.01,53.62,51.5,10.83
30.0,71.0,2022-01-21 06:00:00,292.1703,41.1,19.02,66.24,64.5,18.06
30.0,71.0,2022-01-21 12:00:00,291.23117,45.6,18.08,64.55,62.8,17.11
30.0,71.0,2022-01-21 18:00:00,285.7031,82.1,12.55,54.6,53.6,12.0
30.0,71.0,2022-01-22 00:00:00,284.20267,92.0,11.05,51.89,51.1,10.61
30.0,71.0,2022-01-22 06:00:00,285.1335,76.8,11.98,53.57,52.2,11.22
30.0,71.0,2022-01-22 12:00:00,288.7935,47.6,15.64,60.16,58.1,14.5
30.0,71.0,2022-01-22 18:00:00,282.05557,85.1,8.91,48.03,46.5,8.06
30.0,71.0,2022-01-23 00:00:00,281.00858,87.3,7.86,46.15,44.6,7.0
30.0,71.0,2022-01-23 06:00:00,289.1807,51.2,16.03,60.86,59.1,15.06
30.0,71.0,2022-01-23 12:00:00,290.64087,39.0,17.49,63.48,61.4,16.33
30.0,71.0,2022-01-23 18:00:00,284.74237,70.6,11.59,52.87,51.2,10.67
30.0,71.0,2022-01-24 00:00:00,283.12076,78.3,9.97,49.95,48.3,9.06
30.0,71.0,2022-01-24 06:00:00,289.8675,46.5,16.72,62.09,60.2,15.67
30.0,71.0,2022-01-24 12:00:00,291.46432,35.5,18.31,64.97,62.8,17.11
30.0,71.0,2022-01-24 18:00:00,285.65207,48.2,12.5,54.5,51.9,11.06
30.0,71.0,2022-01-25 00:00:00,283.42245,56.6,10.27,50.49,47.9,8.83
30.0,71.0,2022-01-25 06:00:00,290.3454,36.8,17.2,62.95,60.7,15.94
30.0,71.0,2022-01-25 12:00:00,291.98602,25.2,18.84,65.9,63.4,17.44
30.0,71.0,2022-01-25 18:00:00,284.60498,41.5,11.45,52.62,49.5,9.72
30.0,71.0,2022-01-26 00:00:00,282.21194,51.4,9.06,48.31,45.3,7.39
30.0,71.0,2022-01-26 06:00:00,290.8331,28.6,17.68,63.83,61.3,16.28
30.0,71.0,2022-01-26 12:00:00,292.4787,19.4,19.33,66.79,64.1,17.83
30.0,71.0,2022-01-26 18:00:00,285.2508,26.0,12.1,53.78,50.1,10.06
30.0,71.0,2022-01-27 00:00:00,282.37,32.7,9.22,48.6,44.7,7.06
30.0,71.0,2022-01-27 06:00:00,290.56458,19.0,17.41,63.35,60.3,15.72
30.0,71.0,2022-01-27 12:00:00,292.51797,17.8,19.37,66.86,64.1,17.83
30.0,71.0,2022-01-27 18:00:00,285.4999,26.1,12.35,54.23,50.6,10.33
30.0,71.0,2022-01-28 00:00:00,283.3569,36.6,10.21,50.37,46.8,8.22
30.0,71.0,2022-01-28 06:00:00,290.97253,18.9,17.82,64.08,61.1,16.17
30.0,71.0,2022-01-28 12:00:00,293.6867,18.2,20.54,68.97,66.4,19.11
30.0,71.0,2022-01-28 18:00:00,287.40585,25.4,14.26,57.66,54.3,12.39
30.0,71.0,2022-01-29 00:00:00,284.14813,35.1,11.0,51.8,48.3,9.06
30.0,71.0,2022-01-29 06:00:00,292.93863,21.5,19.79,67.62,65.1,18.39
30.0,71.0,2022-01-29 12:00:00,295.05734,18.4,21.91,71.43,69.1,20.61
30.0,71.0,2022-01-29 18:00:00,287.3878,30.0,14.24,57.63,54.5,12.5
30.0,71.0,2022-01-30 00:00:00,285.01065,35.9,11.86,53.35,50.1,10.06
30.0,71.0,2022-01-30 06:00:00,293.38895,22.1,20.24,68.43,66.0,18.89
30.0,71.0,2022-01-30 12:00:00,296.1583,18.6,23.01,73.41,71.3,21.83
30.0,71.0,2022-01-30 18:00:00,288.3087,28.9,15.16,59.29,56.3,13.5
30.0,71.0,2022-01-31 00:00:00,286.32867,32.8,13.18,55.72,52.5,11.39
30.0,71.0,2022-01-31 06:00:00,295.50266,19.5,22.35,72.23,70.1,21.17
30.0,71.0,2022-01-31 12:00:00,298.1,18.9,24.95,76.91,75.2,24.0
30.0,71.0,2022-01-31 18:00:00,289.68286,29.6,16.53,61.76,59.0,15.0
30.0,71.0,2022-02-01 00:00:00,286.73346,36.2,13.58,56.45,53.5,11.94
30.0,71.0,2022-02-01 06:00:00,294.79834,26.7,21.65,70.97,69.0,20.56
30.0,71.0,2022-02-01 12:00:00,296.18387,17.8,23.03,73.46,71.3,21.83
30.0,71.0,2022-02-01 18:00:00,288.24826,26.1,15.1,59.18,56.0,13.33
30.0,71.0,2022-02-02 00:00:00,285.44888,29.3,12.3,54.14,50.6,10.33
30.0,71.0,2022-02-02 06:00:00,295.19934,16.7,22.05,71.69,69.3,20.72
30.0,71.0,2022-02-02 12:00:00,299.00137,15.1,25.85,78.53,76.8,24.89
30.0,71.0,2022-02-02 18:00:00,290.8351,31.0,17.69,63.83,61.4,16.33
30.0,71.0,2022-02-03 00:00:00,285.89767,44.1,12.75,54.95,52.2,11.22
30.0,71.0,2022-02-03 06:00:00,293.2921,27.9,20.14,68.26,66.1,18.94
30.0,71.0,2022-02-03 12:00:00,294.70444,19.6,21.55,70.8,68.5,20.28
30.0,71.0,2022-02-03 18:00:00,285.87704,42.1,12.73,54.91,52.1,11.17
30.0,71.0,2022-02-04 00:00:00,282.32462,76.4,9.17,48.51,46.7,8.17
30.0,71.0,2022-02-04 06:00:00,291.08926,40.5,17.94,64.29,62.3,16.83
30.0,71.0,2022-02-04 12:00:00,295.01248,21.9,21.86,71.35,69.2,20.67
30.0,71.0,2022-02-04 18:00:00,286.2859,46.4,13.14,55.64,53.1,11.72
30.0,71.0,2022-02-05 00:00:00,283.401,59.1,10.25,50.45,48.0,8.89
30.0,71.0,2022-02-05 06:00:00,291.52847,33.5,18.38,65.08,62.9,17.17
30.0,71.0,2022-02-05 12:00:00,295.41135,23.5,22.26,72.07,70.1,21.17
30.0,71.0,2022-02-05 18:00:00,286.65222,37.3,13.5,56.3,53.4,11.89
30.0,71.0,2022-02-06 00:00:00,283.42368,48.9,10.27,50.49,47.5,8.61
30.0,71.0,2022-02-06 06:00:00,292.6341,29.2,19.48,67.07,64.8,18.22
30.0,71.0,2022-02-06 12:00:00,295.4582,23.3,22.31,72.15,70.2,21.22
30.0,71.0,2022-02-06 18:00:00,286.1062,44.9,12.96,55.32,52.7,11.5
30.0,71.0,2022-02-07 00:00:00,283.80215,58.1,10.65,51.17,48.7,9.28
30.0,71.0,2022-02-07 06:00:00,293.39734,28.2,20.25,68.45,66.3,19.06
30.0,71.0,2022-02-07 12:00:00,295.74258,26.0,22.59,72.67,70.9,21.61
30.0,71.0,2022-02-07 18:00:00,286.438,51.4,13.29,55.92,53.6,12.0
30.0,71.0,2022-02-08 00:00:00,284.26456,58.4,11.11,52.01,49.7,9.83
30.0,71.0,2022-02-08 06:00:00,293.5684,33.3,20.42,68.75,66.9,19.39
30.0,71.0,2022-02-08 12:00:00,295.92944,26.7,22.78,73.0,71.3,21.83
30.0,71.0,2022-02-08 18:00:00,288.43384,57.2,15.28,59.51,57.8,14.33
30.0,71.0,2022-02-09 00:00:00,284.99622,69.1,11.85,53.32,51.6,10.89
30.0,71.0,2022-02-09 06:00:00,293.74063,35.4,20.59,69.06,67.3,19.61
30.0,71.0,2022-02-09 12:00:00,295.96152,25.6,22.81,73.06,71.3,21.83
30.0,71.0,2022-02-09 18:00:00,287.44092,45.7,14.29,57.72,55.3,12.94
30.0,71.0,2022-02-10 00:00:00,284.63104,47.6,11.48,52.67,49.9,9.94
30.0,71.0,2022-02-10 06:00:00,294.24002,26.6,21.09,69.96,67.9,19.94
30.0,71.0,2022-02-10 12:00:00,297.28372,15.4,24.13,75.44,73.4,23.0
30.0,71.0,2022-02-10 18:00:00,286.67093,36.6,13.52,56.34,53.4,11.89
30.0,71.0,2022-02-11 00:00:00,283.98077,44.5,10.83,51.5,48.4,9.11
30.0,71.0,2022-02-11 06:00:00,294.01147,23.8,20.86,69.55,67.3,19.61
30.0,71.0,2022-02-11 12:00:00,297.84286,13.9,24.69,76.45,74.4,23.56
30.0,71.0,2022-02-11 18:00:00,287.73544,25.7,14.59,58.25,55.0,12.78
30.0,71.0,2022-02-12 00:00:00,284.20224,35.2,11.05,51.89,48.4,9.11
30.0,71.0,2022-02-12 06:00:00,294.58374,17.9,21.43,70.58,68.2,20.11
30.0,71.0,2022-02-12 12:00:00,298.17685,13.3,25.03,77.05,75.1,23.94
