longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
68.0,26.0,283.05,28.1,2013-01-01 00:00:00,9.9,49.82,45.8,7.67
68.0,26.0,292.7,15.1,2013-01-01 06:00:00,19.55,67.19,64.3,17.94
68.0,26.0,292.78,14.6,2013-01-01 12:00:00,19.63,67.33,64.4,18.0
68.0,26.0,284.95,25.2,2013-01-01 18:00:00,11.8,53.24,49.4,9.67
68.0,26.0,284.75,26.9,2013-01-02 00:00:00,11.6,52.88,49.1,9.5
68.0,26.0,291.23,13.0,2013-01-02 06:00:00,18.08,64.54,61.3,16.28
68.0,26.0,292.53,11.3,2013-01-02 12:00:00,19.38,66.88,63.8,17.67
68.0,26.0,284.02,21.4,2013-01-02 18:00:00,10.87,51.57,47.4,8.56
68.0,26.0,281.35,24.1,2013-01-03 00:00:00,8.2,46.76,42.3,5.72
68.0,26.0,291.9,14.7,2013-01-03 06:00:00,18.75,65.75,62.7,17.06
68.0,26.0,292.84,14.0,2013-01-03 12:00:00,19.69,67.44,64.5,18.06
68.0,26.0,285.14,30.6,2013-01-03 18:00:00,11.99,53.58,50.1,10.06
68.0,26.0,282.55,38.6,2013-01-04 00:00:00,9.4,48.92,45.3,7.39
68.0,26.0,291.45,22.6,2013-01-04 06:00:00,18.3,64.94,62.2,16.78
68.0,26.0,292.86,18.1,2013-01-04 12:00:00,19.71,67.48,64.8,18.22
68.0,26.0,285.63,26.8,2013-01-04 18:00:00,12.48,54.46,50.9,10.5
68.0,26.0,283.17,34.2,2013-01-05 00:00:00,10.02,50.04,46.4,8.0
68.0,26.0,290.28,24.3,2013-01-05 06:00:00,17.13,62.83,60.0,15.56
68.0,26.0,292.37,19.2,2013-01-05 12:00:00,19.22,66.6,63.9,17.72
68.0,26.0,283.75,33.0,2013-01-05 18:00:00,10.6,51.08,47.4,8.56
68.0,26.0,281.34,35.4,2013-01-06 00:00:00,8.19,46.74,42.8,6.0
68.0,26.0,290.67,18.9,2013-01-06 06:00:00,17.52,63.54,60.5,15.83
