latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
26.0,68.0,2021-01-01 00:00:00,282.82275,21.8,9.67,49.41,45.1,7.28
26.0,68.0,2021-01-01 06:00:00,292.08493,12.7,18.93,66.08,63.0,17.22
26.0,68.0,2021-01-01 12:00:00,293.11185,11.1,19.96,67.93,64.9,18.28
26.0,68.0,2021-01-01 18:00:00,284.78574,18.3,11.64,52.94,48.8,9.33
26.0,68.0,2021-01-02 00:00:00,284.06686,18.2,10.92,51.65,47.4,8.56
26.0,68.0,2021-01-02 06:00:00,292.8314,10.2,19.68,67.43,64.4,18.0
26.0,68.0,2021-01-02 12:00:00,293.76782,8.5,20.62,69.11,66.1,18.94
26.0,68.0,2021-01-02 18:00:00,284.47763,16.9,11.33,52.39,48.1,8.94
26.0,68.0,2021-01-03 00:00:00,282.216,19.6,9.07,48.32,43.8,6.56
26.0,68.0,2021-01-03 06:00:00,292.82724,12.7,19.68,67.42,64.5,18.06
26.0,68.0,2021-01-03 12:00:00,293.32413,10.9,20.17,68.31,65.4,18.56
26.0,68.0,2021-01-03 18:00:00,283.9256,23.7,10.78,51.4,47.4,8.56
26.0,68.0,2021-01-04 00:00:00,283.23083,21.6,10.08,50.15,45.9,7.72
26.0,68.0,2021-01-04 06:00:00,293.36093,11.7,20.21,68.38,65.5,18.61
26.0,68.0,2021-01-04 12:00:00,294.82712,22.5,21.68,71.02,68.9,20.5
26.0,68.0,2021-01-04 18:00:00,286.26328,31.4,13.11,55.6,52.3,11.28
26.0,68.0,2021-01-05 00:00:00,285.13116,28.9,11.98,53.57,50.0,10.0
26.0,68.0,2021-01-05 06:00:00,293.8948,31.2,20.74,69.34,67.4,19.67
26.0,68.0,2021-01-05 12:00:00,294.66815,16.9,21.52,70.73,68.3,20.17
26.0,68.0,2021-01-05 18:00:00,286.5649,32.9,13.41,56.15,53.0,11.67
26.0,68.0,2021-01-06 00:00:00,282.77237,45.8,9.62,49.32,46.1,7.83
26.0,68.0,2021-01-06 06:00:00,294.20572,19.4,21.06,69.9,67.5,19.72
26.0,68.0,2021-01-06 12:00:00,293.3867,17.9,20.24,68.43,65.8,18.78
26.0,68.0,2021-01-06 18:00:00,285.34103,36.1,12.19,53.94,50.7,10.39
26.0,68.0,2021-01-07 00:00:00,284.42776,33.7,11.28,52.3,48.8,9.33
26.0,68.0,2021-01-07 06:00:00,292.85168,19.4,19.7,67.46,64.8,18.22
26.0,68.0,2021-01-07 12:00:00,293.8576,19.9,20.71,69.27,66.8,19.33
26.0,68.0,2021-01-07 18:00:00,284.189,37.4,11.04,51.87,48.5,9.17
26.0,68.0,2021-01-08 00:00:00,283.63446,33.2,10.48,50.87,47.2,8.44
26.0,68.0,2021-01-08 06:00:00,289.3389,13.3,16.19,61.14,57.6,14.22
26.0,68.0,2021-01-08 12:00:00,291.41153,9.9,18.26,64.87,61.5,16.39
26.0,68.0,2021-01-08 18:00:00,283.81924,13.4,10.67,51.2,46.6,8.11
26.0,68.0,2021-01-09 00:00:00,282.58392,19.4,9.43,48.98,44.5,6.94
26.0,68.0,2021-01-09 06:00:00,291.82025,21.4,18.67,65.61,62.9,17.17
26.0,68.0,2021-01-09 12:00:00,294.2939,16.3,21.14,70.06,67.5,19.72
26.0,68.0,2021-01-09 18:00:00,286.35684,24.3,13.21,55.77,52.2,11.22
26.0,68.0,2021-01-10 00:00:00,283.94537,23.9,10.8,51.43,47.4,8.56
26.0,68.0,2021-01-10 06:00:00,293.263,14.8,20.11,68.2,65.4,18.56
26.0,68.0,2021-01-10 12:00:00,295.1713,10.2,22.02,71.64,69.0,20.56
26.0,68.0,2021-01-10 18:00:00,284.6129,31.1,11.46,52.63,49.1,9.5
26.0,68.0,2021-01-11 00:00:00,282.31604,21.0,9.17,48.5,44.0,6.67
26.0,68.0,2021-01-11 06:00:00,294.1315,9.1,20.98,69.77,66.9,19.39
26.0,68.0,2021-01-11 12:00:00,294.70044,7.2,21.55,70.79,67.9,19.94
26.0,68.0,2021-01-11 18:00:00,283.58646,27.9,10.44,50.79,46.9,8.28
26.0,68.0,2021-01-12 00:00:00,282.50546,45.5,9.36,48.84,45.6,7.56
26.0,68.0,2021-01-12 06:00:00,294.9378,7.6,21.79,71.22,68.4,20.22
26.0,68.0,2021-01-12 12:00:00,294.2725,7.6,21.12,70.02,67.1,19.5
26.0,68.0,2021-01-12 18:00:00,284.70712,21.6,11.56,52.8,48.8,9.33
26.0,68.0,2021-01-13 00:00:00,283.91675,24.3,10.77,51.38,47.4,8.56
26.0,68.0,2021-01-13 06:00:00,296.9484,5.9,23.8,74.84,72.3,22.39
26.0,68.0,2021-01-13 12:00:00,295.9478,6.0,22.8,73.04,70.3,21.28
26.0,68.0,2021-01-13 18:00:00,285.8635,23.8,12.71,54.88,51.2,10.67
26.0,68.0,2021-01-14 00:00:00,284.79843,14.6,11.65,52.97,48.7,9.28
26.0,68.0,2021-01-14 06:00:00,298.01898,8.2,24.87,76.76,74.5,23.61
26.0,68.0,2021-01-14 12:00:00,296.69418,7.5,23.54,74.38,71.9,22.17
26.0,68.0,2021-01-14 18:00:00,290.2753,11.6,17.13,62.83,59.4,15.22
26.0,68.0,2021-01-15 00:00:00,286.2074,14.9,13.06,55.5,51.5,10.83
26.0,68.0,2021-01-15 06:00:00,296.2433,6.7,23.09,73.57,70.9,21.61
26.0,68.0,2021-01-15 12:00:00,296.85645,6.0,23.71,74.67,72.1,22.28
26.0,68.0,2021-01-15 18:00:00,285.38223,15.6,12.23,54.02,49.9,9.94
26.0,68.0,2021-01-16 00:00:00,286.19504,14.2,13.05,55.48,51.4,10.78
26.0,68.0,2021-01-16 06:00:00,295.69513,6.2,22.55,72.58,69.8,21.0
26.0,68.0,2021-01-16 12:00:00,297.1322,5.8,23.98,75.17,72.7,22.61
26.0,68.0,2021-01-16 18:00:00,285.61856,27.2,12.47,54.44,50.9,10.5
26.0,68.0,2021-01-17 00:00:00,283.50058,33.5,10.35,50.63,47.0,8.33
26.0,68.0,2021-01-17 06:00:00,295.8616,8.1,22.71,72.88,70.2,21.22
26.0,68.0,2021-01-17 12:00:00,295.78516,9.7,22.64,72.74,70.2,21.22
26.0,68.0,2021-01-17 18:00:00,285.9865,15.8,12.84,55.11,51.1,10.61
26.0,68.0,2021-01-18 00:00:00,287.07614,17.3,13.93,57.07,53.3,11.83
