District_id,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,pctile
601,0.993148078,0.868621937,0.922981366,1.323085847,1.069088743,0.852142857,1.101956135,1.224276032,1.363057325,1.391950464,1.293550332,1.089419795,1.214100906,1.453764861,1.025032092,1.713828425,1.527498448,1.467831754,0.685734463,0.779889153,1.524628616,1.333094556,1.865580448,1.666666667,2.029077118,1.275796178,1.703910615,,1.62195122,1.075289575,1.055840822,1.372093023,1.733425494,1.785322469,1.354674595,1.474264949,1.0496790759999999
602,1.568007663,1.33992467,1.387667304,1.920150305,1.565087495,1.608621426,1.708850621,1.703808752,1.71712356,1.755280988,1.845204934,1.799227799,2.245658466,2.079886886,1.964377525,2.154605263,2.024963289,2.497348887,2.333567663,2.155665372,2.466098687,2.563902107,2.712018906,2.479295729,3.0263329,2.562615101,2.860115607,,3.122679814,2.94142135,2.984216796,3.03594316,3.146371864,3.051766418,3.359240164,3.069092584,1.7154689722
603,1.802240896,1.401506997,1.604754008,1.870899471,1.748523622,1.708854427,1.9693451,1.77551963,1.765103697,2.052877866,2.21696638,1.900981647,2.084864392,1.965106732,2.375586854,2.190891089,2.328244275,2.846850245,2.439132034,2.363838459,2.69408262,2.361702128,2.716758748,2.585231194,2.911174785,2.578395954,2.995937712,,3.145149786,3.191456903,3.0,3.025403364,3.047098034,3.227195524,3.402419215,3.222117367,1.857167756
604,1.32571912,1.257408975,1.222016651,1.344888889,1.299835255,1.45247766,1.53297953,1.619631902,1.665098039,1.752066116,1.651979089,1.657677903,1.779285714,1.740740741,1.86641791,2.171348315,1.961567445,2.380029155,2.241452991,2.165787491,2.437070938,2.300595238,2.466435986,2.427016645,2.369032258,2.143757881,2.273266153,,2.445789763,2.233870968,2.436904762,2.517898383,2.226127393,2.280901989,3.070588235,2.330539808,1.6023014276
605,,,0.810998736,1.034001214,0.829867675,0.302208835,0.921185828,1.038490007,1.217360621,1.273913043,0.945621469,0.8048,1.059607843,1.194776119,1.016272189,1.713556851,1.2875,1.18018732,0.599702381,0.678752108,1.118820468,1.147592739,1.625866051,1.041181041,1.595307918,1.123973727,1.310611929,,1.313539192,0.926929392,1.625636672,1.311148087,1.656391355,1.800461894,1.242434752,1.1127088,0.9234832536
606,3.077630235,3.116788321,3.144407346,2.904249103,2.930217492,3.062207805,2.976423332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93945866
607,1.378035903,1.276220145,1.0508647,2.03458498,1.939585212,1.893711249,1.9428815,1.987684729,1.959234609,2.136328428,2.160617761,1.961826347,1.957894737,1.916046039,1.959142666,2.266055046,2.251604621,2.678783873,2.773487773,2.88496732,2.616174583,2.324471299,2.510012516,2.615432483,2.682539683,2.539746544,2.324356673,,2.646118721,2.659738717,2.848429952,2.914075749,2.984596459,2.762774869,3.216252994,3.034962323,1.9548920896
608,1.88966589,1.716988569,1.97833935,2.26247122,1.565838977,1.718908382,2.196969697,1.946195234,1.853441609,2.107609531,1.938213302,2.191530692,2.377786318,2.148119724,2.445882353,2.329006085,2.296434564,3.037603469,2.924866514,2.606157537,2.81896891,2.976989815,3.257586705,2.900219298,3.100948767,2.622790523,2.924300035,,3.163200564,3.04230359,3.12012987,3.150580431,3.199587602,3.142415273,3.277946979,3.20971286,1.9719105268
609,1.66117559,1.548743336,1.770435447,1.977062523,1.055694395,2.039871841,2.097280335,2.160970608,2.083136991,2.08675649,2.090161341,2.176470588,2.290808639,2.209095403,2.302891933,2.34974359,2.3752348,2.950023354,2.843474222,2.713826367,2.785154449,2.897940913,3.15146147,2.982849604,3.00857014,3.026684164,3.195090986,,3.143715144,3.484130343,3.163300387,3.172471674,2.717503218,2.957056031,3.001121177,3.161666819,2.0860325902
610,1.404459991,1.281051677,1.075833714,1.540820734,0.996518712,1.330652368,1.593106535,1.58209607,1.574496056,1.728634361,1.671511628,1.567000912,1.853425846,1.708442124,1.624892704,1.893081761,1.767827529,1.95505618,1.112471308,1.393939394,1.707856598,1.801928783,1.984913793,1.911723164,1.985376045,1.621096461,1.85840708,,1.905548217,1.766070245,1.926490066,1.785992218,1.536405472,1.694978914,1.848190876,2.016649187,1.5100163758
