District_id,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,pctile
801,27.374,32.68,48.875,58.06,43.269,66.958,54.217,50.751,48.078,74.87100000000001,53.661,62.43499999999999,53.623000000000005,55.019000000000005,50.745000000000005,44.014,41.02,44.613,73.298,61.94500000000001,43.865
802,29.73,32.126000000000005,49.465,56.916,37.903000000000006,55.65400000000001,51.06699999999999,55.339,39.373000000000005,54.451,74.063,59.21,48.04600000000001,47.143,44.045,41.182,39.445,53.086,66.24199999999999,58.61,39.4306
803,34.907,38.135,52.651,62.602,38.592,60.181,44.366,52.986,40.083000000000006,69.50800000000001,71.26299999999999,63.162,52.937,53.51100000000001,54.089,46.926,43.616,59.759,69.362,54.251,42.909400000000005
804,34.79,47.423,59.774,65.124,56.344,72.15,67.06599999999999,57.998000000000005,59.514,68.091,73.07300000000001,62.123000000000005,63.525,56.382000000000005,54.573,54.499,49.5,62.403,75.824,66.666,54.5582
805,41.304,54.901,58.838,73.209,39.306,63.945000000000014,42.493,46.391,40.254000000000005,50.639,65.523,58.059000000000005,60.456,63.40000000000001,57.401,58.726,57.66299999999999,74.494,71.682,63.928,45.6114
806,25.698,29.702,50.469,55.148,34.352999999999994,57.922,59.739,51.537,36.569,53.306,77.70899999999999,43.266,40.167,33.324,32.587,31.582,30.956,41.173,59.795,49.824,32.386
807,27.843,27.757,42.654,49.90599999999999,32.111000000000004,52.774,58.23700000000001,45.268,41.667,54.74000000000001,69.133,39.634,40.517,29.353,28.234,31.044,36.832,33.39900000000001,62.037,54.725,30.7058
808,38.389,43.99,53.889,69.561,42.242,65.18599999999999,44.176,57.097,42.61300000000001,57.495000000000005,68.63900000000001,59.152,58.977,63.705,59.88000000000001,55.839,56.767,72.515,73.73599999999999,63.419,44.1388
809,30.757000000000005,33.551,54.574,54.88099999999999,38.543,52.121,46.078,43.53399999999999,36.987,61.136,67.768,58.78099999999999,48.843,42.961000000000006,45.266,39.691,41.422,51.645,61.10100000000001,50.80200000000001,39.461400000000005
810,33.183,40.856,49.91199999999999,61.75,37.647,57.348,39.665,54.703,38.998000000000005,60.325,68.923,66.176,61.277,63.998000000000005,61.894000000000005,60.097,57.816,75.919,75.70899999999999,67.191,40.6178
811,33.976000000000006,46.614,57.926,69.53800000000001,52.202,66.71000000000001,63.42900000000001,64.336,58.19500000000001,65.56,65.27699999999999,60.277,63.802,58.775,58.79100000000001,59.614,50.434000000000005,70.643,75.425,64.078,56.781200000000005
812,12.837,34.775,69.18299999999999,67.358,57.161,71.309,63.248000000000005,52.969,55.594,73.823,59.841,65.72,61.228,60.155,58.104,54.095000000000006,47.61300000000001,52.741,76.692,65.793,52.9234
813,31.288,42.14,56.987,69.58500000000001,49.316,67.717,58.015,63.79600000000001,50.402,68.165,75.71,68.27000000000001,62.201,62.281000000000006,61.667,58.876,49.799,73.81099999999999,77.089,64.965,50.2814
814,30.212,33.448,64.11099999999999,63.529,42.49399999999999,56.178,51.065000000000005,43.23,43.886,61.95799999999999,61.41099999999999,58.034000000000006,54.107000000000006,47.92,52.315,45.254000000000005,44.008,52.423,66.581,57.349,43.7548
816,33.102,41.29,58.029,64.006,47.334,63.07199999999999,50.807,54.676,45.462,55.722,61.174,60.526,54.68399999999999,51.412,50.892,49.564,45.656,66.125,71.889,59.348,46.998400000000004
817,36.089,48.311,55.593,66.961,39.11,59.343,37.615,51.975,33.741,52.61900000000001,59.39800000000001,59.91700000000001,57.747,57.293000000000006,53.47299999999999,54.516,54.574,72.83,72.69300000000001,63.324,46.470800000000004
818,30.355,35.812,47.333,55.49399999999999,43.104000000000006,55.538,44.152,51.212,39.128,64.321,70.165,63.72799999999999,54.31500000000001,51.443000000000005,51.598,44.65,47.293,58.514,66.90299999999999,53.49100000000001,43.9424
819,19.042,34.88199999999999,57.1,62.91799999999999,44.84499999999999,62.141000000000005,62.397000000000006,57.087,57.28499999999999,71.641,64.35900000000001,64.636,64.17999999999999,58.786,56.081,58.789,51.741,68.797,81.73700000000001,71.08099999999999,55.213
820,30.436,43.101,49.159,57.686,38.182,64.21900000000001,50.706,48.034,42.99499999999999,67.251,56.93700000000001,57.769000000000005,49.223,51.033,41.976,40.602,38.67700000000001,51.512,69.75200000000001,55.258,41.7012
821,39.155,25.098000000000003,63.798,52.706,33.043,64.191,52.162,33.552,42.757000000000005,63.868,80.827,58.999,59.82000000000001,36.255,62.247,45.664,47.837,35.534000000000006,66.594,61.718,36.110800000000005
822,29.326,33.753,46.113,55.801,38.242,49.603,49.565,46.141000000000005,43.981,49.089,56.536,44.718,41.818,41.284000000000006,38.852,37.701,38.328,42.219,59.74300000000001,50.678,38.3108
823,26.144,24.894,66.90200000000002,57.264,34.55400000000001,65.29499999999999,51.978,37.244,46.227,62.394000000000005,76.751,67.42699999999999,53.565,43.48199999999999,61.453,45.928,44.620000000000005,39.181,63.659000000000006,60.165000000000006,38.7936
