realisation,NoEvents,NoTriggers,MaxTriggersYear,TriggerPerYear,YearsPerTrigger
103.0,121.0,6.0,1.0,0.3,3.3333333333333335
104.0,122.0,6.0,1.0,0.3,3.3333333333333335
105.0,122.0,6.0,1.0,0.3,3.3333333333333335
106.0,120.0,6.0,1.0,0.3,3.3333333333333335
107.0,117.0,6.0,1.0,0.3,3.3333333333333335
108.0,116.0,7.0,1.0,0.35,2.857142857142857
109.0,111.0,8.0,1.0,0.4,2.5
110.0,119.0,9.0,1.0,0.45,2.2222222222222223
111.0,121.0,9.0,1.0,0.45,2.2222222222222223
112.0,120.0,9.0,1.0,0.45,2.2222222222222223
113.0,117.0,9.0,1.0,0.45,2.2222222222222223
114.0,120.0,10.0,1.0,0.5,2.0
115.0,120.0,10.0,1.0,0.5,2.0
116.0,121.0,11.0,1.0,0.55,1.8181818181818181
117.0,125.0,11.0,1.0,0.55,1.8181818181818181
118.0,122.0,10.0,1.0,0.5,2.0
119.0,117.0,9.0,1.0,0.45,2.2222222222222223
120.0,123.0,9.0,1.0,0.45,2.2222222222222223
121.0,130.0,9.0,1.0,0.45,2.2222222222222223
122.0,134.0,10.0,1.0,0.5,2.0
123.0,137.0,10.0,1.0,0.5,2.0
124.0,141.0,11.0,1.0,0.55,1.8181818181818181
125.0,143.0,11.0,1.0,0.55,1.8181818181818181
126.0,147.0,11.0,1.0,0.55,1.8181818181818181
127.0,147.0,12.0,1.0,0.6,1.6666666666666667
128.0,148.0,12.0,1.0,0.6,1.6666666666666667
129.0,154.0,12.0,1.0,0.6,1.6666666666666667
130.0,150.0,12.0,1.0,0.6,1.6666666666666667
131.0,147.0,11.0,1.0,0.55,1.8181818181818181
132.0,148.0,12.0,1.0,0.6,1.6666666666666667
133.0,144.0,12.0,1.0,0.6,1.6666666666666667
134.0,145.0,12.0,1.0,0.6,1.6666666666666667
135.0,145.0,11.0,1.0,0.55,1.8181818181818181
136.0,150.0,10.0,1.0,0.5,2.0
137.0,146.0,9.0,1.0,0.45,2.2222222222222223
138.0,144.0,10.0,1.0,0.5,2.0
139.0,149.0,11.0,1.0,0.55,1.8181818181818181
140.0,144.0,10.0,1.0,0.5,2.0
141.0,140.0,11.0,1.0,0.55,1.8181818181818181
142.0,142.0,10.0,1.0,0.5,2.0
143.0,150.0,10.0,1.0,0.5,2.0
144.0,148.0,10.0,1.0,0.5,2.0
145.0,147.0,11.0,1.0,0.55,1.8181818181818181
146.0,145.0,12.0,1.0,0.6,1.6666666666666667
147.0,147.0,12.0,1.0,0.6,1.6666666666666667
148.0,143.0,11.0,1.0,0.55,1.8181818181818181
149.0,135.0,10.0,1.0,0.5,2.0
150.0,135.0,9.0,1.0,0.45,2.2222222222222223
151.0,131.0,10.0,1.0,0.5,2.0
152.0,128.0,10.0,1.0,0.5,2.0
153.0,132.0,11.0,1.0,0.55,1.8181818181818181
154.0,129.0,10.0,1.0,0.5,2.0
155.0,127.0,10.0,1.0,0.5,2.0
156.0,116.0,10.0,1.0,0.5,2.0
157.0,116.0,10.0,1.0,0.5,2.0
158.0,112.0,9.0,1.0,0.45,2.2222222222222223
159.0,108.0,8.0,1.0,0.4,2.5
160.0,107.0,8.0,1.0,0.4,2.5
161.0,103.0,7.0,1.0,0.35,2.857142857142857
