realisation,NoEvents,NoTriggers,MaxTriggersYear,TriggerPerYear,YearsPerTrigger
1.0,98.0,7.0,1.0,0.3684210526315789,2.7142857142857144
2.0,103.0,7.0,1.0,0.3684210526315789,2.7142857142857144
3.0,100.0,7.0,1.0,0.3684210526315789,2.7142857142857144
4.0,102.0,7.0,1.0,0.3684210526315789,2.7142857142857144
5.0,97.0,6.0,1.0,0.3157894736842105,3.1666666666666665
6.0,99.0,6.0,1.0,0.3157894736842105,3.1666666666666665
7.0,94.0,6.0,1.0,0.3157894736842105,3.1666666666666665
8.0,90.0,5.0,1.0,0.2631578947368421,3.8
9.0,89.0,4.0,1.0,0.21052631578947367,4.75
10.0,93.0,4.0,1.0,0.21052631578947367,4.75
11.0,102.0,4.0,1.0,0.21052631578947367,4.75
12.0,107.0,5.0,1.0,0.2631578947368421,3.8
13.0,117.0,6.0,1.0,0.3157894736842105,3.1666666666666665
14.0,120.0,7.0,1.0,0.3684210526315789,2.7142857142857144
15.0,119.0,7.0,1.0,0.3684210526315789,2.7142857142857144
16.0,119.0,7.0,1.0,0.3684210526315789,2.7142857142857144
17.0,109.0,6.0,1.0,0.3157894736842105,3.1666666666666665
18.0,105.0,6.0,1.0,0.3157894736842105,3.1666666666666665
19.0,104.0,6.0,1.0,0.3157894736842105,3.1666666666666665
20.0,107.0,5.0,1.0,0.2631578947368421,3.8
21.0,102.0,4.0,1.0,0.21052631578947367,4.75
22.0,101.0,5.0,1.0,0.2631578947368421,3.8
23.0,106.0,5.0,1.0,0.2631578947368421,3.8
24.0,109.0,5.0,1.0,0.2631578947368421,3.8
25.0,109.0,6.0,1.0,0.3157894736842105,3.1666666666666665
26.0,111.0,7.0,1.0,0.3684210526315789,2.7142857142857144
27.0,111.0,7.0,1.0,0.3684210526315789,2.7142857142857144
28.0,117.0,7.0,1.0,0.3684210526315789,2.7142857142857144
29.0,118.0,7.0,1.0,0.3684210526315789,2.7142857142857144
30.0,121.0,7.0,1.0,0.3684210526315789,2.7142857142857144
31.0,120.0,8.0,1.0,0.42105263157894735,2.375
32.0,114.0,8.0,1.0,0.42105263157894735,2.375
33.0,113.0,8.0,1.0,0.42105263157894735,2.375
34.0,116.0,7.0,1.0,0.3684210526315789,2.7142857142857144
35.0,114.0,7.0,1.0,0.3684210526315789,2.7142857142857144
36.0,113.0,7.0,1.0,0.3684210526315789,2.7142857142857144
37.0,112.0,7.0,1.0,0.3684210526315789,2.7142857142857144
38.0,112.0,8.0,1.0,0.42105263157894735,2.375
39.0,110.0,8.0,1.0,0.42105263157894735,2.375
40.0,114.0,8.0,1.0,0.42105263157894735,2.375
41.0,124.0,8.0,1.0,0.42105263157894735,2.375
42.0,118.0,7.0,1.0,0.3684210526315789,2.7142857142857144
43.0,119.0,8.0,1.0,0.42105263157894735,2.375
44.0,124.0,9.0,1.0,0.47368421052631576,2.111111111111111
45.0,124.0,8.0,1.0,0.42105263157894735,2.375
46.0,120.0,7.0,1.0,0.3684210526315789,2.7142857142857144
47.0,111.0,6.0,1.0,0.3157894736842105,3.1666666666666665
