date,precip
19810101,0.0
19810102,106679.56186085087
19810103,127541.14363268293
19810104,178688.2344780708
19810105,29691.594296692176
19810106,3591.191660261154
19810107,12.804096221923828
19810108,52.90816325019387
19810109,301.86222427639296
19810110,441.1343616951915
19810111,0.0
19810112,0.0
19810113,0.0
19810114,14285.3258263983
19810115,47167.79188809864
19810116,19749.70756250386
19810117,1359.8304405393553
19810118,19.581150358330973
19810119,799.237519819596
19810120,9108.190862652602
19810121,15925.17946280311
19810122,49383.625065723325
19810123,305077.96240162855
19810124,267341.16311774985
19810125,96789.72619251
19810126,28622.521414545827
19810127,218219.0847375489
19810128,133257.55078450218
19810129,100614.54930508832
19810130,100094.27973541123
19810131,33627.72328589406
19810201,0.0
19810202,110569.53325439534
19810203,482979.07634306094
19810204,203946.43300846723
19810205,82215.11471883321
19810206,7909.174573559972
19810207,16.63846325804205
19810208,1637.2795738820937
19810209,0.8080511911242616
19810210,2418.3543820569917
19810211,15525.918546036526
19810212,27456.965069460173
19810213,202588.4051993929
19810214,35680.57383980061
19810215,4543.48913862004
19810216,803.279109905222
19810217,830.8879634761344
19810218,5314.618346684469
19810219,13541.833950118107
19810220,1102.6972738263653
19810221,6468.944114018191
19810222,27294.662509531463
19810223,47219.019726693085
19810224,172812.9783664265
19810225,3091.09622762472
19810226,28145.29256210532
19810227,129388.45395287391
19810228,52511.967670152175
19810301,16296.780087548033
19810302,19276.023794018987
19810303,89052.23596021721
19810304,180304.9818921541
19810305,244233.05818168967
19810306,335006.6642321442
19810307,3564.5307826027006
19810308,1921.1433747570888
19810309,44741.33959152463
19810310,168229.5970475985
19810311,847.737474881434
19810312,13082.000925580487
19810313,437321.96657423023
19810314,175738.08304573945
19810315,14524.929744996802
19810316,2873.547653211332
19810317,70740.60659062934
19810318,99385.70003508424
19810319,269598.8062881282
19810320,331362.4484525364
19810321,114869.67951817978
19810322,11947.699694929874
19810323,0.0
19810324,878.3711643201461
19810325,16269.327371939846
19810326,2765.2516592684915
19810327,312.10821765404125
19810328,40077.481518572924
19810329,144281.89885719243
19810330,73244.8569041959
19810331,0.0
19810401,1077.7611345833423
19810402,35207.04048919279
19810403,41459.61333303287
19810404,1525.0755825304514
19810405,8.897976696491241
19810406,343.31598573572495
19810407,6.0516530714783014
19810408,39.3094801902771
19810409,1851.9778518676758
19810410,49.20202837457844
19810411,4986.656202793121
19810412,29739.764263616824
19810413,90670.74358660799
19810414,127322.78587207539
19810415,113335.18820473313
19810416,24881.56846382947
19810417,4353.952576956095
19810418,380.67878534466615
19810419,4832.559425126339
19810420,183593.59608039662
19810421,193428.35205687906
19810422,2656.8219439497184
19810423,410.04895896818124
19810424,4976.044168468317
19810425,46190.74550003401
19810426,133583.6396241681
19810427,38337.45693671493
19810428,57267.96319279015
19810429,41492.43472803175
19810430,12071.19787328886
19810501,3040.6182258947224
19810502,13.271238803863525
19810503,6032.943583806794
19810504,344583.8363373666
19810505,52524.8125790309
19810506,25101.83791115402
19810507,90524.0794903538
19810508,27712.205945059686
19810509,7481.294756707023
19810510,3066.297833428196
19810511,2621.955827058998
19810512,35963.21412326729
19810513,54406.46021781058
19810514,1560.155883606859
19810515,3222.0493788090407
19810516,466.5498581306607
19810517,0.0
19810518,21.0519437789917
19810519,65.70945253465689
19810520,1340.5350624322891
19810521,3845.063563327697
19810522,3133.355262986819
19810523,14.860941775639851
19810524,94.74391244533015
19810525,83.42474555969238
19810526,3176.48820529919
19810527,11336.083139048369
19810528,2439.487403530233
19810529,3153.4416306070248
19810530,48322.991527663486
19810531,15532.732851928587
19810601,37038.76323518306
19810602,12178.337416537135
19810603,26639.5245013022
19810604,9558.215393880535
19810605,4074.01310207014
19810606,775.0427412556667
19810607,8651.810215125042
19810608,35626.98433589959
19810609,34287.731114478906
19810610,12813.577178102147
19810611,13728.839267195908
19810612,8296.878461177674
19810613,2842.2521212760143
19810614,7388.289556543032
19810615,8672.633708499461
19810616,7937.626577072519
19810617,2490.057699559717
19810618,9927.69462228476
19810619,3045.9062508128436
19810620,10554.953192124647
19810621,33615.70615596679
19810622,16531.016817691743
19810623,2041.9485256371547
19810624,6417.659353129419
19810625,8167.844590014921
19810626,15153.785456357284
19810627,11054.169330883495
19810628,37734.133716190554
19810629,271085.6864705929
19810630,345876.9588729591
19810701,140637.75266024668
19810702,16191.817345611367
19810703,5899.207761817586
19810704,11226.853642856493
19810705,14215.34819101037
19810706,1169.9247207393832
19810707,17960.76865984365
19810708,43245.349750919435
19810709,128352.15678828231
19810710,8087.120214423947
19810711,43244.188326702635
19810712,19168.059072331813
19810713,288253.5967427625
19810714,400359.88654746336
19810715,140307.26960365401
19810716,61086.61022610889
19810717,60949.05837335306
19810718,42581.978724655455
19810719,47752.00414729282
19810720,170630.03902285398
19810721,586847.7453406861
19810722,458432.8822557545
19810723,192437.0877354125
19810724,248951.7154199627
19810725,198969.78226829262
19810726,120229.46213579972
19810727,273014.68628334504
19810728,622054.1166851441
19810729,418337.19228081417
19810730,72665.00118089542
19810731,41601.02824241098
19810801,17511.378804870215
19810802,31397.677904541943
19810803,77769.5482616079
19810804,52212.59592428299
19810805,114523.4825824831
19810806,124033.7692840526
19810807,95942.66779431653
19810808,301722.6297305597
19810809,249198.19460033468
19810810,482192.3397856935
19810811,107514.30722088882
19810812,28132.564501918532
19810813,53042.410239852754
19810814,264139.749138706
19810815,74790.09780821658
19810816,26388.46438081521
19810817,41313.354364941406
19810818,9709.353825636656
19810819,4103.926446681163
19810820,66457.17078509237
19810821,25661.564657546965
19810822,46541.187981972034
