longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
67.0,25.0,285.32,30.9,2011-01-01 00:00:00,12.17,53.91,50.5,10.28
67.0,25.0,295.6,13.5,2011-01-01 06:00:00,22.45,72.41,70.0,21.11
67.0,25.0,295.6,18.6,2011-01-01 12:00:00,22.45,72.41,70.2,21.22
67.0,25.0,286.54,43.6,2011-01-01 18:00:00,13.39,56.1,53.5,11.94
67.0,25.0,283.86,54.3,2011-01-02 00:00:00,10.71,51.28,48.7,9.28
67.0,25.0,295.27,20.3,2011-01-02 06:00:00,22.12,71.82,69.7,20.94
67.0,25.0,294.81,29.6,2011-01-02 12:00:00,21.66,70.99,69.2,20.67
67.0,25.0,286.1,67.5,2011-01-02 18:00:00,12.95,55.31,53.7,12.06
67.0,25.0,285.27,38.4,2011-01-03 00:00:00,12.12,53.82,50.7,10.39
67.0,25.0,295.62,15.4,2011-01-03 06:00:00,22.47,72.45,70.1,21.17
67.0,25.0,295.38,19.6,2011-01-03 12:00:00,22.23,72.01,69.8,21.0
67.0,25.0,288.72,30.9,2011-01-03 18:00:00,15.57,60.03,57.2,14.0
67.0,25.0,285.94,39.9,2011-01-04 00:00:00,12.79,55.02,52.1,11.17
67.0,25.0,295.88,23.5,2011-01-04 06:00:00,22.73,72.91,71.0,21.67
67.0,25.0,296.2,23.0,2011-01-04 12:00:00,23.05,73.49,71.6,22.0
67.0,25.0,288.25,39.6,2011-01-04 18:00:00,15.1,59.18,56.7,13.72
67.0,25.0,285.91,47.2,2011-01-05 00:00:00,12.76,54.97,52.4,11.33
67.0,25.0,295.3,21.1,2011-01-05 06:00:00,22.15,71.87,69.7,20.94
67.0,25.0,296.7,19.1,2011-01-05 12:00:00,23.55,74.39,72.4,22.44
67.0,25.0,288.56,32.4,2011-01-05 18:00:00,15.41,59.74,56.9,13.83
67.0,25.0,286.45,36.8,2011-01-06 00:00:00,13.3,55.94,53.0,11.67
67.0,25.0,296.19,17.7,2011-01-06 06:00:00,23.04,73.47,71.3,21.83
67.0,25.0,296.9,22.1,2011-01-06 12:00:00,23.75,74.75,73.0,22.78
67.0,25.0,288.7,34.2,2011-01-06 18:00:00,15.55,59.99,57.3,14.06
67.0,25.0,286.57,34.3,2011-01-07 00:00:00,13.42,56.16,53.1,11.72
67.0,25.0,296.16,18.3,2011-01-07 06:00:00,23.01,73.42,71.3,21.83
67.0,25.0,296.27,32.2,2011-01-07 12:00:00,23.12,73.62,72.2,22.33
67.0,25.0,289.41,81.0,2011-01-07 18:00:00,16.26,61.27,60.9,16.06
67.0,25.0,287.47,90.9,2011-01-08 00:00:00,14.32,57.78,57.5,14.17
67.0,25.0,296.3,42.5,2011-01-08 06:00:00,23.15,73.67,72.7,22.61
67.0,25.0,297.74,30.8,2011-01-08 12:00:00,24.59,76.26,75.0,23.89
67.0,25.0,288.75,40.4,2011-01-08 18:00:00,15.6,60.08,57.7,14.28
67.0,25.0,287.33,28.2,2011-01-09 00:00:00,14.18,57.52,54.3,12.39
67.0,25.0,296.5,14.8,2011-01-09 06:00:00,23.35,74.03,71.8,22.11
67.0,25.0,297.31,17.4,2011-01-09 12:00:00,24.16,75.49,73.6,23.11
67.0,25.0,289.55,21.9,2011-01-09 18:00:00,16.4,61.52,58.4,14.67
67.0,25.0,287.03,24.0,2011-01-10 00:00:00,13.88,56.98,53.5,11.94
67.0,25.0,296.33,13.7,2011-01-10 06:00:00,23.18,73.72,71.4,21.89
67.0,25.0,297.71,17.1,2011-01-10 12:00:00,24.56,76.21,74.3,23.5
67.0,25.0,288.28,62.9,2011-01-10 18:00:00,15.13,59.23,57.8,14.33
67.0,25.0,287.06,81.5,2011-01-11 00:00:00,13.91,57.04,56.3,13.5
67.0,25.0,297.17,46.2,2011-01-11 06:00:00,24.02,75.24,74.6,23.67
67.0,25.0,296.28,50.2,2011-01-11 12:00:00,23.13,73.63,73.1,22.83
67.0,25.0,291.11,85.7,2011-01-11 18:00:00,17.96,64.33,64.5,18.06
67.0,25.0,289.01,93.1,2011-01-12 00:00:00,15.86,60.55,60.7,15.94
67.0,25.0,298.4,56.4,2011-01-12 06:00:00,25.25,77.45,77.5,25.28
67.0,25.0,297.08,51.4,2011-01-12 12:00:00,23.93,75.07,74.7,23.72
67.0,25.0,293.43,72.8,2011-01-12 18:00:00,20.28,68.5,68.5,20.28
67.0,25.0,292.76,75.4,2011-01-13 00:00:00,19.61,67.3,67.3,19.61
67.0,25.0,298.63,37.5,2011-01-13 06:00:00,25.48,77.86,77.1,25.06
67.0,25.0,296.18,44.8,2011-01-13 12:00:00,23.03,73.45,72.6,22.56
67.0,25.0,292.56,64.8,2011-01-13 18:00:00,19.41,66.94,66.4,19.11
67.0,25.0,289.61,72.6,2011-01-14 00:00:00,16.46,61.63,60.9,16.06
67.0,25.0,296.4,24.9,2011-01-14 06:00:00,23.25,73.85,72.1,22.28
67.0,25.0,296.99,16.6,2011-01-14 12:00:00,23.84,74.91,72.9,22.72
67.0,25.0,290.43,33.6,2011-01-14 18:00:00,17.28,63.1,60.7,15.94
67.0,25.0,284.79,20.9,2011-01-15 00:00:00,11.64,52.95,48.9,9.39
67.0,25.0,292.91,9.5,2011-01-15 06:00:00,19.76,67.57,64.5,18.06
67.0,25.0,295.35,11.4,2011-01-15 12:00:00,22.2,71.96,69.4,20.78
67.0,25.0,287.85,21.8,2011-01-15 18:00:00,14.7,58.46,55.0,12.78
67.0,25.0,285.0,22.9,2011-01-16 00:00:00,11.85,53.33,49.4,9.67
67.0,25.0,295.18,8.6,2011-01-16 06:00:00,22.03,71.65,68.9,20.5
67.0,25.0,294.91,13.0,2011-01-16 12:00:00,21.76,71.17,68.6,20.33
67.0,25.0,288.56,46.0,2011-01-16 18:00:00,15.41,59.74,57.6,14.22
67.0,25.0,287.05,71.3,2011-01-17 00:00:00,13.9,57.02,55.8,13.22
67.0,25.0,295.99,37.5,2011-01-17 06:00:00,22.84,73.11,71.9,22.17
67.0,25.0,295.43,50.2,2011-01-17 12:00:00,22.28,72.1,71.4,21.89
67.0,25.0,292.61,77.4,2011-01-17 18:00:00,19.46,67.03,67.1,19.5
67.0,25.0,289.76,88.4,2011-01-18 00:00:00,16.61,61.9,61.9,16.61
67.0,25.0,298.26,15.9,2011-01-18 06:00:00,25.11,77.2,75.4,24.11
67.0,25.0,299.9,10.6,2011-01-18 12:00:00,26.75,80.15,78.4,25.78
67.0,25.0,291.07,25.3,2011-01-18 18:00:00,17.92,64.26,61.6,16.44
67.0,25.0,287.76,32.8,2011-01-19 00:00:00,14.61,58.3,55.4,13.0
67.0,25.0,298.36,16.6,2011-01-19 06:00:00,25.21,77.38,75.6,24.22
67.0,25.0,298.71,19.5,2011-01-19 12:00:00,25.56,78.01,76.4,24.67
67.0,25.0,289.64,52.1,2011-01-19 18:00:00,16.49,61.68,60.0,15.56
67.0,25.0,288.05,64.9,2011-01-20 00:00:00,14.9,58.82,57.5,14.17
67.0,25.0,297.97,33.0,2011-01-20 06:00:00,24.82,76.68,75.6,24.22
67.0,25.0,297.52,39.6,2011-01-20 12:00:00,24.37,75.87,75.0,23.89
67.0,25.0,291.27,78.4,2011-01-20 18:00:00,18.12,64.62,64.5,18.06
67.0,25.0,289.55,88.5,2011-01-21 00:00:00,16.4,61.52,61.5,16.39
67.0,25.0,298.77,42.4,2011-01-21 06:00:00,25.62,78.12,77.6,25.33
67.0,25.0,297.57,54.7,2011-01-21 12:00:00,24.42,75.96,75.8,24.33
