longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
67.0,25.0,291.8573,45.8,2019-01-01 00:00:00,18.71,65.67,64.1,17.83
67.0,25.0,297.2543,39.1,2019-01-01 06:00:00,24.1,75.39,74.5,23.61
67.0,25.0,297.44574,47.8,2019-01-01 12:00:00,24.3,75.73,75.2,24.0
67.0,25.0,294.29678,76.9,2019-01-01 18:00:00,21.15,70.06,70.4,21.33
67.0,25.0,293.19467,84.9,2019-01-02 00:00:00,20.04,68.08,68.6,20.33
67.0,25.0,298.75714,37.8,2019-01-02 06:00:00,25.61,78.09,77.4,25.22
67.0,25.0,300.838,26.2,2019-01-02 12:00:00,27.69,81.84,80.1,26.72
67.0,25.0,295.65698,32.8,2019-01-02 18:00:00,22.51,72.51,71.0,21.67
67.0,25.0,293.70706,37.3,2019-01-03 00:00:00,20.56,69.0,67.4,19.67
67.0,25.0,299.31992,23.7,2019-01-03 06:00:00,26.17,79.11,77.8,25.44
67.0,25.0,299.8895,28.0,2019-01-03 12:00:00,26.74,80.13,79.2,26.22
67.0,25.0,294.79495,47.8,2019-01-03 18:00:00,21.64,70.96,70.0,21.11
67.0,25.0,292.60077,46.4,2019-01-04 00:00:00,19.45,67.01,65.6,18.67
67.0,25.0,297.58508,35.9,2019-01-04 06:00:00,24.44,75.98,75.0,23.89
67.0,25.0,297.7048,44.8,2019-01-04 12:00:00,24.55,76.2,75.6,24.22
67.0,25.0,294.7464,78.4,2019-01-04 18:00:00,21.6,70.87,71.3,21.83
67.0,25.0,294.06097,87.5,2019-01-05 00:00:00,20.91,69.64,70.4,21.33
67.0,25.0,298.2831,46.2,2019-01-05 06:00:00,25.13,77.24,76.8,24.89
67.0,25.0,300.14267,25.4,2019-01-05 12:00:00,26.99,80.59,79.5,26.39
67.0,25.0,294.14212,39.4,2019-01-05 18:00:00,20.99,69.79,68.3,20.17
67.0,25.0,291.19043,34.5,2019-01-06 00:00:00,18.04,64.47,62.2,16.78
67.0,25.0,296.61578,20.2,2019-01-06 06:00:00,23.47,74.24,72.3,22.39
67.0,25.0,297.84164,14.6,2019-01-06 12:00:00,24.69,76.44,74.5,23.61
67.0,25.0,292.7475,20.5,2019-01-06 18:00:00,19.6,67.28,64.7,18.17
67.0,25.0,290.81546,26.4,2019-01-07 00:00:00,17.67,63.8,61.1,16.17
67.0,25.0,295.48288,19.5,2019-01-07 06:00:00,22.33,72.2,70.0,21.11
67.0,25.0,297.10074,16.4,2019-01-07 12:00:00,23.95,75.11,73.1,22.83
67.0,25.0,292.1196,26.9,2019-01-07 18:00:00,18.97,66.15,63.7,17.61
67.0,25.0,290.32538,35.0,2019-01-08 00:00:00,17.18,62.92,60.6,15.89
67.0,25.0,295.21268,24.0,2019-01-08 06:00:00,22.06,71.71,69.7,20.94
67.0,25.0,296.67825,32.2,2019-01-08 12:00:00,23.53,74.35,73.0,22.78
67.0,25.0,292.8928,61.7,2019-01-08 18:00:00,19.74,67.54,66.9,19.39
67.0,25.0,291.04672,68.9,2019-01-09 00:00:00,17.9,64.21,63.6,17.56
