longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
67.0,25.0,288.31,41.4,2013-01-01 00:00:00,15.16,59.29,56.9,13.83
67.0,25.0,295.33,27.2,2013-01-01 06:00:00,22.18,71.92,70.1,21.17
67.0,25.0,296.66,13.9,2013-01-01 12:00:00,23.51,74.32,72.1,22.28
67.0,25.0,290.2,29.5,2013-01-01 18:00:00,17.05,62.69,60.0,15.56
67.0,25.0,288.88,23.0,2013-01-02 00:00:00,15.73,60.31,57.1,13.94
67.0,25.0,294.99,15.3,2013-01-02 06:00:00,21.84,71.31,68.9,20.5
67.0,25.0,296.63,12.8,2013-01-02 12:00:00,23.48,74.26,72.0,22.22
67.0,25.0,290.79,36.0,2013-01-02 18:00:00,17.64,63.75,61.5,16.39
67.0,25.0,287.12,41.3,2013-01-03 00:00:00,13.97,57.15,54.5,12.5
67.0,25.0,294.3,27.8,2013-01-03 06:00:00,21.15,70.07,68.1,20.06
67.0,25.0,295.43,31.2,2013-01-03 12:00:00,22.28,72.1,70.5,21.39
67.0,25.0,291.14,53.4,2013-01-03 18:00:00,17.99,64.38,63.0,17.22
67.0,25.0,288.79,52.3,2013-01-04 00:00:00,15.64,60.15,58.3,14.61
67.0,25.0,294.46,22.1,2013-01-04 06:00:00,21.31,70.36,68.1,20.06
67.0,25.0,296.68,16.5,2013-01-04 12:00:00,23.53,74.35,72.3,22.39
67.0,25.0,291.33,22.6,2013-01-04 18:00:00,18.18,64.72,62.0,16.67
67.0,25.0,288.32,29.9,2013-01-05 00:00:00,15.17,59.31,56.3,13.5
67.0,25.0,293.49,22.2,2013-01-05 06:00:00,20.34,68.61,66.2,19.0
67.0,25.0,295.63,19.7,2013-01-05 12:00:00,22.48,72.46,70.3,21.28
67.0,25.0,290.22,39.0,2013-01-05 18:00:00,17.07,62.73,60.5,15.83
67.0,25.0,288.45,40.2,2013-01-06 00:00:00,15.3,59.54,57.1,13.94
67.0,25.0,293.83,30.6,2013-01-06 06:00:00,20.68,69.22,67.3,19.61
67.0,25.0,295.21,41.6,2013-01-06 12:00:00,22.06,71.71,70.5,21.39
67.0,25.0,291.58,67.0,2013-01-06 18:00:00,18.43,65.17,64.5,18.06
67.0,25.0,289.44,24.8,2013-01-07 00:00:00,16.29,61.32,58.3,14.61
67.0,25.0,294.58,15.9,2013-01-07 06:00:00,21.43,70.57,68.1,20.06
67.0,25.0,296.22,30.4,2013-01-07 12:00:00,23.07,73.53,72.0,22.22
67.0,25.0,292.01,49.3,2013-01-07 18:00:00,18.86,65.95,64.6,18.11
67.0,25.0,289.89,31.2,2013-01-08 00:00:00,16.74,62.13,59.5,15.28
67.0,25.0,294.9,25.0,2013-01-08 06:00:00,21.75,71.15,69.1,20.61
67.0,25.0,296.43,42.9,2013-01-08 12:00:00,23.28,73.9,73.0,22.78
67.0,25.0,293.43,75.2,2013-01-08 18:00:00,20.28,68.5,68.6,20.33
67.0,25.0,291.48,79.6,2013-01-09 00:00:00,18.33,64.99,64.9,18.28
67.0,25.0,296.16,35.8,2013-01-09 06:00:00,23.01,73.42,72.1,22.28
67.0,25.0,298.23,31.5,2013-01-09 12:00:00,25.08,77.14,76.0,24.44
67.0,25.0,294.12,41.8,2013-01-09 18:00:00,20.97,69.75,68.4,20.22
67.0,25.0,291.6,41.6,2013-01-10 00:00:00,18.45,65.21,63.4,17.44
67.0,25.0,296.76,33.0,2013-01-10 06:00:00,23.61,74.5,73.2,22.89
67.0,25.0,298.19,47.2,2013-01-10 12:00:00,25.04,77.07,76.7,24.83
67.0,25.0,294.56,73.8,2013-01-10 18:00:00,21.41,70.54,70.8,21.56
67.0,25.0,291.9,88.9,2013-01-11 00:00:00,18.75,65.75,66.2,19.0
67.0,25.0,297.02,62.3,2013-01-11 06:00:00,23.87,74.97,75.1,23.94
67.0,25.0,297.91,57.2,2013-01-11 12:00:00,24.76,76.57,76.6,24.78
67.0,25.0,295.05,79.2,2013-01-11 18:00:00,21.9,71.42,72.0,22.22
67.0,25.0,294.38,81.2,2013-01-12 00:00:00,21.23,70.21,70.7,21.5
67.0,25.0,298.7,57.9,2013-01-12 06:00:00,25.55,77.99,78.2,25.67
67.0,25.0,299.51,48.6,2013-01-12 12:00:00,26.36,79.45,79.4,26.33
67.0,25.0,295.7,62.9,2013-01-12 18:00:00,22.55,72.59,72.5,22.5
67.0,25.0,293.22,28.0,2013-01-13 00:00:00,20.07,68.13,66.0,18.89
67.0,25.0,297.4,13.9,2013-01-13 06:00:00,24.25,75.65,73.6,23.11
67.0,25.0,299.27,14.8,2013-01-13 12:00:00,26.12,79.02,77.3,25.17
67.0,25.0,292.35,29.9,2013-01-13 18:00:00,19.2,66.56,64.3,17.94
