longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
67.0,25.0,288.6,30.4,2015-01-01 00:00:00,15.45,59.81,56.9,13.83
67.0,25.0,295.87,13.0,2015-01-01 06:00:00,22.72,72.9,70.5,21.39
67.0,25.0,296.22,14.4,2015-01-01 12:00:00,23.07,73.53,71.3,21.83
67.0,25.0,290.79,27.1,2015-01-01 18:00:00,17.64,63.75,61.1,16.17
67.0,25.0,289.38,28.6,2015-01-02 00:00:00,16.23,61.21,58.4,14.67
67.0,25.0,296.87,24.6,2015-01-02 06:00:00,23.72,74.7,73.0,22.78
67.0,25.0,298.42,27.7,2015-01-02 12:00:00,25.27,77.49,76.2,24.56
67.0,25.0,292.92,38.3,2015-01-02 18:00:00,19.77,67.59,65.8,18.78
67.0,25.0,289.93,48.9,2015-01-03 00:00:00,16.78,62.2,60.4,15.78
67.0,25.0,296.45,35.7,2015-01-03 06:00:00,23.3,73.94,72.7,22.61
67.0,25.0,297.32,40.5,2015-01-03 12:00:00,24.17,75.51,74.7,23.72
67.0,25.0,293.22,62.5,2015-01-03 18:00:00,20.07,68.13,67.6,19.78
67.0,25.0,289.8,75.3,2015-01-04 00:00:00,16.65,61.97,61.4,16.33
67.0,25.0,296.88,39.1,2015-01-04 06:00:00,23.73,74.71,73.7,23.17
67.0,25.0,298.14,39.1,2015-01-04 12:00:00,24.99,76.98,76.2,24.56
67.0,25.0,292.96,68.8,2015-01-04 18:00:00,19.81,67.66,67.4,19.67
67.0,25.0,291.03,76.6,2015-01-05 00:00:00,17.88,64.18,63.9,17.72
67.0,25.0,297.06,44.5,2015-01-05 06:00:00,23.91,75.04,74.3,23.5
67.0,25.0,297.79,44.3,2015-01-05 12:00:00,24.64,76.35,75.8,24.33
67.0,25.0,293.6,74.6,2015-01-05 18:00:00,20.45,68.81,68.9,20.5
67.0,25.0,292.1,78.8,2015-01-06 00:00:00,18.95,66.11,66.1,18.94
67.0,25.0,296.88,53.4,2015-01-06 06:00:00,23.73,74.71,74.4,23.56
67.0,25.0,296.66,58.9,2015-01-06 12:00:00,23.51,74.32,74.2,23.44
67.0,25.0,294.22,76.8,2015-01-06 18:00:00,21.07,69.93,70.2,21.22
67.0,25.0,292.55,81.7,2015-01-07 00:00:00,19.4,66.92,67.2,19.56
67.0,25.0,297.59,50.5,2015-01-07 06:00:00,24.44,75.99,75.7,24.28
67.0,25.0,299.88,39.6,2015-01-07 12:00:00,26.73,80.11,79.7,26.5
67.0,25.0,294.09,60.9,2015-01-07 18:00:00,20.94,69.69,69.2,20.67
67.0,25.0,292.46,34.2,2015-01-08 00:00:00,19.31,66.76,64.7,18.17
67.0,25.0,298.29,23.9,2015-01-08 06:00:00,25.14,77.25,75.8,24.33
67.0,25.0,299.43,28.2,2015-01-08 12:00:00,26.28,79.3,78.3,25.72
67.0,25.0,293.2,63.4,2015-01-08 18:00:00,20.05,68.09,67.6,19.78
67.0,25.0,290.76,82.8,2015-01-09 00:00:00,17.61,63.7,63.7,17.61
67.0,25.0,296.8,61.9,2015-01-09 06:00:00,23.65,74.57,74.6,23.67
67.0,25.0,297.74,53.2,2015-01-09 12:00:00,24.59,76.26,76.1,24.5
67.0,25.0,292.85,86.4,2015-01-09 18:00:00,19.7,67.46,68.0,20.0
67.0,25.0,291.35,73.2,2015-01-10 00:00:00,18.2,64.76,64.4,18.0
67.0,25.0,297.86,30.4,2015-01-10 06:00:00,24.71,76.48,75.3,24.06
67.0,25.0,299.53,34.7,2015-01-10 12:00:00,26.38,79.48,78.8,26.0
67.0,25.0,294.09,58.0,2015-01-10 18:00:00,20.94,69.69,69.1,20.61
67.0,25.0,291.03,72.0,2015-01-11 00:00:00,17.88,64.18,63.7,17.61
67.0,25.0,297.67,44.7,2015-01-11 06:00:00,24.52,76.14,75.6,24.22
67.0,25.0,297.46,52.3,2015-01-11 12:00:00,24.31,75.76,75.5,24.17
67.0,25.0,293.73,79.6,2015-01-11 18:00:00,20.58,69.04,69.4,20.78
67.0,25.0,292.85,83.3,2015-01-12 00:00:00,19.7,67.46,67.8,19.89
67.0,25.0,297.29,59.8,2015-01-12 06:00:00,24.14,75.45,75.5,24.17
67.0,25.0,297.74,55.0,2015-01-12 12:00:00,24.59,76.26,76.2,24.56
67.0,25.0,294.4,78.9,2015-01-12 18:00:00,21.25,70.25,70.7,21.5
67.0,25.0,294.64,79.8,2015-01-13 00:00:00,21.49,70.68,71.2,21.78
67.0,25.0,298.88,55.5,2015-01-13 06:00:00,25.73,78.31,78.4,25.78
67.0,25.0,300.32,38.3,2015-01-13 12:00:00,27.17,80.91,80.4,26.89
