District,Total_population,Total_hh,Rural_population,Rural_hh,Urban_population,Urban_hh,Province,District_id,MPI,Incidence,Intensity
Sukkur ,1487903,263042,767788,135906,720115,127136,Sindh,818,0.197,0.395,0.500
T.M.Khan ,677228,131565,535178,103853,142050,27712,Sindh,820,0.455,0.784,0.581
Tando Allahyar ,836887,165503,575094,114105,261793,51398,Sindh,819,0.366,0.673,0.544
Tharparkar ,1649661,301625,1517590,274691,132071,26934,Sindh,821,0.481,0.870,0.552
Thatta ,979817,184868,803759,152881,176058,31987,Sindh,822,0.437,0.785,0.556
Toba Tek Singh ,2001579,335408,991747,165490,1009832,169918,Punjab,635,0.107,0.238,0.450
Umarkot ,1073146,212356,829785,163551,243361,48805,Sindh,823,0.504,0.847,0.595
Vehari ,1995958,262490,1658756,215883,337202,46607,Punjab,636,0.200,0.419,0.476
Washuk,175712,NULL,153877,NULL,21835,NULL,Balochistan,729,0.466,0.820,0.570
Zhob,310354,NULL,264190,NULL,46164,NULL,Balochistan,730,0.514,0.830,0.620
Ziarat,160095,NULL,156703,NULL,3392,NULL,Balochistan,731,0.575,0.900,0.640
