District_id,Year,Simulated_event,Observed_event,Observed_vhi,Ens_mean_vhi,Ens_sd_vhi
725,2010,0.0,0.0,44.807,50.552358974358974,8.294719180481808
725,2011,0.0,0.0,50.577,47.101,8.286362076520417
725,2012,0.0,0.0,55.064,48.237743589743594,8.289182916493706
725,2013,0.0,0.0,43.688,50.889641025641026,8.30099095264382
725,2014,1.0,0.0,41.485,44.74438461538462,8.291908368535614
725,2015,1.0,1.0,31.281,34.596102564102566,8.301913757828554
725,2016,1.0,1.0,33.271,40.16541025641026,8.305232146835987
725,2017,1.0,1.0,35.028,25.058384615384618,8.301641751895119
725,2018,0.0,1.0,34.932,47.35202564102564,8.286416349911267
725,2019,1.0,0.0,43.458000000000006,38.65694871794872,8.315298193709909
725,2020,0.0,0.0,51.181,50.014923076923075,8.29051116056382
725,2021,0.0,1.0,38.114000000000004,52.47023076923077,8.287024177449569
724,1983,0.0,0.0,48.831,50.38835897435898,5.993644674796859
724,1984,0.0,0.0,51.822,55.15341025641026,5.998188627181399
724,1985,1.0,1.0,31.002999999999997,43.695948717948724,6.001579330485345
724,1986,1.0,1.0,32.14,25.85987179487179,5.992001699714146
724,1987,1.0,1.0,35.925,37.56202564102564,5.998407829392872
724,1988,0.0,0.0,52.04299999999999,55.2224358974359,5.995859382462992
724,1989,1.0,1.0,41.36800000000001,36.39120512820513,5.990222380199978
724,1990,1.0,1.0,34.436,27.786589743589747,5.990402763486374
724,1991,0.0,0.0,49.581,47.70589743589744,5.996292144138687
724,1992,0.0,0.0,53.739999999999995,51.61135897435898,5.99281549990701
724,1993,0.0,0.0,62.66799999999999,57.81476923076923,5.991323643338413
724,1994,0.0,0.0,69.593,59.71097435897436,5.99904365673514
724,1995,0.0,0.0,45.386,,
724,1996,1.0,1.0,42.282000000000004,36.97625641025642,6.002323356754781
724,1997,1.0,1.0,42.504,43.71438461538462,5.998957202709272
724,1998,0.0,0.0,65.84200000000001,66.23643589743587,5.990255907457753
724,1999,0.0,0.0,56.28399999999999,57.07433333333333,5.989828110014741
724,2000,0.0,0.0,51.722,59.61166666666668,5.989927833804797
724,2001,1.0,1.0,40.858999999999995,42.219538461538455,5.9961020153033635
724,2002,1.0,1.0,38.991,32.86648717948718,5.991900725338838
724,2003,0.0,0.0,49.702999999999996,52.24092307692308,6.016691472673122
724,2004,0.0,0.0,46.70899999999999,56.57348717948717,6.005158880005889
724,2005,0.0,0.0,59.698,51.00648717948718,6.003448448739887
724,2006,0.0,0.0,52.346999999999994,63.08853846153845,5.991581478098531
724,2007,0.0,0.0,57.109,58.686692307692304,6.071857182949018
724,2008,0.0,0.0,52.23100000000001,51.38748717948718,5.9943024610561855
724,2009,1.0,0.0,49.097,43.95571794871795,5.999886203929922
724,2010,0.0,0.0,52.90999999999999,59.16615384615383,5.993689927906604
724,2011,0.0,0.0,53.178999999999995,48.1847435897436,6.005935981375261
724,2012,0.0,0.0,62.114999999999995,59.629051282051265,5.995690469303555
724,2013,0.0,0.0,49.958999999999996,54.17682051282052,5.990663577366669
724,2014,0.0,0.0,46.785999999999994,48.669000000000004,5.992504643188389
724,2015,1.0,1.0,42.68399999999999,44.659,5.992504643188389
724,2016,0.0,1.0,43.193,47.42894871794873,5.990551449176856
724,2017,1.0,1.0,45.354,31.644282051282055,5.991934116802937
724,2018,0.0,1.0,40.432,44.695205128205124,6.008531290325152
724,2019,1.0,0.0,49.692,43.41225641025641,5.990522269690432
724,2020,0.0,0.0,61.08699999999999,56.757538461538466,5.9982396386390615
724,2021,0.0,0.0,48.94,60.73974358974359,6.016216149372449
726,1983,0.0,0.0,52.720000000000006,47.31274358974358,7.3376429763611295
726,1984,0.0,0.0,48.991,52.67184615384614,7.364835436277267
726,1985,1.0,1.0,25.966,32.13015384615384,7.376638618716524
726,1986,1.0,1.0,42.42,32.51441025641025,7.337705596635832
726,1987,0.0,1.0,36.624,44.09835897435897,7.337955788546036
726,1988,0.0,0.0,45.856,53.5615641025641,7.337638262615525
726,1989,1.0,0.0,44.51,39.76789743589743,7.345937617358949
726,1990,1.0,1.0,34.217,22.437641025641025,7.3377423255867695
726,1991,1.0,0.0,49.241,41.6668717948718,7.3391773632776225
726,1992,0.0,0.0,49.008,44.45802564102564,7.337645040774308
726,1993,0.0,0.0,56.988,50.78805128205128,7.360865347600714
726,1994,0.0,0.0,63.158,52.34856410256411,7.37198076511404
726,1995,0.0,1.0,41.794000000000004,,
726,1996,1.0,0.0,44.769999999999996,36.96033333333333,7.339377781780286
726,1997,0.0,0.0,47.221,47.94928205128205,7.337636998161355
726,1998,0.0,0.0,79.55799999999999,79.47053846153847,7.337644699572726
726,1999,0.0,0.0,56.523,57.598333333333336,7.341388939228314
726,2000,0.0,0.0,52.504000000000005,54.50910256410256,7.339790305896914
726,2001,1.0,1.0,40.254999999999995,41.84558974358975,7.356027030898863
726,2002,1.0,1.0,39.574,32.28835897435898,7.337955788546036
