District_id,Year,Simulated_event,Observed_event,Observed_precip,Ens_mean_precip,Ens_sd_precip
731,2017,1.0,0.0,241.93,130.85948717948713,36.21603625185314
731,2018,0.0,0.0,136.04,159.90948717948717,36.21603625185313
731,2019,1.0,0.0,269.34,130.12948717948723,36.21603625185313
731,2020,0.0,0.0,232.46999999999997,167.38948717948716,36.21603625185313
731,2021,0.0,1.0,109.41,152.77948717948718,36.21603625185313
601,1983,0.0,0.0,221.82,214.63435897435897,49.3983568602884
601,1984,1.0,1.0,145.70000000000002,166.244358974359,49.3983568602884
601,1985,1.0,1.0,126.17000000000002,173.354358974359,49.3983568602884
601,1986,0.0,0.0,268.37,242.554358974359,49.3983568602884
601,1987,0.0,0.0,256.21999999999997,204.354358974359,49.3983568602884
601,1988,0.0,0.0,248.54,176.51435897435897,49.3983568602884
601,1989,0.0,1.0,170.87,196.48435897435897,49.3983568602884
601,1990,0.0,0.0,273.84999999999997,179.07435897435897,49.3983568602884
601,1991,0.0,0.0,283.9,203.38435897435897,49.3983568602884
601,1992,0.0,0.0,345.16,186.754358974359,49.3983568602884
601,1993,0.0,1.0,168.23999999999998,180.03435897435898,49.3983568602884
601,1994,1.0,1.0,136.98000000000002,168.62435897435898,49.3983568602884
601,1995,0.0,0.0,201.42,190.06435897435895,49.3983568602884
601,1996,0.0,0.0,178.88,180.98435897435897,49.3983568602884
601,1997,1.0,1.0,135.63,167.34435897435893,49.3983568602884
601,1998,0.0,0.0,184.22,176.69435897435898,49.3983568602884
601,1999,1.0,0.0,196.91,164.32435897435897,49.3983568602884
601,2000,1.0,1.0,131.54,170.48435897435897,49.3983568602884
601,2001,0.0,1.0,92.28,181.914358974359,49.3983568602884
601,2002,1.0,1.0,112.0,170.78435897435898,49.3983568602884
601,2003,0.0,0.0,260.38,184.40435897435898,49.3983568602884
601,2004,1.0,0.0,206.10999999999999,175.01435897435897,49.3983568602884
601,2005,0.0,0.0,303.86,186.294358974359,49.3983568602884
601,2006,0.0,1.0,161.19000000000003,180.254358974359,49.3983568602884
601,2007,0.0,0.0,339.34,203.44435897435898,49.3983568602884
601,2008,0.0,1.0,174.85999999999999,179.03435897435898,49.3983568602884
601,2009,0.0,0.0,238.67999999999998,198.13435897435897,49.3983568602884
601,2010,1.0,0.0,210.01,169.59435897435893,49.3983568602884
601,2011,1.0,0.0,182.11,168.89435897435897,49.3983568602884
601,2012,1.0,1.0,130.76000000000002,167.22435897435895,49.3983568602884
601,2013,0.0,0.0,225.58000000000004,188.27435897435896,49.3983568602884
601,2014,0.0,0.0,223.06,177.18435897435896,49.3983568602884
601,2015,1.0,0.0,271.75,167.08435897435902,49.3983568602884
601,2016,0.0,0.0,200.87,191.464358974359,49.3983568602884
601,2017,1.0,0.0,208.01999999999998,168.15435897435896,49.3983568602884
601,2018,0.0,1.0,178.04000000000002,207.18435897435896,49.3983568602884
601,2019,0.0,0.0,268.44,183.07435897435897,49.3983568602884
601,2020,0.0,0.0,283.55,185.504358974359,49.3983568602884
601,2021,0.0,0.0,213.42000000000002,211.084358974359,49.3983568602884
602,1983,0.0,0.0,28.46,29.355897435897433,7.582973409856251
602,1984,1.0,0.0,28.560000000000002,28.095897435897434,7.582973409856252
602,1985,0.0,1.0,20.71,28.67589743589744,7.582973409856251
602,1986,0.0,1.0,24.780000000000005,29.45589743589744,7.582973409856251
602,1987,0.0,0.0,33.23,28.455897435897434,7.582973409856252
602,1988,0.0,0.0,31.24,30.05589743589744,7.582973409856251
602,1989,0.0,0.0,26.520000000000003,28.955897435897434,7.582973409856252
602,1990,0.0,0.0,38.739999999999995,28.82589743589744,7.582973409856252
602,1991,0.0,1.0,22.269999999999996,29.365897435897434,7.582973409856253
602,1992,0.0,0.0,44.51,29.595897435897434,7.582973409856252
602,1993,0.0,0.0,27.97,28.74589743589744,7.582973409856251
602,1994,0.0,1.0,26.0,28.35589743589744,7.582973409856251
602,1995,0.0,1.0,25.61,28.66589743589744,7.582973409856251
602,1996,0.0,0.0,27.68,28.875897435897432,7.582973409856252
602,1997,1.0,0.0,27.84,28.095897435897434,7.582973409856252
602,1998,0.0,0.0,27.54,28.65589743589744,7.582973409856251
602,1999,0.0,0.0,35.12,28.255897435897435,7.582973409856252
602,2000,1.0,1.0,23.749999999999996,28.095897435897434,7.582973409856252
602,2001,1.0,1.0,21.169999999999998,28.21589743589744,7.582973409856252
602,2002,0.0,1.0,21.990000000000002,28.445897435897432,7.582973409856252
602,2003,0.0,0.0,30.129999999999995,28.975897435897433,7.582973409856252
602,2004,1.0,1.0,19.349999999999998,27.595897435897434,7.582973409856252
602,2005,0.0,0.0,55.66000000000001,28.315897435897433,7.582973409856252
602,2006,0.0,0.0,36.900000000000006,28.565897435897433,7.582973409856252
602,2007,0.0,0.0,46.85999999999999,31.295897435897434,7.582973409856252
602,2008,0.0,0.0,27.49,28.32589743589744,7.582973409856252
602,2009,0.0,0.0,46.53,30.03589743589744,7.582973409856251
602,2010,1.0,1.0,23.049999999999997,28.185897435897434,7.582973409856252
602,2011,1.0,0.0,29.28,27.98589743589744,7.582973409856252
602,2012,1.0,1.0,19.76,27.51589743589744,7.582973409856251
602,2013,0.0,0.0,37.3,28.71589743589744,7.582973409856252
602,2014,1.0,0.0,28.12,27.53589743589744,7.58297340985625
602,2015,1.0,0.0,45.089999999999996,27.48589743589744,7.582973409856252
602,2016,1.0,0.0,28.77,27.775897435897434,7.582973409856252
602,2017,1.0,1.0,26.23,27.48589743589744,7.582973409856252
602,2018,0.0,1.0,21.909999999999997,30.525897435897434,7.582973409856252
602,2019,1.0,0.0,40.78,27.92589743589744,7.58297340985625
602,2020,0.0,0.0,79.19,34.485897435897435,7.582973409856252
602,2021,0.0,0.0,28.459999999999997,29.225897435897433,7.582973409856252
603,1983,0.0,1.0,16.060000000000002,19.047179487179488,4.706635223019926
603,1984,1.0,0.0,16.18,18.217179487179486,4.706635223019926
603,1985,0.0,1.0,14.82,18.90717948717949,4.706635223019926
603,1986,0.0,0.0,16.21,19.887179487179484,4.706635223019926
603,1987,0.0,0.0,20.28,18.797179487179484,4.706635223019926
603,1988,0.0,0.0,19.69,19.607179487179486,4.706635223019926
603,1989,1.0,0.0,17.529999999999998,18.24717948717949,4.706635223019926
603,1990,0.0,0.0,23.28,18.99717948717949,4.706635223019926
603,1991,0.0,1.0,15.020000000000001,18.37717948717949,4.706635223019926
603,1992,0.0,0.0,25.07,20.367179487179484,4.706635223019926
603,1993,1.0,0.0,18.14,18.12717948717949,4.706635223019926
603,1994,1.0,1.0,15.319999999999999,18.297179487179488,4.706635223019926
603,1995,0.0,0.0,16.36,18.607179487179486,4.706635223019926
603,1996,0.0,1.0,15.5,18.84717948717949,4.706635223019926
603,1997,0.0,0.0,19.05,18.467179487179486,4.706635223019926
603,1998,0.0,0.0,18.53,18.637179487179488,4.706635223019926
603,1999,0.0,0.0,22.52,18.367179487179484,4.706635223019926
603,2000,1.0,1.0,14.83,18.257179487179485,4.706635223019926
603,2001,0.0,1.0,13.989999999999998,18.457179487179488,4.706635223019926
603,2002,0.0,1.0,14.43,18.737179487179485,4.706635223019926
603,2003,0.0,0.0,18.52,18.64717948717949,4.706635223019926
603,2004,1.0,1.0,12.17,17.93717948717949,4.706635223019926
603,2005,0.0,0.0,29.65,18.427179487179487,4.706635223019926
603,2006,0.0,0.0,19.81,19.00717948717949,4.706635223019926
603,2007,0.0,0.0,33.06,22.64717948717949,4.706635223019926
603,2008,0.0,0.0,16.55,18.467179487179486,4.706635223019927
603,2009,0.0,0.0,33.35,22.367179487179484,4.706635223019926
603,2010,0.0,1.0,16.09,19.15717948717949,4.706635223019926
603,2011,1.0,0.0,19.220000000000002,18.187179487179485,4.706635223019926
603,2012,1.0,1.0,12.11,17.947179487179486,4.706635223019926
603,2013,0.0,0.0,25.24,18.90717948717949,4.706635223019926
603,2014,1.0,1.0,14.520000000000001,17.737179487179485,4.706635223019926
603,2015,1.0,0.0,21.02,17.727179487179484,4.706635223019926
603,2016,1.0,0.0,46.61,18.14717948717949,4.706635223019926
603,2017,1.0,0.0,22.240000000000002,17.727179487179484,4.706635223019926
603,2018,0.0,0.0,17.79,23.607179487179486,4.706635223019926
603,2019,1.0,0.0,30.53,17.947179487179486,4.706635223019926
603,2020,0.0,0.0,36.65,23.65717948717949,4.706635223019926
603,2021,0.0,1.0,16.1,19.24717948717949,4.706635223019926
604,1983,0.0,0.0,60.13999999999999,64.51487179487182,16.67074850617477
604,1984,1.0,1.0,53.85,57.7548717948718,16.67074850617477
604,1985,0.0,1.0,37.65,59.62487179487178,16.67074850617477
604,1986,0.0,0.0,60.099999999999994,65.4548717948718,16.670748506174768
604,1987,0.0,0.0,97.72,61.58487179487178,16.67074850617477
604,1988,0.0,0.0,65.52,58.90487179487178,16.67074850617477
604,1989,0.0,0.0,96.16,68.19487179487179,16.67074850617477
604,1990,0.0,0.0,64.03,64.33487179487179,16.67074850617477
604,1991,0.0,0.0,69.53,59.97487179487181,16.670748506174768
604,1992,0.0,0.0,95.6,60.604871794871784,16.67074850617477
604,1993,0.0,1.0,59.16,63.4648717948718,16.67074850617477
604,1994,1.0,1.0,38.0,58.7548717948718,16.67074850617477
604,1995,0.0,0.0,65.47,61.8448717948718,16.67074850617477
604,1996,0.0,1.0,54.12,60.1748717948718,16.670748506174768
604,1997,1.0,0.0,59.85,57.63487179487179,16.67074850617477
604,1998,0.0,0.0,78.36,60.12487179487178,16.67074850617477
604,1999,1.0,0.0,64.02,56.904871794871795,16.670748506174768
604,2000,1.0,1.0,43.27,57.8248717948718,16.67074850617477
604,2001,1.0,1.0,35.010000000000005,58.39487179487178,16.67074850617477
604,2002,1.0,1.0,47.77,57.7048717948718,16.67074850617477
604,2003,0.0,0.0,84.72,65.2148717948718,16.670748506174768
604,2004,1.0,1.0,45.04,58.58487179487178,16.67074850617477
604,2005,0.0,0.0,115.16,62.23487179487179,16.67074850617477
604,2006,0.0,1.0,56.400000000000006,63.31487179487179,16.67074850617477
604,2007,0.0,0.0,132.19,74.24487179487183,16.67074850617477
604,2008,0.0,1.0,49.76,59.0548717948718,16.67074850617477
604,2009,0.0,0.0,74.94,63.97487179487182,16.67074850617477
604,2010,1.0,0.0,62.5,56.974871794871795,16.67074850617477
604,2011,1.0,1.0,53.93999999999999,55.794871794871796,16.67074850617477
604,2012,1.0,1.0,35.52,56.2448717948718,16.670748506174768
604,2013,0.0,0.0,105.13,62.194871794871794,16.67074850617477
604,2014,0.0,0.0,88.63,59.52487179487179,16.67074850617477
604,2015,1.0,0.0,108.19999999999999,58.5348717948718,16.67074850617477
604,2016,1.0,0.0,78.51,57.95487179487181,16.67074850617477
604,2017,0.0,0.0,67.41,60.794871794871796,16.67074850617477
604,2018,0.0,0.0,67.03,65.6548717948718,16.670748506174768
604,2019,0.0,0.0,114.79,58.9948717948718,16.67074850617477
604,2020,0.0,0.0,169.81,77.2348717948718,16.67074850617477
604,2021,0.0,0.0,62.59,63.24487179487182,16.67074850617477
605,1983,0.0,0.0,161.75,161.27256410256408,38.43254294911577
605,1984,1.0,1.0,122.60999999999999,125.6125641025641,38.43254294911578
605,1985,1.0,1.0,85.94,132.30256410256413,38.43254294911578
605,1986,0.0,0.0,164.63,168.27256410256408,38.43254294911577
605,1987,0.0,0.0,201.58,151.96256410256413,38.43254294911577
605,1988,1.0,0.0,161.75,130.95256410256408,38.43254294911578
605,1989,0.0,0.0,153.32999999999998,151.0025641025641,38.43254294911578
605,1990,0.0,0.0,199.58,137.2525641025641,38.43254294911578
605,1991,0.0,0.0,180.06,146.18256410256413,38.43254294911578
605,1992,0.0,0.0,262.35,137.7825641025641,38.43254294911578
605,1993,0.0,1.0,127.9,143.54256410256409,38.43254294911578
605,1994,1.0,1.0,81.33,127.6925641025641,38.43254294911578
605,1995,0.0,0.0,145.66000000000003,139.46256410256413,38.43254294911578
605,1996,0.0,0.0,138.02999999999997,137.14256410256408,38.43254294911578
605,1997,1.0,1.0,96.47,127.15256410256407,38.432542949115785
605,1998,0.0,0.0,148.09,137.96256410256413,38.43254294911578
605,1999,1.0,0.0,141.13,123.5725641025641,38.43254294911578
605,2000,1.0,1.0,105.69999999999999,129.49256410256407,38.43254294911578
605,2001,0.0,1.0,74.77,134.24256410256407,38.43254294911578
605,2002,1.0,1.0,87.25,128.63256410256412,38.432542949115785
605,2003,0.0,0.0,195.25999999999996,141.02256410256408,38.43254294911578
605,2004,0.0,1.0,130.80999999999997,135.5625641025641,38.43254294911578
605,2005,0.0,0.0,255.27999999999997,144.0325641025641,38.43254294911578
605,2006,0.0,1.0,123.34,140.66256410256412,38.43254294911578
605,2007,0.0,0.0,296.78000000000003,158.73256410256408,38.43254294911578
605,2008,0.0,1.0,117.78,133.3725641025641,38.43254294911578
605,2009,0.0,0.0,162.4,146.21256410256413,38.43254294911577
605,2010,1.0,0.0,135.7,127.40256410256407,38.43254294911578
605,2011,1.0,1.0,124.12,124.93256410256414,38.43254294911578
605,2012,1.0,1.0,90.88999999999999,124.49256410256407,38.43254294911578
605,2013,0.0,0.0,184.58999999999997,146.70256410256408,38.43254294911578
605,2014,0.0,0.0,200.07999999999998,137.5025641025641,38.43254294911578
605,2015,1.0,0.0,251.29000000000002,129.2725641025641,38.43254294911578
605,2016,0.0,0.0,166.31,144.5025641025641,38.43254294911578
605,2017,1.0,0.0,148.26000000000002,127.0625641025641,38.43254294911578
605,2018,0.0,0.0,137.5,149.98256410256408,38.43254294911578
605,2019,0.0,0.0,222.24,136.8725641025641,38.43254294911578
605,2020,0.0,0.0,270.08,148.70256410256408,38.43254294911578
605,2021,0.0,0.0,170.49,155.38256410256412,38.43254294911578
606,1983,0.0,0.0,68.32,70.65794871794873,18.7000141478373
606,1984,1.0,0.0,74.11000000000001,59.277948717948725,18.700014147837297
606,1985,1.0,1.0,35.3,61.397948717948715,18.7000141478373
606,1986,0.0,1.0,59.55,67.74794871794873,18.700014147837305
606,1987,0.0,0.0,92.19999999999999,62.69794871794871,18.700014147837305
606,1988,0.0,0.0,73.28999999999999,62.49794871794872,18.7000141478373
606,1989,0.0,0.0,87.63,77.18794871794871,18.7000141478373
606,1990,0.0,0.0,83.78,64.18794871794873,18.7000141478373
606,1991,0.0,0.0,61.07,62.84794871794871,18.700014147837297
606,1992,0.0,0.0,111.95,63.897948717948715,18.7000141478373
606,1993,0.0,0.0,68.75999999999999,70.65794871794873,18.7000141478373
606,1994,1.0,1.0,43.790000000000006,60.707948717948724,18.700014147837297
606,1995,0.0,0.0,62.8,63.457948717948724,18.7000141478373
606,1996,0.0,0.0,64.33000000000001,64.06794871794874,18.7000141478373
