Variable,Province,Time_step,hits,misses,FA,true_neg
Precip,Punjab,20,0.0,9.0,0.0,11.0
Precip,Punjab,21,6.0,3.0,5.0,6.0
Precip,Punjab,22,4.0,5.0,6.0,5.0
Precip,Punjab,23,4.0,5.0,5.0,6.0
Precip,Punjab,24,6.0,3.0,4.0,7.0
Precip,Punjab,25,6.0,3.0,4.0,7.0
Precip,Punjab,26,6.0,3.0,4.0,7.0
Precip,Punjab,27,7.0,2.0,4.0,7.0
Precip,Punjab,28,6.0,3.0,3.0,8.0
Precip,Punjab,29,8.0,1.0,2.0,9.0
Precip,Punjab,30,9.0,0.0,0.0,11.0
