District_id,Year,Simulated_event,Observed_event,Observed_ndvi,Ens_mean_ndvi,Ens_sd_ndvi
701,1983,1.0,1.0,0.006,0.0015456410256410248,0.00376143449284141
701,1984,0.0,0.0,0.023,0.021545641025641025,0.0037614344928414097
701,1985,1.0,1.0,0.018,0.019468717948717948,0.003822438024895294
701,1986,1.0,1.0,0.013000000000000001,0.010507179487179486,0.0037846397358058392
701,1987,1.0,1.0,0.013000000000000001,0.011545641025641026,0.0037614344928414093
701,1988,1.0,1.0,0.015,0.011545641025641026,0.0037614344928414093
701,1989,0.0,0.0,0.024,0.027391794871794876,0.003939972032605265
701,1990,1.0,1.0,0.011000000000000001,0.00946871794871795,0.003822438024895294
701,1991,0.0,1.0,0.020999999999999998,0.021545641025641025,0.0037614344928414097
701,1992,1.0,1.0,0.019,0.020507179487179488,0.00378463973580584
701,1993,0.0,0.0,0.028999999999999998,0.023622564102564105,0.0037597141630152254
701,1994,1.0,0.0,0.024,0.019468717948717948,0.003822438024895294
701,1995,0.0,0.0,0.04,,
701,1996,0.0,1.0,0.022,0.021545641025641025,0.0037614344928414097
701,1997,0.0,0.0,0.023,0.021545641025641025,0.0037614344928414097
701,1998,0.0,0.0,0.03599999999999999,0.03050717948717949,0.0037846397358058375
701,1999,0.0,0.0,0.033999999999999996,0.03946871794871794,0.003822438024895293
701,2000,1.0,1.0,0.011,0.010507179487179486,0.0037846397358058392
701,2001,1.0,1.0,0.019,0.007391794871794872,0.0039399720326052665
701,2002,0.0,0.0,0.026000000000000002,0.021545641025641025,0.0037614344928414097
701,2003,1.0,1.0,0.019999999999999997,0.020507179487179488,0.00378463973580584
701,2004,0.0,0.0,0.027000000000000003,0.03258410256410257,0.003753092990655765
701,2005,0.0,0.0,0.026000000000000002,0.021545641025641025,0.0037614344928414097
701,2006,0.0,0.0,0.03400000000000001,0.03946871794871794,0.003822438024895293
701,2007,0.0,0.0,0.03200000000000001,0.029468717948717946,0.0038224380248952907
701,2008,0.0,0.0,0.049999999999999996,0.04946871794871795,0.0038224380248952994
701,2009,0.0,0.0,0.039999999999999994,0.04154564102564102,0.00376143449284141
701,2010,0.0,0.0,0.036,0.0384302564102564,0.0038744022786523515
701,2011,0.0,0.0,0.041999999999999996,0.04946871794871795,0.0038224380248952994
701,2012,0.0,0.0,0.038,0.04050717948717948,0.003784639735805838
701,2013,0.0,0.0,0.025,0.021545641025641025,0.0037614344928414097
701,2014,0.0,0.0,0.030000000000000006,0.03050717948717949,0.0037846397358058375
701,2015,0.0,0.0,0.028000000000000004,0.029468717948717946,0.0038224380248952907
701,2016,0.0,0.0,0.027000000000000003,0.029468717948717946,0.0038224380248952907
701,2017,0.0,0.0,0.027000000000000003,0.029468717948717946,0.0038224380248952907
701,2018,0.0,0.0,0.027000000000000003,0.029468717948717946,0.0038224380248952907
701,2019,0.0,0.0,0.026000000000000002,0.028430256410256406,0.0038744022786523498
701,2020,0.0,0.0,0.03400000000000001,0.037391794871794864,0.003939972032605266
701,2021,0.0,0.0,0.03341,0.03656525641025641,0.0038668644211061216
702,1983,1.0,1.0,0.09,0.08631487179487178,0.005165248311473243
702,1984,0.0,0.0,0.11100000000000002,0.11150717948717952,0.0053423715837465705
702,1985,0.0,0.0,0.11200000000000002,0.11085333333333335,0.006242902668407786
702,1986,1.0,1.0,0.09,0.08943025641025641,0.005240152518599217
702,1987,1.0,1.0,0.09899999999999999,0.10943025641025639,0.005240152518599224
702,1988,1.0,1.0,0.096,0.09046871794871796,0.005286194591550453
702,1989,0.0,0.0,0.10800000000000001,0.11046871794871795,0.0052861945915504615
702,1990,1.0,1.0,0.10400000000000001,0.09943025641025639,0.00524015251859922
702,1991,0.0,0.0,0.10800000000000001,0.11046871794871795,0.0052861945915504615
702,1992,1.0,1.0,0.097,0.08943025641025641,0.005240152518599217
702,1993,0.0,0.0,0.11300000000000002,0.11046871794871795,0.0052861945915504615
702,1994,1.0,0.0,0.11599999999999996,0.10735333333333333,0.00517949484485358
702,1995,0.0,0.0,0.122,,
702,1996,0.0,0.0,0.10800000000000001,0.11150717948717952,0.0053423715837465705
702,1997,1.0,1.0,0.10400000000000001,0.10839179487179486,0.005204514349505625
702,1998,0.0,0.0,0.12000000000000002,0.11735333333333334,0.005179494844853573
702,1999,0.0,0.0,0.11600000000000002,0.11735333333333334,0.005179494844853573
702,2000,1.0,1.0,0.099,0.09735333333333333,0.005179494844853579
702,2001,1.0,1.0,0.099,0.08631487179487178,0.005165248311473243
702,2002,1.0,1.0,0.10700000000000001,0.09839179487179488,0.005204514349505622
702,2003,1.0,1.0,0.10600000000000001,0.10527641025641025,0.005161863949017359
702,2004,0.0,0.0,0.11100000000000002,0.11046871794871795,0.0052861945915504615
702,2005,1.0,1.0,0.10300000000000001,0.09735333333333333,0.005179494844853579
702,2006,0.0,0.0,0.11600000000000002,0.12527641025641026,0.005161863949017349
702,2007,0.0,0.0,0.11799999999999997,0.11527641025641024,0.005161863949017353
702,2008,0.0,0.0,0.126,0.12735333333333335,0.005179494844853571
702,2009,0.0,0.0,0.12599999999999997,0.12046871794871795,0.0052861945915504485
702,2010,0.0,0.0,0.12799999999999997,0.12735333333333335,0.005179494844853571
702,2011,0.0,0.0,0.15099999999999997,0.15150717948717948,0.005342371583746556
702,2012,0.0,0.0,0.13999999999999999,0.1473533333333333,0.005179494844853568
702,2013,0.0,0.0,0.12400000000000003,0.13046871794871795,0.005286194591550448
702,2014,0.0,0.0,0.11700000000000002,0.11943025641025645,0.005240152518599214
702,2015,0.0,0.0,0.11200000000000002,0.11735333333333334,0.005179494844853573
702,2016,0.0,0.0,0.12400000000000003,0.1294302564102564,0.005240152518599213
702,2017,0.0,0.0,0.12000000000000002,0.11943025641025645,0.005240152518599214
702,2018,0.0,0.0,0.12000000000000002,0.12735333333333335,0.005179494844853571
702,2019,0.0,0.0,0.11600000000000002,0.11735333333333334,0.005179494844853573
702,2020,0.0,0.0,0.129,0.13046871794871795,0.005286194591550448
702,2021,0.0,0.0,0.12883,0.13648602564102566,0.005246401574843495
