longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
74.0,32.0,278.0,42.0,2007-01-01 00:00:00,4.85,40.73,36.5,2.5
74.0,32.0,289.4,25.0,2007-01-01 06:00:00,16.25,61.25,58.2,14.56
74.0,32.0,284.8,53.0,2007-01-01 12:00:00,11.65,52.97,50.5,10.28
74.0,32.0,281.6,48.0,2007-01-01 18:00:00,8.45,47.21,43.9,6.61
74.0,32.0,280.2,54.0,2007-01-02 00:00:00,7.05,44.69,41.4,5.22
74.0,32.0,290.1,30.0,2007-01-02 06:00:00,16.95,62.51,59.9,15.5
74.0,32.0,285.1,40.0,2007-01-02 12:00:00,11.95,53.51,50.4,10.22
74.0,32.0,280.8,46.0,2007-01-02 18:00:00,7.65,45.77,42.2,5.67
74.0,32.0,279.2,39.0,2007-01-03 00:00:00,6.05,42.89,38.7,3.72
74.0,32.0,288.5,23.0,2007-01-03 06:00:00,15.35,59.63,56.4,13.56
74.0,32.0,285.6,31.0,2007-01-03 12:00:00,12.45,54.41,51.0,10.56
74.0,32.0,281.0,37.0,2007-01-03 18:00:00,7.85,46.13,42.2,5.67
74.0,32.0,278.2,40.0,2007-01-04 00:00:00,5.05,41.09,36.8,2.67
74.0,32.0,287.7,23.0,2007-01-04 06:00:00,14.55,58.19,54.8,12.67
74.0,32.0,283.4,46.0,2007-01-04 12:00:00,10.25,50.45,47.4,8.56
74.0,32.0,278.5,51.0,2007-01-04 18:00:00,5.35,41.63,37.9,3.28
74.0,32.0,277.0,34.0,2007-01-05 00:00:00,3.85,38.93,34.1,1.17
74.0,32.0,288.5,20.0,2007-01-05 06:00:00,15.35,59.63,56.2,13.44
74.0,32.0,282.4,69.0,2007-01-05 12:00:00,9.25,48.65,46.5,8.06
74.0,32.0,278.9,52.0,2007-01-05 18:00:00,5.75,42.35,38.7,3.72
74.0,32.0,276.5,37.0,2007-01-06 00:00:00,3.35,38.03,33.3,0.72
74.0,32.0,287.3,20.0,2007-01-06 06:00:00,14.15,57.47,53.9,12.17
74.0,32.0,282.3,43.0,2007-01-06 12:00:00,9.15,48.47,45.0,7.22
74.0,32.0,277.0,29.0,2007-01-06 18:00:00,3.85,38.93,33.9,1.06
74.0,32.0,274.5,33.0,2007-01-07 00:00:00,1.35,34.43,29.1,-1.61
74.0,32.0,286.7,19.0,2007-01-07 06:00:00,13.55,56.39,52.6,11.44
74.0,32.0,282.4,67.0,2007-01-07 12:00:00,9.25,48.65,46.4,8.0
74.0,32.0,278.7,32.0,2007-01-07 18:00:00,5.55,41.99,37.4,3.0
