longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
74.0,32.0,284.5773,31.0,2019-01-01 00:00:00,11.43,52.57,49.0,9.44
74.0,32.0,291.1743,22.6,2019-01-01 06:00:00,18.02,64.44,61.6,16.44
74.0,32.0,290.72574,24.5,2019-01-01 12:00:00,17.58,63.64,60.9,16.06
74.0,32.0,285.57678,41.6,2019-01-01 18:00:00,12.43,54.37,51.5,10.83
74.0,32.0,282.91467,46.8,2019-01-02 00:00:00,9.76,49.58,46.4,8.0
74.0,32.0,290.65714,34.0,2019-01-02 06:00:00,17.51,63.51,61.2,16.22
74.0,32.0,289.65802,34.2,2019-01-02 12:00:00,16.51,61.71,59.2,15.11
74.0,32.0,285.16696,41.3,2019-01-02 18:00:00,12.02,53.63,50.6,10.33
74.0,32.0,282.98706,36.9,2019-01-03 00:00:00,9.84,49.71,46.1,7.83
74.0,32.0,291.28992,23.5,2019-01-03 06:00:00,18.14,64.65,61.9,16.61
74.0,32.0,289.6395,32.3,2019-01-03 12:00:00,16.49,61.68,59.1,15.06
74.0,32.0,285.03497,36.3,2019-01-03 18:00:00,11.88,53.39,50.1,10.06
74.0,32.0,283.08075,41.8,2019-01-04 00:00:00,9.93,49.88,46.5,8.06
74.0,32.0,290.53506,26.3,2019-01-04 06:00:00,17.39,63.29,60.6,15.89
74.0,32.0,288.5048,27.7,2019-01-04 12:00:00,15.35,59.64,56.6,13.67
74.0,32.0,287.06638,28.4,2019-01-04 18:00:00,13.92,57.05,53.8,12.11
74.0,32.0,284.701,43.2,2019-01-05 00:00:00,11.55,52.79,49.8,9.89
74.0,32.0,289.9431,37.4,2019-01-05 06:00:00,16.79,62.23,59.9,15.5
74.0,32.0,285.64267,57.8,2019-01-05 12:00:00,12.49,54.49,52.4,11.33
74.0,32.0,282.8421,75.5,2019-01-05 18:00:00,9.69,49.45,47.6,8.67
74.0,32.0,281.29044,58.8,2019-01-06 00:00:00,8.14,46.65,43.8,6.56
74.0,32.0,290.28577,29.4,2019-01-06 06:00:00,17.14,62.84,60.2,15.67
74.0,32.0,288.00165,37.3,2019-01-06 12:00:00,14.85,58.73,56.1,13.39
74.0,32.0,283.4375,71.5,2019-01-06 18:00:00,10.29,50.52,48.6,9.22
74.0,32.0,281.77548,75.5,2019-01-07 00:00:00,8.63,47.53,45.5,7.5
74.0,32.0,290.99286,41.7,2019-01-07 06:00:00,17.84,64.12,62.2,16.78
74.0,32.0,288.17075,38.9,2019-01-07 12:00:00,15.02,59.04,56.5,13.61
74.0,32.0,285.34958,40.4,2019-01-07 18:00:00,12.2,53.96,51.0,10.56
74.0,32.0,285.2854,31.6,2019-01-08 00:00:00,12.14,53.84,50.4,10.22
74.0,32.0,291.70267,22.5,2019-01-08 06:00:00,18.55,65.39,62.7,17.06
74.0,32.0,289.75824,28.5,2019-01-08 12:00:00,16.61,61.89,59.1,15.06
74.0,32.0,284.3328,34.5,2019-01-08 18:00:00,11.18,52.13,48.7,9.28
74.0,32.0,282.36673,36.3,2019-01-09 00:00:00,9.22,48.59,44.9,7.17
74.0,32.0,291.77225,28.7,2019-01-09 06:00:00,18.62,65.52,63.1,17.28
74.0,32.0,290.09848,30.3,2019-01-09 12:00:00,16.95,62.51,59.9,15.5
74.0,32.0,284.4913,34.7,2019-01-09 18:00:00,11.34,52.41,49.0,9.44
74.0,32.0,282.53714,34.7,2019-01-10 00:00:00,9.39,48.9,45.1,7.28
74.0,32.0,290.67703,20.3,2019-01-10 06:00:00,17.53,63.55,60.6,15.89
74.0,32.0,290.34732,21.4,2019-01-10 12:00:00,17.2,62.96,60.0,15.56
74.0,32.0,287.3246,27.2,2019-01-10 18:00:00,14.17,57.51,54.2,12.33
74.0,32.0,286.7461,33.1,2019-01-11 00:00:00,13.6,56.47,53.4,11.89
74.0,32.0,290.28308,31.0,2019-01-11 06:00:00,17.13,62.84,60.3,15.72
74.0,32.0,289.6229,33.9,2019-01-11 12:00:00,16.47,61.65,59.1,15.06
74.0,32.0,285.35165,41.9,2019-01-11 18:00:00,12.2,53.96,51.0,10.56
74.0,32.0,283.816,56.0,2019-01-12 00:00:00,10.67,51.2,48.7,9.28
74.0,32.0,290.06714,38.8,2019-01-12 06:00:00,16.92,62.45,60.2,15.67
74.0,32.0,288.17755,47.4,2019-01-12 12:00:00,15.03,59.05,56.9,13.83
74.0,32.0,283.11298,76.6,2019-01-12 18:00:00,9.96,49.93,48.2,9.0
74.0,32.0,281.09213,88.5,2019-01-13 00:00:00,7.94,46.3,44.8,7.11
74.0,32.0,289.33365,54.2,2019-01-13 06:00:00,16.18,61.13,59.5,15.28
74.0,32.0,287.96417,36.4,2019-01-13 12:00:00,14.81,58.67,55.9,13.28
74.0,32.0,283.07254,53.0,2019-01-13 18:00:00,9.92,49.86,47.0,8.33
74.0,32.0,280.7105,58.7,2019-01-14 00:00:00,7.56,45.61,42.6,5.89
74.0,32.0,290.40585,26.9,2019-01-14 06:00:00,17.26,63.06,60.3,15.72
74.0,32.0,287.7869,25.9,2019-01-14 12:00:00,14.64,58.35,55.1,12.83
74.0,32.0,282.4283,24.2,2019-01-14 18:00:00,9.28,48.7,44.4,6.89
74.0,32.0,281.03812,14.5,2019-01-15 00:00:00,7.89,46.2,41.2,5.11
74.0,32.0,290.90628,14.0,2019-01-15 06:00:00,17.76,63.96,60.7,15.94
74.0,32.0,289.7957,16.7,2019-01-15 12:00:00,16.65,61.96,58.6,14.78
74.0,32.0,284.73688,18.5,2019-01-15 18:00:00,11.59,52.86,48.7,9.28
74.0,32.0,283.45724,21.6,2019-01-16 00:00:00,10.31,50.55,46.3,7.94
74.0,32.0,290.51892,20.3,2019-01-16 06:00:00,17.37,63.26,60.2,15.67
74.0,32.0,288.84583,22.6,2019-01-16 12:00:00,15.7,60.25,57.0,13.89
74.0,32.0,283.43542,32.6,2019-01-16 18:00:00,10.29,50.51,46.8,8.22
74.0,32.0,281.911,45.8,2019-01-17 00:00:00,8.76,47.77,44.4,6.89
74.0,32.0,291.80954,25.0,2019-01-17 06:00:00,18.66,65.59,63.0,17.22
74.0,32.0,289.52744,29.4,2019-01-17 12:00:00,16.38,61.48,58.7,14.83
74.0,32.0,284.45847,34.9,2019-01-17 18:00:00,11.31,52.36,48.9,9.39
74.0,32.0,282.4069,41.2,2019-01-18 00:00:00,9.26,48.66,45.2,7.33
74.0,32.0,291.65622,26.2,2019-01-18 06:00:00,18.51,65.31,62.8,17.11
74.0,32.0,289.47604,32.8,2019-01-18 12:00:00,16.33,61.39,58.8,14.89
74.0,32.0,285.64703,34.7,2019-01-18 18:00:00,12.5,54.49,51.3,10.72
74.0,32.0,285.43716,42.1,2019-01-19 00:00:00,12.29,54.12,51.2,10.67
74.0,32.0,293.72394,29.9,2019-01-19 06:00:00,20.57,69.03,67.0,19.44
74.0,32.0,291.76978,33.8,2019-01-19 12:00:00,18.62,65.52,63.4,17.44
74.0,32.0,287.6125,37.2,2019-01-19 18:00:00,14.46,58.03,55.3,12.94
74.0,32.0,286.512,46.1,2019-01-20 00:00:00,13.36,56.05,53.5,11.94
74.0,32.0,291.70645,40.8,2019-01-20 06:00:00,18.56,65.4,63.6,17.56
74.0,32.0,288.32236,55.0,2019-01-20 12:00:00,15.17,59.31,57.5,14.17
74.0,32.0,285.38416,80.3,2019-01-20 18:00:00,12.23,54.02,52.9,11.61
74.0,32.0,284.80942,86.8,2019-01-21 00:00:00,11.66,52.99,52.1,11.17
74.0,32.0,289.0495,65.8,2019-01-21 06:00:00,15.9,60.62,59.5,15.28
74.0,32.0,285.79742,90.3,2019-01-21 12:00:00,12.65,54.77,54.2,12.33
74.0,32.0,285.3195,96.4,2019-01-21 18:00:00,12.17,53.91,53.5,11.94
74.0,32.0,284.25302,95.1,2019-01-22 00:00:00,11.1,51.99,51.4,10.78
74.0,32.0,288.35965,76.8,2019-01-22 06:00:00,15.21,59.38,58.6,14.78
74.0,32.0,286.07703,82.4,2019-01-22 12:00:00,12.93,55.27,54.4,12.44
74.0,32.0,282.5815,91.2,2019-01-22 18:00:00,9.43,48.98,47.9,8.83
74.0,32.0,280.9988,95.1,2019-01-23 00:00:00,7.85,46.13,44.9,7.17
74.0,32.0,288.658,61.5,2019-01-23 06:00:00,15.51,59.91,58.5,14.72
74.0,32.0,287.33322,51.7,2019-01-23 12:00:00,14.18,57.53,55.4,13.0
74.0,32.0,283.11203,56.6,2019-01-23 18:00:00,9.96,49.93,47.3,8.5
74.0,32.0,281.31177,55.4,2019-01-24 00:00:00,8.16,46.69,43.7,6.5
74.0,32.0,288.79312,41.5,2019-01-24 06:00:00,15.64,60.16,57.8,14.33
74.0,32.0,287.07983,43.0,2019-01-24 12:00:00,13.93,57.07,54.5,12.5
74.0,32.0,282.02493,46.3,2019-01-24 18:00:00,8.87,47.97,44.6,7.0
74.0,32.0,279.7976,50.0,2019-01-25 00:00:00,6.65,43.97,40.4,4.67
74.0,32.0,287.47458,38.3,2019-01-25 06:00:00,14.32,57.78,55.1,12.83
74.0,32.0,286.3908,47.0,2019-01-25 12:00:00,13.24,55.83,53.3,11.83
74.0,32.0,281.99673,56.2,2019-01-25 18:00:00,8.85,47.92,45.1,7.28
74.0,32.0,280.359,67.1,2019-01-26 00:00:00,7.21,44.98,42.3,5.72
74.0,32.0,288.62756,47.3,2019-01-26 06:00:00,15.48,59.86,57.8,14.33
74.0,32.0,286.80487,43.1,2019-01-26 12:00:00,13.65,56.58,54.0,12.22
74.0,32.0,282.02518,41.0,2019-01-26 18:00:00,8.88,47.98,44.4,6.89
74.0,32.0,279.5943,44.9,2019-01-27 00:00:00,6.44,43.6,39.8,4.33
74.0,32.0,287.70923,29.5,2019-01-27 06:00:00,14.56,58.21,55.1,12.83
74.0,32.0,286.768,35.5,2019-01-27 12:00:00,13.62,56.51,53.5,11.94
74.0,32.0,282.08673,35.6,2019-01-27 18:00:00,8.94,48.09,44.3,6.83
74.0,32.0,279.3879,37.8,2019-01-28 00:00:00,6.24,43.23,39.0,3.89
74.0,32.0,288.63846,28.6,2019-01-28 06:00:00,15.49,59.88,56.9,13.83
74.0,32.0,287.14542,34.9,2019-01-28 12:00:00,14.0,57.19,54.2,12.33
74.0,32.0,281.7803,31.1,2019-01-28 18:00:00,8.63,47.53,43.4,6.33
74.0,32.0,279.71216,33.3,2019-01-29 00:00:00,6.56,43.81,39.5,4.17
74.0,32.0,289.7134,25.6,2019-01-29 06:00:00,16.56,61.81,58.9,14.94
74.0,32.0,287.72864,31.0,2019-01-29 12:00:00,14.58,58.24,55.2,12.89
74.0,32.0,284.77,53.9,2019-02-02 18:00:00,11.62,52.92,50.4,10.22
74.0,32.0,283.01273,57.1,2019-02-03 00:00:00,9.86,49.75,47.1,8.39
