latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
32.0,74.0,2022-01-01 00:00:00,282.8233,26.7,9.67,49.41,45.3,7.39
32.0,74.0,2022-01-01 06:00:00,291.0329,17.1,17.88,64.19,61.1,16.17
32.0,74.0,2022-01-01 12:00:00,288.9008,17.6,15.75,60.35,56.9,13.83
32.0,74.0,2022-01-01 18:00:00,285.2187,27.8,12.07,53.72,50.1,10.06
32.0,74.0,2022-01-02 00:00:00,282.5679,35.0,9.42,48.95,45.2,7.33
32.0,74.0,2022-01-02 06:00:00,291.0764,22.9,17.93,64.27,61.5,16.39
32.0,74.0,2022-01-02 12:00:00,289.96338,22.8,16.81,62.26,59.3,15.17
32.0,74.0,2022-01-02 18:00:00,285.8332,36.5,12.68,54.83,51.7,10.94
32.0,74.0,2022-01-03 00:00:00,284.1276,45.2,10.98,51.76,48.8,9.33
32.0,74.0,2022-01-03 06:00:00,291.53906,29.0,18.39,65.1,62.7,17.06
32.0,74.0,2022-01-03 12:00:00,291.80365,27.1,18.65,65.58,63.1,17.28
32.0,74.0,2022-01-03 18:00:00,287.10968,62.5,13.96,57.13,55.5,13.06
32.0,74.0,2022-01-04 00:00:00,288.99332,51.4,15.84,60.52,58.7,14.83
32.0,74.0,2022-01-04 06:00:00,290.31543,57.4,17.17,62.9,61.6,16.44
32.0,74.0,2022-01-04 12:00:00,287.91602,71.1,14.77,58.58,57.5,14.17
32.0,74.0,2022-01-04 18:00:00,286.47568,82.3,13.33,55.99,55.2,12.89
32.0,74.0,2022-01-05 00:00:00,286.1514,82.0,13.0,55.4,54.5,12.5
32.0,74.0,2022-01-05 06:00:00,286.08044,90.3,12.93,55.27,54.7,12.61
32.0,74.0,2022-01-05 12:00:00,285.34082,93.9,12.19,53.94,53.4,11.89
32.0,74.0,2022-01-05 18:00:00,285.755,93.7,12.61,54.69,54.3,12.39
32.0,74.0,2022-01-06 00:00:00,285.31702,95.4,12.17,53.9,53.5,11.94
32.0,74.0,2022-01-06 06:00:00,287.57394,86.6,14.42,57.96,57.5,14.17
32.0,74.0,2022-01-06 12:00:00,287.77988,86.2,14.63,58.33,57.9,14.39
32.0,74.0,2022-01-06 18:00:00,285.23553,93.4,12.09,53.75,53.2,11.78
32.0,74.0,2022-01-07 00:00:00,284.26523,93.9,11.12,52.01,51.3,10.72
32.0,74.0,2022-01-07 06:00:00,285.7037,97.6,12.55,54.6,54.3,12.39
32.0,74.0,2022-01-07 12:00:00,287.388,93.8,14.24,57.63,57.5,14.17
