longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
74.0,32.0,282.68,36.5,2013-01-01 00:00:00,9.53,49.15,45.5,7.5
74.0,32.0,289.74,25.5,2013-01-01 06:00:00,16.59,61.86,58.9,14.94
74.0,32.0,284.59,37.8,2013-01-01 12:00:00,11.44,52.59,49.3,9.61
74.0,32.0,282.21,39.5,2013-01-01 18:00:00,9.06,48.31,44.7,7.06
74.0,32.0,280.65,38.2,2013-01-02 00:00:00,7.5,45.5,41.5,5.28
74.0,32.0,287.58,23.1,2013-01-02 06:00:00,14.43,57.97,54.6,12.56
74.0,32.0,283.85,26.9,2013-01-02 12:00:00,10.7,51.26,47.4,8.56
74.0,32.0,279.7,31.2,2013-01-02 18:00:00,6.55,43.79,39.3,4.06
74.0,32.0,277.98,34.4,2013-01-03 00:00:00,4.83,40.69,36.1,2.28
74.0,32.0,288.8,21.7,2013-01-03 06:00:00,15.65,60.17,56.9,13.83
74.0,32.0,282.97,32.3,2013-01-03 12:00:00,9.82,49.68,45.9,7.72
74.0,32.0,280.15,33.5,2013-01-03 18:00:00,7.0,44.6,40.3,4.61
74.0,32.0,279.2,31.5,2013-01-04 00:00:00,6.05,42.89,38.4,3.56
74.0,32.0,288.34,22.1,2013-01-04 06:00:00,15.19,59.34,56.0,13.33
74.0,32.0,284.69,26.2,2013-01-04 12:00:00,11.54,52.77,49.0,9.44
74.0,32.0,280.82,31.3,2013-01-04 18:00:00,7.67,45.81,41.6,5.33
74.0,32.0,278.37,37.2,2013-01-05 00:00:00,5.22,41.4,37.0,2.78
74.0,32.0,287.08,22.1,2013-01-05 06:00:00,13.93,57.07,53.5,11.94
74.0,32.0,281.93,32.6,2013-01-05 12:00:00,8.78,47.8,43.8,6.56
74.0,32.0,278.5,37.3,2013-01-05 18:00:00,5.35,41.63,37.2,2.89
74.0,32.0,276.65,68.6,2013-01-06 00:00:00,3.5,38.3,35.1,1.72
74.0,32.0,288.87,26.5,2013-01-06 06:00:00,15.72,60.3,57.3,14.06
74.0,32.0,283.54,34.9,2013-01-06 12:00:00,10.39,50.7,47.1,8.39
74.0,32.0,279.78,42.0,2013-01-06 18:00:00,6.63,43.93,40.0,4.44
74.0,32.0,277.36,42.5,2013-01-07 00:00:00,4.21,39.58,35.2,1.78
74.0,32.0,287.85,21.2,2013-01-07 06:00:00,14.7,58.46,55.0,12.78
74.0,32.0,284.18,22.8,2013-01-07 12:00:00,11.03,51.85,47.8,8.78
74.0,32.0,279.86,29.3,2013-01-07 18:00:00,6.71,44.08,39.6,4.22
74.0,32.0,279.09,30.8,2013-01-08 00:00:00,5.94,42.69,38.1,3.39
74.0,32.0,287.8,20.2,2013-01-08 06:00:00,14.65,58.37,54.9,12.72
74.0,32.0,285.25,27.7,2013-01-08 12:00:00,12.1,53.78,50.2,10.11
74.0,32.0,281.51,29.7,2013-01-08 18:00:00,8.36,47.05,42.9,6.06
74.0,32.0,280.43,31.5,2013-01-09 00:00:00,7.28,45.1,40.8,4.89
74.0,32.0,289.45,26.8,2013-01-09 06:00:00,16.3,61.34,58.4,14.67
74.0,32.0,287.35,35.6,2013-01-09 12:00:00,14.2,57.56,54.7,12.61
74.0,32.0,282.41,44.9,2013-01-09 18:00:00,9.26,48.67,45.3,7.39
74.0,32.0,280.95,41.2,2013-01-10 00:00:00,7.8,46.04,42.3,5.72
74.0,32.0,290.13,27.5,2013-01-10 06:00:00,16.98,62.56,59.8,15.44
74.0,32.0,287.81,32.8,2013-01-10 12:00:00,14.66,58.39,55.5,13.06
74.0,32.0,283.17,39.5,2013-01-10 18:00:00,10.02,50.04,46.6,8.11
74.0,32.0,282.16,37.8,2013-01-11 00:00:00,9.01,48.22,44.5,6.94
74.0,32.0,291.49,21.1,2013-01-11 06:00:00,18.34,65.01,62.2,16.78
74.0,32.0,288.53,28.9,2013-01-11 12:00:00,15.38,59.68,56.7,13.72
74.0,32.0,286.07,31.3,2013-01-11 18:00:00,12.92,55.26,52.0,11.11
74.0,32.0,284.33,36.3,2013-01-12 00:00:00,11.18,52.12,48.7,9.28
74.0,32.0,294.5,27.2,2013-01-12 06:00:00,21.35,70.43,68.5,20.28
74.0,32.0,288.95,51.5,2013-01-12 12:00:00,15.8,60.44,58.6,14.78
74.0,32.0,285.27,54.1,2013-01-12 18:00:00,12.12,53.82,51.4,10.78
74.0,32.0,283.46,62.0,2013-01-13 00:00:00,10.31,50.56,48.2,9.0
74.0,32.0,291.92,39.5,2013-01-13 06:00:00,18.77,65.79,63.9,17.72
74.0,32.0,290.08,41.6,2013-01-13 12:00:00,16.93,62.47,60.4,15.78
74.0,32.0,283.84,46.2,2013-01-13 18:00:00,10.69,51.24,48.2,9.0
74.0,32.0,281.68,44.9,2013-01-14 00:00:00,8.53,47.35,43.9,6.61
74.0,32.0,290.72,26.5,2013-01-14 06:00:00,17.57,63.63,60.9,16.06
74.0,32.0,287.77,37.1,2013-01-14 12:00:00,14.62,58.32,55.6,13.11
74.0,32.0,283.05,35.6,2013-01-14 18:00:00,9.9,49.82,46.2,7.89
74.0,32.0,279.29,67.3,2013-01-15 00:00:00,6.14,43.05,40.2,4.56
74.0,32.0,291.64,32.1,2013-01-15 06:00:00,18.49,65.28,63.0,17.22
74.0,32.0,285.35,71.4,2013-01-15 12:00:00,12.2,53.96,52.4,11.33
74.0,32.0,280.9,75.5,2013-01-15 18:00:00,7.75,45.95,43.8,6.56
74.0,32.0,281.35,81.9,2013-01-16 00:00:00,8.2,46.76,45.0,7.22
74.0,32.0,290.83,47.6,2013-01-16 06:00:00,17.68,63.82,62.1,16.72
74.0,32.0,285.62,74.0,2013-01-16 12:00:00,12.47,54.45,53.1,11.72
74.0,32.0,283.57,49.0,2013-01-16 18:00:00,10.42,50.76,47.8,8.78
74.0,32.0,282.92,82.2,2013-01-17 00:00:00,9.77,49.59,48.1,8.94
74.0,32.0,291.64,32.7,2013-01-17 06:00:00,18.49,65.28,63.0,17.22
74.0,32.0,287.36,60.0,2013-01-17 12:00:00,14.21,57.58,55.9,13.28
74.0,32.0,282.01,92.2,2013-01-17 18:00:00,8.86,47.95,46.8,8.22
74.0,32.0,280.67,99.8,2013-01-18 00:00:00,7.52,45.54,44.5,6.94
74.0,32.0,287.38,75.0,2013-01-18 06:00:00,14.23,57.61,56.6,13.67
