latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
32.0,74.0,2021-01-18 00:00:00,279.89615,77.4,6.75,44.14,41.9,5.5
32.0,74.0,2021-01-18 06:00:00,289.06573,45.6,15.92,60.65,58.6,14.78
32.0,74.0,2021-01-18 12:00:00,288.77576,50.5,15.63,60.13,58.2,14.56
32.0,74.0,2021-01-18 18:00:00,284.71036,62.8,11.56,52.81,50.7,10.39
32.0,74.0,2021-01-19 00:00:00,282.76135,67.6,9.61,49.3,47.1,8.39
32.0,74.0,2021-01-19 06:00:00,291.38583,41.2,18.24,64.82,62.9,17.17
32.0,74.0,2021-01-19 12:00:00,290.17722,41.4,17.03,62.65,60.6,15.89
32.0,74.0,2021-01-19 18:00:00,285.37848,49.2,12.23,54.01,51.4,10.78
32.0,74.0,2021-01-20 00:00:00,283.16034,53.1,10.01,50.02,47.2,8.44
32.0,74.0,2021-01-20 06:00:00,292.57587,30.9,19.43,66.97,64.8,18.22
32.0,74.0,2021-01-20 12:00:00,291.076,35.0,17.93,64.27,62.0,16.67
32.0,74.0,2021-01-20 18:00:00,285.36835,36.8,12.22,53.99,50.8,10.44
32.0,74.0,2021-01-21 00:00:00,281.80695,39.8,8.66,47.58,43.9,6.61
32.0,74.0,2021-01-21 06:00:00,291.3999,27.4,18.25,64.85,62.3,16.83
32.0,74.0,2021-01-21 12:00:00,290.0386,30.5,16.89,62.4,59.8,15.44
32.0,74.0,2021-01-21 18:00:00,285.0355,36.1,11.89,53.39,50.1,10.06
32.0,74.0,2021-01-22 00:00:00,283.75806,39.0,10.61,51.09,47.7,8.72
32.0,74.0,2021-01-22 06:00:00,291.7102,28.5,18.56,65.41,63.0,17.22
32.0,74.0,2021-01-22 12:00:00,290.63025,35.4,17.48,63.46,61.2,16.22
32.0,74.0,2021-01-22 18:00:00,286.13943,42.4,12.99,55.38,52.6,11.44
32.0,74.0,2021-01-23 00:00:00,285.20267,43.5,12.05,53.69,50.8,10.44
32.0,74.0,2021-01-23 06:00:00,289.0993,36.9,15.95,60.71,58.2,14.56
32.0,74.0,2021-01-23 12:00:00,288.2648,44.7,15.11,59.21,56.9,13.83
32.0,74.0,2021-01-23 18:00:00,282.81052,81.9,9.66,49.39,47.9,8.83
32.0,74.0,2021-01-24 00:00:00,281.04422,84.0,7.89,46.21,44.5,6.94
32.0,74.0,2021-01-24 06:00:00,290.55026,54.4,17.4,63.32,61.9,16.61
32.0,74.0,2021-01-24 12:00:00,289.34854,43.0,16.2,61.16,59.0,15.0
32.0,74.0,2021-01-24 18:00:00,284.29395,53.5,11.14,52.06,49.5,9.72
32.0,74.0,2021-01-25 00:00:00,281.9247,45.6,8.77,47.79,44.4,6.89
32.0,74.0,2021-01-25 06:00:00,290.73956,30.8,17.59,63.66,61.2,16.22
32.0,74.0,2021-01-25 12:00:00,289.5559,33.5,16.41,61.53,59.0,15.0
32.0,74.0,2021-01-25 18:00:00,283.97284,43.2,10.82,51.48,48.4,9.11
32.0,74.0,2021-01-26 00:00:00,281.2517,46.8,8.1,46.58,43.1,6.17
32.0,74.0,2021-01-26 06:00:00,291.08987,25.6,17.94,64.29,61.6,16.44
32.0,74.0,2021-01-26 12:00:00,288.73294,28.6,15.58,60.05,57.1,13.94
32.0,74.0,2021-01-26 18:00:00,283.53845,32.3,10.39,50.7,47.0,8.33
32.0,74.0,2021-01-27 00:00:00,280.45517,38.0,7.31,45.15,41.2,5.11
32.0,74.0,2021-01-27 06:00:00,290.80484,22.8,17.65,63.78,60.9,16.06
32.0,74.0,2021-01-27 12:00:00,288.9301,27.2,15.78,60.4,57.4,14.11
32.0,74.0,2021-01-27 18:00:00,282.79837,35.9,9.65,49.37,45.7,7.61
32.0,74.0,2021-01-28 00:00:00,279.91132,42.4,6.76,44.17,40.3,4.61
32.0,74.0,2021-01-28 06:00:00,290.5619,26.4,17.41,63.34,60.6,15.89
32.0,74.0,2021-01-28 12:00:00,288.38516,29.6,15.24,59.42,56.5,13.61
32.0,74.0,2021-01-28 18:00:00,282.842,39.3,9.69,49.45,45.9,7.72
32.0,74.0,2021-01-29 00:00:00,280.0737,48.9,6.92,44.46,40.9,4.94
32.0,74.0,2021-01-29 06:00:00,291.26434,30.3,18.11,64.61,62.2,16.78
32.0,74.0,2021-01-29 12:00:00,288.7511,31.1,15.6,60.08,57.2,14.0
32.0,74.0,2021-01-29 18:00:00,283.48514,34.9,10.34,50.6,47.0,8.33
32.0,74.0,2021-01-30 00:00:00,280.21625,36.6,7.07,44.72,40.6,4.78
32.0,74.0,2021-01-30 06:00:00,290.65488,22.2,17.5,63.51,60.6,15.89
32.0,74.0,2021-01-30 12:00:00,288.91522,27.7,15.77,60.38,57.4,14.11
32.0,74.0,2021-01-30 18:00:00,283.67102,33.4,10.52,50.94,47.3,8.5
32.0,74.0,2021-01-31 00:00:00,280.47568,42.3,7.33,45.19,41.4,5.22
32.0,74.0,2021-01-31 06:00:00,292.33154,25.0,19.18,66.53,64.1,17.83
32.0,74.0,2021-01-31 12:00:00,290.40146,28.2,17.25,63.05,60.4,15.78
32.0,74.0,2021-01-31 18:00:00,285.56247,41.1,12.41,54.34,51.4,10.78
32.0,74.0,2021-02-01 00:00:00,281.67148,45.0,8.52,47.34,43.9,6.61
32.0,74.0,2021-02-01 06:00:00,293.3791,26.4,20.23,68.41,66.2,19.0
32.0,74.0,2021-02-01 12:00:00,292.2537,29.7,19.1,66.39,64.1,17.83
32.0,74.0,2021-02-01 18:00:00,285.6141,36.9,12.46,54.44,51.3,10.72
32.0,74.0,2021-02-02 00:00:00,282.64636,44.5,9.5,49.09,45.8,7.67
32.0,74.0,2021-02-02 06:00:00,293.56796,28.0,20.42,68.75,66.6,19.22
32.0,74.0,2021-02-02 12:00:00,292.8092,30.8,19.66,67.39,65.3,18.5
32.0,74.0,2021-02-02 18:00:00,287.5693,37.7,14.42,57.95,55.2,12.89
32.0,74.0,2021-02-03 00:00:00,283.65643,48.0,10.51,50.91,48.0,8.89
32.0,74.0,2021-02-03 06:00:00,293.86978,33.4,20.72,69.3,67.5,19.72
32.0,74.0,2021-02-03 12:00:00,292.90356,36.1,19.75,67.56,65.7,18.72
32.0,74.0,2021-02-03 18:00:00,284.1659,75.9,11.02,51.83,50.3,10.17
32.0,74.0,2021-02-04 00:00:00,282.7153,77.8,9.57,49.22,47.5,8.61
32.0,74.0,2021-02-04 06:00:00,291.8861,55.3,18.74,65.72,64.6,18.11
32.0,74.0,2021-02-04 12:00:00,290.5343,55.5,17.38,63.29,61.9,16.61
32.0,74.0,2021-02-04 18:00:00,284.76248,68.8,11.61,52.9,51.1,10.61
32.0,74.0,2021-02-05 00:00:00,282.0997,84.1,8.95,48.11,46.6,8.11
32.0,74.0,2021-02-05 06:00:00,290.1978,59.6,17.05,62.69,61.5,16.39
32.0,74.0,2021-02-05 12:00:00,290.77356,49.0,17.62,63.72,62.1,16.72
32.0,74.0,2021-02-05 18:00:00,284.7113,69.6,11.56,52.81,51.1,10.61
32.0,74.0,2021-02-06 00:00:00,282.72595,72.8,9.58,49.24,47.3,8.5
32.0,74.0,2021-02-06 06:00:00,292.3376,43.2,19.19,66.54,64.9,18.28
32.0,74.0,2021-02-06 12:00:00,291.43433,44.8,18.28,64.91,63.2,17.33
32.0,74.0,2021-02-06 18:00:00,285.55618,57.6,12.41,54.33,52.2,11.22
32.0,74.0,2021-02-07 00:00:00,283.1529,59.9,10.0,50.01,47.5,8.61
32.0,74.0,2021-02-07 06:00:00,293.4072,35.4,20.26,68.46,66.7,19.28
32.0,74.0,2021-02-07 12:00:00,292.87988,37.7,19.73,67.51,65.7,18.72
32.0,74.0,2021-02-07 18:00:00,286.29483,52.1,13.14,55.66,53.4,11.89
32.0,74.0,2021-02-08 00:00:00,283.67007,60.9,10.52,50.94,48.6,9.22
32.0,74.0,2021-02-08 06:00:00,294.6854,34.6,21.54,70.76,69.2,20.67
32.0,74.0,2021-02-08 12:00:00,294.14294,36.3,20.99,69.79,68.2,20.11
32.0,74.0,2021-02-08 18:00:00,288.24,45.9,15.09,59.16,56.9,13.83
32.0,74.0,2021-02-09 00:00:00,285.49768,50.6,12.35,54.23,51.7,10.94
32.0,74.0,2021-02-09 06:00:00,296.02325,29.0,22.87,73.17,71.6,22.0
32.0,74.0,2021-02-09 12:00:00,294.8405,27.4,21.69,71.04,69.1,20.61
32.0,74.0,2021-02-09 18:00:00,287.4784,40.4,14.33,57.79,55.2,12.89
32.0,74.0,2021-02-10 00:00:00,284.08,60.2,10.93,51.67,49.4,9.67
32.0,74.0,2021-02-10 06:00:00,295.69235,29.2,22.54,72.58,70.9,21.61
32.0,74.0,2021-02-10 12:00:00,295.2746,32.0,22.12,71.82,70.2,21.22
32.0,74.0,2021-02-10 18:00:00,288.06445,42.4,14.91,58.85,56.4,13.56
32.0,74.0,2021-02-11 00:00:00,284.73007,46.4,11.58,52.84,50.0,10.0
32.0,74.0,2021-02-11 06:00:00,296.32837,30.2,23.18,73.72,72.2,22.33
32.0,74.0,2021-02-11 12:00:00,295.35803,30.5,22.21,71.97,70.3,21.28
32.0,74.0,2021-02-11 18:00:00,288.02478,41.3,14.87,58.77,56.3,13.5
32.0,74.0,2021-02-12 00:00:00,284.3927,50.7,11.24,52.24,49.5,9.72
32.0,74.0,2021-02-12 06:00:00,296.9846,29.4,23.83,74.9,73.5,23.06
32.0,74.0,2021-02-12 12:00:00,295.12628,28.0,21.98,71.56,69.7,20.94
32.0,74.0,2021-02-12 18:00:00,288.9812,33.7,15.83,60.5,57.8,14.33
32.0,74.0,2021-02-13 00:00:00,286.479,40.6,13.33,55.99,53.2,11.78
32.0,74.0,2021-02-13 06:00:00,296.6617,26.5,23.51,74.32,72.7,22.61
32.0,74.0,2021-02-13 12:00:00,296.08463,27.5,22.93,73.28,71.6,22.0
32.0,74.0,2021-02-13 18:00:00,287.7588,40.6,14.61,58.3,55.7,13.17
32.0,74.0,2021-02-14 00:00:00,284.1677,48.3,11.02,51.83,49.0,9.44
32.0,74.0,2021-02-14 06:00:00,296.8012,27.3,23.65,74.57,73.0,22.78
32.0,74.0,2021-02-14 12:00:00,295.63077,29.9,22.48,72.47,70.8,21.56
32.0,74.0,2021-02-14 18:00:00,287.9748,42.8,14.82,58.68,56.3,13.5
32.0,74.0,2021-02-15 00:00:00,285.42,50.9,12.27,54.09,51.6,10.89
32.0,74.0,2021-02-15 06:00:00,297.3449,28.4,24.19,75.55,74.1,23.39
32.0,74.0,2021-02-15 12:00:00,295.86444,27.4,22.71,72.89,71.2,21.78
32.0,74.0,2021-02-15 18:00:00,288.10968,38.1,14.96,58.93,56.3,13.5
32.0,74.0,2021-02-16 00:00:00,284.5416,46.4,11.39,52.5,49.6,9.78
32.0,74.0,2021-02-16 06:00:00,297.47528,25.7,24.33,75.79,74.3,23.5
32.0,74.0,2021-02-16 12:00:00,295.97607,26.5,22.83,73.09,71.3,21.83
32.0,74.0,2021-02-16 18:00:00,288.2478,36.6,15.1,59.18,56.5,13.61
32.0,74.0,2021-02-17 00:00:00,284.2835,48.2,11.13,52.04,49.2,9.56
32.0,74.0,2021-02-17 06:00:00,297.50153,24.6,24.35,75.83,74.3,23.5
32.0,74.0,2021-02-17 12:00:00,296.11337,25.8,22.96,73.33,71.6,22.0
32.0,74.0,2021-02-17 18:00:00,288.60532,34.9,15.46,59.82,57.1,13.94
32.0,74.0,2021-02-18 00:00:00,285.10956,44.4,11.96,53.53,50.7,10.39
32.0,74.0,2021-02-18 06:00:00,297.74445,25.0,24.59,76.27,74.8,23.78
32.0,74.0,2021-02-18 12:00:00,296.19177,26.4,23.04,73.48,71.8,22.11
32.0,74.0,2021-02-18 18:00:00,288.5712,38.8,15.42,59.76,57.3,14.06
