longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
74.0,32.0,289.8,65.0,2005-01-01 06:00:00,16.65,61.97,60.9,16.06
74.0,32.0,286.8,66.0,2005-01-01 12:00:00,13.65,56.57,55.0,12.78
74.0,32.0,284.5,82.0,2005-01-01 18:00:00,11.35,52.43,51.2,10.67
74.0,32.0,281.6,94.0,2005-01-02 00:00:00,8.45,47.21,46.0,7.78
74.0,32.0,289.7,62.0,2005-01-02 06:00:00,16.55,61.79,60.6,15.89
74.0,32.0,287.6,69.0,2005-01-02 12:00:00,14.45,58.01,56.8,13.78
74.0,32.0,283.9,84.0,2005-01-02 18:00:00,10.75,51.35,50.1,10.06
74.0,32.0,280.8,93.0,2005-01-03 00:00:00,7.65,45.77,44.4,6.89
74.0,32.0,289.5,63.0,2005-01-03 06:00:00,16.35,61.43,60.2,15.67
74.0,32.0,286.6,81.0,2005-01-03 12:00:00,13.45,56.21,55.3,12.94
74.0,32.0,284.2,85.0,2005-01-03 18:00:00,11.05,51.89,50.8,10.44
74.0,32.0,281.6,90.0,2005-01-04 00:00:00,8.45,47.21,45.9,7.72
74.0,32.0,288.4,58.0,2005-01-04 06:00:00,15.25,59.45,57.8,14.33
74.0,32.0,286.2,78.0,2005-01-04 12:00:00,13.05,55.49,54.4,12.44
74.0,32.0,283.7,87.0,2005-01-04 18:00:00,10.55,50.99,49.9,9.94
74.0,32.0,282.5,86.0,2005-01-05 00:00:00,9.35,48.83,47.5,8.61
74.0,32.0,289.2,56.0,2005-01-05 06:00:00,16.05,60.89,59.3,15.17
74.0,32.0,286.8,67.0,2005-01-05 12:00:00,13.65,56.57,55.1,12.83
74.0,32.0,284.1,72.0,2005-01-05 18:00:00,10.95,51.71,50.0,10.0
74.0,32.0,281.0,86.0,2005-01-06 00:00:00,7.85,46.13,44.5,6.94
74.0,32.0,290.2,49.0,2005-01-06 06:00:00,17.05,62.69,61.0,16.11
74.0,32.0,287.6,70.0,2005-01-06 12:00:00,14.45,58.01,56.8,13.78
74.0,32.0,284.5,75.0,2005-01-06 18:00:00,11.35,52.43,50.9,10.5
74.0,32.0,281.2,86.0,2005-01-07 00:00:00,8.05,46.49,44.9,7.17
74.0,32.0,291.2,48.0,2005-01-07 06:00:00,18.05,64.49,62.9,17.17
74.0,32.0,288.5,63.0,2005-01-07 12:00:00,15.35,59.63,58.3,14.61
74.0,32.0,284.7,76.0,2005-01-07 18:00:00,11.55,52.79,51.3,10.72
74.0,32.0,281.8,86.0,2005-01-08 00:00:00,8.65,47.57,46.1,7.83
74.0,32.0,291.5,48.0,2005-01-08 06:00:00,18.35,65.03,63.5,17.5
74.0,32.0,289.0,74.0,2005-01-08 12:00:00,15.85,60.53,59.8,15.44
74.0,32.0,289.5,51.0,2005-01-08 18:00:00,16.35,61.43,59.7,15.39
