FLRealisation,pearson-r,p
1.0,-0.07706434991063843,0.7538420924905492
2.0,-0.18742078492058478,0.4422892506170706
3.0,0.08133354817308397,0.7406404441172996
4.0,-0.12023220164716758,0.62393171319684
5.0,0.3412849781756846,0.1527199413594404
6.0,0.13211031413252303,0.5897944309116374
7.0,0.042611339928664616,0.8624888845097833
8.0,-0.1045914707339949,0.6700168377960514
9.0,-0.05857791861290062,0.8117223206960738
10.0,-0.058577918612900605,0.8117223206960738
11.0,0.020920685218893086,0.9322542028199466
12.0,-0.13807652244469426,0.5729491401207559
13.0,-0.03099006540266516,0.8997782511435034
14.0,-0.14678923792502557,0.548729884926282
15.0,-0.05304361837375041,0.8292479934562442
16.0,-0.05304361837375042,0.8292479934562442
17.0,0.3412849781756846,0.1527199413594404
18.0,0.4110098661900718,0.0804402072181111
19.0,0.2018352021469102,0.40731333355844535
20.0,-0.03099006540266516,0.8997782511435034
21.0,0.10041928905068678,0.6825117983040219
22.0,-0.21757512627648795,0.37089911842802875
23.0,-0.030990065402665145,0.8997782511435034
24.0,-0.3253956867279842,0.17401472322439573
25.0,-0.17819287606532472,0.46547177772501797
26.0,-0.28623901395379997,0.23481632336055142
27.0,-0.07706434991063844,0.7538420924905492
28.0,0.08133354817308397,0.7406404441172996
29.0,0.08133354817308397,0.7406404441172996
30.0,0.41727646454016987,0.07548602788589862
31.0,0.2828992979933355,0.24056317704689845
32.0,0.28289929799333546,0.24056317704689878
33.0,0.08133354817308398,0.7406404441172996
34.0,0.14852213144650117,0.5439682850092471
35.0,0.14852213144650117,0.5439682850092471
36.0,0.35008788126675267,0.14173243378853229
37.0,0.14852213144650114,0.5439682850092471
38.0,0.21571071471991832,0.37511360555761464
39.0,-0.09673824874398687,0.6936020453884636
40.0,-0.1623820603916922,0.5065720372176492
41.0,-0.29366968368710294,0.2223491722321476
42.0,-0.18742078492058478,0.4422892506170706
43.0,-0.053043618373750434,0.8292479934562442
44.0,-0.3593134953348084,0.13082220258540858
45.0,-0.293669683687103,0.2223491722321476
46.0,-0.38898653474083633,0.09975971058672974
47.0,0.062385426118135905,0.7997140161885571
48.0,0.06238542611813588,0.7997140161885571
49.0,0.27156009016129745,0.26074159658386264
50.0,-0.14678923792502563,0.548729884926282
51.0,-0.1781928760653247,0.46547177772501797
52.0,-0.1781928760653247,0.46547177772501797
53.0,-0.21757512627648795,0.37089911842802875
54.0,0.020920685218893065,0.9322542028199466
55.0,-0.13807652244469426,0.5729491401207559
56.0,0.04261133992866459,0.8624888845097842
57.0,-0.1467892379250256,0.548729884926282
58.0,-0.0073394618962512575,0.9762103943542354
59.0,0.13211031413252308,0.5897944309116374
60.0,0.4110098661900718,0.0804402072181111
61.0,0.41100986619007174,0.08044020721811142
62.0,0.27156009016129745,0.26074159658386264
63.0,-0.007339461896251278,0.9762103943542354
64.0,0.062385426118135925,0.7997140161885556
65.0,0.062385426118135946,0.7997140161885556
66.0,-0.007339461896251261,0.9762103943542354
67.0,0.20183520214691023,0.40731333355844535
68.0,-0.007339461896251317,0.9762103943542354
69.0,-0.007339461896251269,0.9762103943542354
70.0,-0.42568878998257426,0.06919568211801332
71.0,-0.1781928760653247,0.46547177772501797
72.0,-0.3253956867279842,0.17401472322439573
73.0,-0.1781928760653247,0.46547177772501797
74.0,-0.47259849739064375,0.04102017012078695
75.0,-0.39899709205931394,0.09060120039478753
76.0,-0.3253956867279842,0.17401472322439573
77.0,-0.13807652244469426,0.5729491401207559
