hwSite,Balochistan,Punjab,Sindh
Jacobabad,0.06277196351460325,0.49996397896236805,0.5549458296353873
Karachi_Jinnah_Airport,0.5549458296353873,0.49996397896236805,0.5549458296353873
Lahore,0.5549458296353873,0.7376520134180332,0.5549458296353873
Multan,0.5549458296353873,0.7376520134180343,0.5549458296353873
Nawabshah,0.26516823811270207,0.4455084817009968,0.8269526352559973
Sibi,0.8408302696510861,0.04077152510377515,0.8408302696510861
