HWsite,precipMetric,pearson-r,p,spearman-r,p
Jacobabad,total,0.07310502902291229,0.7661443010657868,-0.005263157894736842,0.9829392613354335
Karachi_Jinnah_Airport,total,0.32022586467902875,0.1813568092926318,0.2537314410741405,0.2945542550501397
Lahore,total,-0.06654161905982048,0.7866550417112559,-0.2,0.41168101338159957
Multan,total,-0.27445365081963086,0.25549446302247564,-0.38032531911787065,0.10820937746877647
Nawabshah,total,0.10444743922913925,0.670446829856257,0.02982456140350877,0.9035304157848719
Sibi,total,0.20265740669715618,0.40536470813854647,0.23508771929824557,0.33263189836380047
