HWsite,precipMetric,pearson-r,p,HWMonths_pearson-r,HWMonths_p,FLMonths_pearson-r,FLMonths_p
Jacobabad,p95,0.2165144039858202,1.8260681249263858e-73,0.07813445565948005,0.0001661763601522267,0.09418252243636456,8.025501445869985e-05
Karachi_Jinnah_Airport,p95,0.13924063653253818,5.345676613080911e-31,-0.052873737826547335,0.010895071654348271,0.023820296668367144,0.3195739749855496
Lahore,p95,0.19635076736671014,1.7121453100666957e-60,0.0342548082664716,0.09918594921785229,-0.016783424304484658,0.48314880073692307
Multan,p95,0.22501450286689423,2.3924323052903437e-79,0.11872838036952806,9.84039965494252e-09,0.08524796989278563,0.00035959698681394805
Nawabshah,p95,0.1666795266993268,7.394061527049398e-44,-0.13026708118586736,3.069114735692779e-10,-0.03176321969185862,0.18438424942933668
Sibi,p95,0.22563688198637621,8.676172002712084e-80,0.124725371953291,1.6881564550052411e-09,0.1854982904915066,5.370729200950941e-15
