FLRealisation,pearson-r,p
1.0,-0.5651385660113486,0.011688719441751124
2.0,-0.5233637012876707,0.021472803487601347
3.0,-0.5233637012876707,0.021472803487601347
4.0,-0.5233637012876707,0.021472803487601347
5.0,-0.3559639019681871,0.13471268624756064
6.0,-0.3559639019681871,0.13471268624756064
7.0,0.33701696125398367,0.15825344208632894
8.0,0.33701696125398367,0.15825344208632894
9.0,0.49791230820965504,0.03004860211521692
10.0,0.49791230820965504,0.03004860211521692
11.0,0.49791230820965504,0.03004860211521692
12.0,0.49791230820965504,0.03004860211521692
13.0,0.33701696125398367,0.15825344208632894
14.0,-0.2862390139537999,0.23481632336055142
15.0,0.41727646454016987,0.07548602788589862
16.0,0.41727646454016987,0.07548602788589862
17.0,0.4110098661900718,0.0804402072181111
18.0,0.4110098661900718,0.0804402072181111
19.0,0.4110098661900718,0.0804402072181111
20.0,0.4842197719166432,0.03565472532297971
21.0,0.5774109120414487,0.00963157637958574
22.0,0.5774109120414487,0.00963157637958574
23.0,0.4106183665853134,0.08075747712982205
24.0,0.4106183665853134,0.08075747712982205
25.0,0.4106183665853134,0.08075747712982205
26.0,-0.3559639019681871,0.13471268624756064
27.0,-0.3559639019681871,0.13471268624756064
28.0,-0.4561751180142535,0.04963580469164008
29.0,-0.4561751180142535,0.04963580469164008
30.0,-0.4561751180142535,0.04963580469164008
31.0,-0.4561751180142535,0.04963580469164008
32.0,-0.4561751180142535,0.04963580469164008
33.0,-0.4561751180142535,0.04963580469164008
34.0,-0.4561751180142535,0.04963580469164008
35.0,-0.4561751180142535,0.04963580469164008
36.0,-0.4561751180142535,0.04963580469164008
37.0,-0.4561751180142535,0.04963580469164008
38.0,-0.4561751180142535,0.04963580469164008
39.0,0.36276843278995075,0.12689297824068926
40.0,0.36276843278995075,0.12689297824068926
41.0,0.36276843278995075,0.12689297824068926
42.0,-0.45617511801425353,0.04963580469164008
43.0,-0.45617511801425353,0.04963580469164008
44.0,0.49405605608536146,0.03155260281547583
45.0,0.49405605608536146,0.03155260281547583
46.0,-0.3889865347408364,0.09975971058672974
47.0,0.3412849781756846,0.1527199413594404
48.0,0.3412849781756846,0.1527199413594404
49.0,0.3412849781756846,0.1527199413594404
50.0,0.3412849781756846,0.1527199413594404
51.0,0.26341555592265387,0.275871551271004
52.0,0.26341555592265387,0.275871551271004
53.0,0.41841370437786146,0.07461177022594631
54.0,0.41841370437786146,0.07461177022594631
55.0,0.41841370437786146,0.07461177022594631
56.0,-0.398997092059314,0.09060120039478753
57.0,-0.42568878998257426,0.06919568211801332
58.0,-0.42568878998257426,0.06919568211801332
59.0,-0.42568878998257426,0.06919568211801332
60.0,-0.42568878998257426,0.06919568211801332
61.0,-0.42568878998257426,0.06919568211801332
62.0,-0.42568878998257426,0.06919568211801332
63.0,-0.42568878998257426,0.06919568211801332
64.0,-0.42568878998257426,0.06919568211801332
65.0,-0.42568878998257426,0.06919568211801332
66.0,-0.42568878998257426,0.06919568211801332
67.0,-0.42568878998257426,0.06919568211801332
68.0,-0.42568878998257426,0.06919568211801332
69.0,-0.42568878998257426,0.06919568211801332
70.0,-0.42568878998257426,0.06919568211801332
71.0,0.4842197719166432,0.03565472532297971
72.0,0.4842197719166432,0.03565472532297971
73.0,0.4842197719166432,0.03565472532297971
74.0,0.4842197719166432,0.03565472532297971
75.0,0.4842197719166432,0.03565472532297971
76.0,0.4842197719166432,0.03565472532297971
77.0,-0.456070937771869,0.0496945275839274
78.0,-0.456070937771869,0.0496945275839274
79.0,-0.456070937771869,0.0496945275839274
80.0,-0.456070937771869,0.0496945275839274
81.0,-0.456070937771869,0.0496945275839274
82.0,0.5286148394241158,0.019972692323044945
83.0,0.5947382148821665,0.007235090651208842
84.0,0.5286148394241159,0.019972692323044865
85.0,0.5286148394241159,0.019972692323044865
86.0,0.5286148394241159,0.019972692323044865
87.0,0.5286148394241159,0.019972692323044865
88.0,0.5286148394241159,0.019972692323044865
89.0,0.5286148394241159,0.019972692323044865
90.0,0.5286148394241159,0.019972692323044865
91.0,0.5286148394241159,0.019972692323044865
92.0,0.49791230820965504,0.03004860211521692
93.0,0.49791230820965504,0.03004860211521692
94.0,0.3508505571398999,0.14080719280290413
95.0,0.38352277408289226,0.1050322468671987
96.0,-0.4490887131390718,0.053752139032837654
97.0,-0.4490887131390718,0.053752139032837654
98.0,-0.5355695416036628,0.018114996124891706
99.0,-0.6198013080533031,0.004647073101708119
100.0,-0.6348634540257359,0.003497842410058824
101.0,-0.657740867834505,0.0022072777527853394
102.0,-0.657740867834505,0.0022072777527853394
103.0,-0.704588342040123,0.0007566502790706102
104.0,-0.704588342040123,0.0007566502790706102
105.0,-0.704588342040123,0.0007566502790706102
106.0,-0.704588342040123,0.0007566502790706102
107.0,-0.704588342040123,0.0007566502790706102
108.0,-0.704588342040123,0.0007566502790706102
109.0,-0.6577408678345051,0.0022072777527853394
110.0,-0.6218887419256298,0.004471444645253238
111.0,-0.6218887419256298,0.004471444645253238
112.0,-0.5944420447258211,0.007271515557857911
113.0,-0.5944420447258211,0.007271515557857911
114.0,-0.5944420447258211,0.007271515557857911
115.0,-0.5944420447258211,0.007271515557857911
116.0,-0.6388543814007388,0.003236287839368914
117.0,-0.6388543814007388,0.003236287839368914
118.0,-0.6388543814007388,0.003236287839368914
119.0,-0.5944420447258211,0.007271515557857911
120.0,-0.5562449302779244,0.013389564953817714
121.0,-0.5295317065086338,0.01971949946804596
122.0,-0.5295317065086338,0.01971949946804596
123.0,0.46462136829144646,0.04504813941766875
124.0,0.46462136829144646,0.04504813941766875
125.0,0.4249573069825137,0.06972658395852725
126.0,0.4249573069825137,0.06972658395852725
127.0,0.4249573069825137,0.06972658395852725
128.0,0.4249573069825137,0.06972658395852725
129.0,0.4249573069825137,0.06972658395852725
130.0,0.4249573069825137,0.06972658395852725
131.0,0.4249573069825137,0.06972658395852725
132.0,0.4249573069825137,0.06972658395852725
133.0,0.590552284561088,0.007763909017136388
134.0,0.42495730698251366,0.06972658395852725
135.0,0.42495730698251366,0.06972658395852725
136.0,0.5295317065086337,0.01971949946804596
137.0,0.5090337049663641,0.026022515701457263
138.0,0.5090337049663641,0.026022515701457263
139.0,0.4646213682914464,0.04504813941766875
140.0,0.4646213682914464,0.04504813941766875
141.0,0.4646213682914464,0.04504813941766875
142.0,0.4646213682914464,0.04504813941766875
143.0,0.4646213682914464,0.04504813941766875
144.0,0.4441233667491767,0.05678697302508963
145.0,0.4646213682914464,0.04504813941766875
146.0,0.5562449302779243,0.013389564953817714
147.0,0.5562449302779243,0.013389564953817714
148.0,0.5562449302779243,0.013389564953817714
149.0,0.5295317065086337,0.01971949946804596
150.0,0.5090337049663641,0.026022515701457263
151.0,0.5090337049663641,0.026022515701457263
152.0,0.5090337049663641,0.026022515701457263
153.0,0.39971103007425907,0.08997236288768005
154.0,0.39971103007425907,0.08997236288768005
155.0,0.39971103007425907,0.08997236288768005
156.0,0.39971103007425907,0.08997236288768005
157.0,0.39971103007425907,0.08997236288768005
158.0,0.5090337049663641,0.026022515701457263
159.0,0.5596998677330669,0.012706733922698056
160.0,0.5596998677330669,0.012706733922698056
161.0,0.5516536310870042,0.014342173518662531
162.0,0.5516536310870042,0.014342173518662531
163.0,0.5516536310870042,0.014342173518662531
164.0,-0.5651385660113487,0.011688719441751124
165.0,-0.5651385660113487,0.011688719441751124
166.0,-0.6198013080533031,0.004647073101708119
167.0,-0.5355695416036628,0.018114996124891706
168.0,-0.5355695416036628,0.018114996124891706
169.0,-0.5355695416036628,0.018114996124891706
170.0,-0.5355695416036628,0.018114996124891706
171.0,-0.44908871313907184,0.053752139032837515
172.0,-0.44908871313907184,0.053752139032837515
173.0,-0.46133898911420385,0.046790730226660866
174.0,-0.44908871313907184,0.053752139032837515
175.0,0.49791230820965504,0.03004860211521692
176.0,0.49791230820965504,0.03004860211521692
177.0,0.49791230820965504,0.03004860211521692
178.0,0.49791230820965504,0.03004860211521692
179.0,0.49791230820965504,0.03004860211521692
180.0,0.49791230820965504,0.03004860211521692
181.0,0.49791230820965504,0.03004860211521692
182.0,0.49791230820965504,0.03004860211521692
183.0,-0.3253956867279842,0.17401472322439573
184.0,0.49791230820965504,0.03004860211521692
185.0,0.4106183665853135,0.08075747712982169
186.0,0.4106183665853135,0.08075747712982169
187.0,0.4106183665853135,0.08075747712982169
188.0,0.4106183665853135,0.08075747712982169
189.0,0.4106183665853135,0.08075747712982169
190.0,0.4106183665853135,0.08075747712982169
191.0,0.41841370437786146,0.07461177022594631
192.0,0.4842197719166431,0.035654725322979856
193.0,-0.3765723339400754,0.11202592021713488
194.0,-0.3765723339400754,0.11202592021713488
195.0,-0.3765723339400754,0.11202592021713488
196.0,-0.3765723339400754,0.11202592021713488
197.0,-0.3765723339400754,0.11202592021713488
198.0,-0.3765723339400754,0.11202592021713488
199.0,-0.3765723339400754,0.11202592021713488
200.0,-0.3765723339400754,0.11202592021713488
201.0,-0.3765723339400754,0.11202592021713488
202.0,-0.44908871313907184,0.053752139032837515
203.0,-0.44908871313907184,0.053752139032837515
204.0,0.4891304944825293,0.0335581243295617
205.0,0.4891304944825293,0.0335581243295617
206.0,0.4891304944825293,0.0335581243295617
207.0,0.4891304944825293,0.0335581243295617
208.0,0.4891304944825293,0.0335581243295617
209.0,0.4891304944825293,0.0335581243295617
210.0,0.6174969805662238,0.004847484789890538
211.0,-0.46133898911420385,0.046790730226660866
212.0,-0.46133898911420385,0.046790730226660866
213.0,0.48126671093981077,0.03696346713933793
214.0,0.48126671093981077,0.03696346713933793
215.0,-0.35573126871456684,0.13498586671876547
216.0,-0.44908871313907184,0.053752139032837515
217.0,-0.44908871313907184,0.053752139032837515
218.0,-0.44908871313907184,0.053752139032837515
219.0,-0.44908871313907184,0.053752139032837515
220.0,-0.44908871313907184,0.053752139032837515
221.0,-0.44908871313907184,0.053752139032837515
222.0,-0.44908871313907184,0.053752139032837515
223.0,-0.44908871313907184,0.053752139032837515
224.0,-0.44908871313907184,0.053752139032837515
225.0,-0.45607093777186897,0.0496945275839274
226.0,-0.398997092059314,0.09060120039478753
227.0,-0.398997092059314,0.09060120039478753
228.0,-0.398997092059314,0.09060120039478753
229.0,-0.2970737301082817,0.21678454020244578
230.0,-0.2970737301082817,0.21678454020244578
231.0,-0.2970737301082817,0.21678454020244578
232.0,-0.39899709205931394,0.09060120039478753
233.0,-0.4954136779969615,0.031016573321949504
234.0,-0.4954136779969615,0.031016573321949504
235.0,-0.4954136779969615,0.031016573321949504
236.0,0.5516536310870043,0.014342173518662472
237.0,0.5516536310870043,0.014342173518662472
238.0,0.5516536310870043,0.014342173518662472
239.0,0.5516536310870043,0.014342173518662472
240.0,0.5516536310870043,0.014342173518662472
241.0,0.5516536310870043,0.014342173518662472
242.0,0.5516536310870043,0.014342173518662472
243.0,0.5516536310870043,0.014342173518662472
244.0,0.6201845302332332,0.004614412916363134
245.0,0.7786253932419622,8.59917549082232e-05
246.0,0.6201845302332333,0.004614412916363106
247.0,0.6201845302332333,0.004614412916363106
248.0,-0.6577408678345051,0.0022072777527853394
249.0,-0.6577408678345051,0.0022072777527853394
250.0,-0.8188201768687458,1.8140161060958487e-05
251.0,-0.7921180343813394,5.295031138205905e-05
252.0,-0.7921180343813394,5.295031138205905e-05
253.0,-0.704588342040123,0.0007566502790706102
254.0,-0.704588342040123,0.0007566502790706102
