latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
30.0,68.0,2021-01-18 00:00:00,282.38614,20.4,9.24,48.63,44.2,6.78
30.0,68.0,2021-01-18 06:00:00,289.86575,13.2,16.72,62.09,58.6,14.78
30.0,68.0,2021-01-18 12:00:00,290.09576,15.4,16.95,62.5,59.2,15.11
30.0,68.0,2021-01-18 18:00:00,283.80038,26.8,10.65,51.17,47.2,8.44
30.0,68.0,2021-01-19 00:00:00,281.54138,29.3,8.39,47.1,42.9,6.06
30.0,68.0,2021-01-19 06:00:00,288.47583,17.2,15.33,59.59,56.1,13.39
30.0,68.0,2021-01-19 12:00:00,290.14722,17.2,17.0,62.59,59.4,15.22
30.0,68.0,2021-01-19 18:00:00,284.55847,29.0,11.41,52.54,48.9,9.39
30.0,68.0,2021-01-20 00:00:00,283.27032,33.9,10.12,50.22,46.5,8.06
30.0,68.0,2021-01-20 06:00:00,292.67587,21.0,19.53,67.15,64.6,18.11
30.0,68.0,2021-01-20 12:00:00,293.796,22.2,20.65,69.16,66.8,19.33
30.0,68.0,2021-01-20 18:00:00,286.74835,35.9,13.6,56.48,53.5,11.94
30.0,68.0,2021-01-21 00:00:00,284.33694,41.9,11.19,52.14,49.0,9.44
30.0,68.0,2021-01-21 06:00:00,292.0799,25.1,18.93,66.07,63.6,17.56
30.0,68.0,2021-01-21 12:00:00,292.7186,23.3,19.57,67.22,64.7,18.17
30.0,68.0,2021-01-21 18:00:00,286.6955,36.4,13.55,56.38,53.4,11.89
30.0,68.0,2021-01-22 00:00:00,284.86804,34.3,11.72,53.09,49.7,9.83
30.0,68.0,2021-01-22 06:00:00,293.2002,23.1,20.05,68.09,65.7,18.72
30.0,68.0,2021-01-22 12:00:00,293.75024,18.4,20.6,69.08,66.6,19.22
30.0,68.0,2021-01-22 18:00:00,285.44943,17.3,12.3,54.14,50.1,10.06
30.0,68.0,2021-01-23 00:00:00,282.10266,12.1,8.95,48.11,43.2,6.22
30.0,68.0,2021-01-23 06:00:00,288.1993,7.0,15.05,59.09,55.0,12.78
30.0,68.0,2021-01-23 12:00:00,290.7648,6.4,17.61,63.71,60.1,15.61
30.0,68.0,2021-01-23 18:00:00,282.89053,13.1,9.74,49.53,44.8,7.11
30.0,68.0,2021-01-24 00:00:00,279.58423,12.3,6.43,43.58,38.2,3.44
30.0,68.0,2021-01-24 06:00:00,287.4503,7.9,14.3,57.74,53.6,12.0
30.0,68.0,2021-01-24 12:00:00,288.87854,8.7,15.73,60.31,56.4,13.56
30.0,68.0,2021-01-24 18:00:00,281.56393,17.2,8.41,47.15,42.4,5.78
30.0,68.0,2021-01-25 00:00:00,279.2347,17.7,6.08,42.95,37.8,3.22
30.0,68.0,2021-01-25 06:00:00,288.03955,9.2,14.89,58.8,54.8,12.67
30.0,68.0,2021-01-25 12:00:00,288.9459,8.6,15.8,60.43,56.6,13.67
30.0,68.0,2021-01-25 18:00:00,281.74286,16.5,8.59,47.47,42.7,5.94
30.0,68.0,2021-01-26 00:00:00,279.1617,16.7,6.01,42.82,37.6,3.11
30.0,68.0,2021-01-26 06:00:00,288.46985,8.8,15.32,59.58,55.7,13.17
30.0,68.0,2021-01-26 12:00:00,289.46295,8.2,16.31,61.36,57.6,14.22
30.0,68.0,2021-01-26 18:00:00,282.05844,16.6,8.91,48.04,43.3,6.28
30.0,68.0,2021-01-27 00:00:00,279.73517,16.8,6.59,43.85,38.7,3.72
30.0,68.0,2021-01-27 06:00:00,288.41486,9.6,15.26,59.48,55.6,13.11
30.0,68.0,2021-01-27 12:00:00,289.2701,9.2,16.12,61.02,57.3,14.06
30.0,68.0,2021-01-27 18:00:00,281.92834,18.9,8.78,47.8,43.2,6.22
30.0,68.0,2021-01-28 00:00:00,279.5813,16.8,6.43,43.58,38.4,3.56
