event_ref,year,loss
R02_2016R1_Sim_00074750,670,13.03285026
R02_2016R1_Sim_00075086,672,27.8846687
R02_2016R1_Sim_00075378,675,17.31776166
R02_2016R1_Sim_00075640,677,43.890283939999996
R02_2016R1_Sim_00076455,685,7.77198839
R02_2016R1_Sim_00077412,693,13.03285026
R02_2016R1_Sim_00078018,697,1.2381413000000001
R02_2016R1_Sim_00078080,698,2.47889638
R02_2016R1_Sim_00078283,699,80.91423368
R02_2016R1_Sim_00079142,708,7.77198839
R02_2016R1_Sim_00079854,713,1.2381413000000001
R02_2016R1_Sim_00080297,717,69.96248231999999
R02_2016R1_Sim_00081523,729,8.78155589
R02_2016R1_Sim_00081667,730,53.54333555000001
R02_2016R1_Sim_00082592,739,1.2381413000000001
R02_2016R1_Sim_00083109,744,1.2381413000000001
R02_2016R1_Sim_00083174,745,25.671620009999998
R02_2016R1_Sim_00083369,746,99.70698116999999
R02_2016R1_Sim_00085390,765,1.2381413000000001
R02_2016R1_Sim_00085598,766,99.70698116999999
R02_2016R1_Sim_00085850,769,7.77198839
R02_2016R1_Sim_00086569,774,2.47889638
R02_2016R1_Sim_00087205,780,7.77198839
R02_2016R1_Sim_00087448,782,53.94525122
R02_2016R1_Sim_00087631,783,46.08605182
R02_2016R1_Sim_00088492,791,104.52247212999998
R02_2016R1_Sim_00089839,804,2.47889638
R02_2016R1_Sim_00090084,806,99.70698116999999
R02_2016R1_Sim_00090114,807,3.85650992
R02_2016R1_Sim_00091539,820,7.77198839
R02_2016R1_Sim_00092138,825,1.2381413000000001
R02_2016R1_Sim_00092310,826,23.15896487
R02_2016R1_Sim_00093591,839,29.824786669999998
R02_2016R1_Sim_00093895,841,98.65722154
R02_2016R1_Sim_00095230,854,29.824786669999998
R02_2016R1_Sim_00095479,856,96.62480043
R02_2016R1_Sim_00096506,866,14.647899390000001
R02_2016R1_Sim_00096747,868,99.70698116999999
R02_2016R1_Sim_00098141,881,22.139838929999996
R02_2016R1_Sim_00099940,898,29.824786669999998
R02_2016R1_Sim_00100198,900,96.62480043
R02_2016R1_Sim_00101174,909,1.2381413000000001
R02_2016R1_Sim_00101416,911,80.91423368
R02_2016R1_Sim_00102084,917,1.2381413000000001
R02_2016R1_Sim_00102627,922,22.139838929999996
